<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BFJL.US,D,20250703,000000,20.0236,20.0312,20.0236,20.0312,150,0
BFJL.US,D,20250709,000000,20.25,20.283,20.25,20.283,151,0
BFJL.US,D,20250714,000000,20.95,20.95,20.9185,20.9185,191,0
BFJL.US,D,20250715,000000,20.6322,20.6322,20.5933,20.5933,606,0
BFJL.US,D,20250716,000000,20.8,20.803,20.8,20.803,100,0
BFJL.US,D,20250717,000000,20.8,20.8,20.7798,20.7798,1006,0
BFJL.US,D,20250718,000000,20.76,20.76,20.6892,20.6892,691,0
BFJL.US,D,20250721,000000,20.73,20.73,20.6102,20.6102,325,0
BFJL.US,D,20250722,000000,20.76,20.7748,20.76,20.7748,100,0
BFJL.US,D,20250723,000000,20.71,20.78,20.71,20.7335,508,0
BFJL.US,D,20250801,000000,20.43,20.43,20.4285,20.4285,1191,0
BFJL.US,D,20250804,000000,20.47,20.5028,20.47,20.5028,403,0
BFJL.US,D,20250805,000000,20.46,20.46,20.4246,20.4246,600,0
BFJL.US,D,20250806,000000,20.51,20.5405,20.51,20.5405,684,0
BFJL.US,D,20250814,000000,20.8023,20.8023,20.8022,20.8022,130,0
BFJL.US,D,20250815,000000,20.72,20.72,20.7147,20.7147,100,0
BFJL.US,D,20250825,000000,20.37,20.39,20.3316,20.3316,121228,0
BFJL.US,D,20250903,000000,20.41,20.5067,20.41,20.5067,1299,0
BFJL.US,D,20250904,000000,20.31,20.37,20.31,20.3144,5882,0
BFJL.US,D,20250905,000000,20.54,20.54,20.4721,20.4721,108,0
BFJL.US,D,20250909,000000,20.4569,20.4569,20.4541,20.4541,463,0
BFJL.US,D,20250910,000000,20.66,20.66,20.6244,20.6244,100,0
BFJL.US,D,20250911,000000,20.69,20.7346,20.69,20.7346,100,0
BFJL.US,D,20250912,000000,20.77,20.9,20.77,20.8787,215,0
BFJL.US,D,20250916,000000,20.81,20.9145,20.755,20.9145,7595,0
BFJL.US,D,20250917,000000,20.85,20.93,20.8216,20.8216,275,0
BFJL.US,D,20250918,000000,21.01,21.01,20.9602,20.9602,1350,0
BFJL.US,D,20250919,000000,20.91,20.91,20.7533,20.7533,333,0
BFJL.US,D,20250922,000000,20.52,20.52,20.4959,20.4959,100,0
BFJL.US,D,20250924,000000,20.6344,20.67,20.6201,20.6201,224,0
BFJL.US,D,20250925,000000,20.385,20.385,20.2471,20.2471,185,0
BFJL.US,D,20250926,000000,20.265,20.265,20.2441,20.2441,190,0
BFJL.US,D,20250929,000000,20.7,20.7,20.687,20.687,2837,0
BFJL.US,D,20251003,000000,21.24,21.45,21.2399,21.3244,12444,0
BFJL.US,D,20251007,000000,21.215,21.45,21.1407,21.1407,1041,0
BFJL.US,D,20251008,000000,21.1134,21.28,21.1134,21.2282,330,0
BFJL.US,D,20251014,000000,20.26,20.4686,20.26,20.4686,202,0
BFJL.US,D,20251016,000000,20.33,20.35,20.1678,20.1678,12335,0
BFJL.US,D,20251021,000000,20.47,20.5,20.4446,20.4446,202,0
BFJL.US,D,20251027,000000,20.65,20.6669,20.65,20.6669,255,0
BFJL.US,D,20251029,000000,20.43,20.43,20.3056,20.3056,107,0
BFJL.US,D,20251105,000000,19.75,19.7773,19.75,19.7773,100,0
BFJL.US,D,20251112,000000,19.7496,19.7496,19.574,19.574,246,0
BFJL.US,D,20251113,000000,19.63,19.63,19.3093,19.3093,225,0
BFJL.US,D,20251117,000000,18.85,18.85,18.804,18.804,200,0
BFJL.US,D,20251202,000000,18.77,18.86,18.7546,18.7546,5429,0
BFJL.US,D,20251208,000000,18.63,18.7188,18.63,18.7188,210,0
BFJL.US,D,20251209,000000,18.85,18.9024,18.62,18.9024,878,0
BFJL.US,D,20251210,000000,18.84,19.01,18.836,18.859,3702,0
BFJL.US,D,20251215,000000,18.39,18.39,18.327,18.327,919,0
BFJL.US,D,20251216,000000,18.48,18.48,18.4677,18.4677,234,0
BFJL.US,D,20251218,000000,18.2316,18.2367,18.2316,18.2367,109,0
BFJL.US,D,20251229,000000,18.31,18.35,18.06,18.085,76586,0
BFJL.US,D,20260112,000000,18.37,18.38,18.3676,18.3676,354,0
BFJL.US,D,20260113,000000,18.41,18.6572,18.41,18.6572,884,0
BFJL.US,D,20260114,000000,18.95,18.9793,18.95,18.9793,228,0
BFJL.US,D,20260120,000000,18.16,18.1797,18.16,18.1797,403,0
