<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BFOC.US,D,20251001,000000,20.19,20.1937,20.171,20.1937,1500,0
BFOC.US,D,20251003,000000,20.43,20.5159,20.42,20.5159,20798,0
BFOC.US,D,20251006,000000,20.62,20.705,20.6193,20.6297,5069,0
BFOC.US,D,20251007,000000,20.62,20.63,20.54,20.575,10314,0
BFOC.US,D,20251008,000000,20.41,20.43,20.38,20.38,1901,0
BFOC.US,D,20251009,000000,20.41,20.46,20.3115,20.3115,4410,0
BFOC.US,D,20251010,000000,20.32,20.32,20.0344,20.0344,2859,0
BFOC.US,D,20251013,000000,20.01,20.0462,19.985,20.0462,287,0
BFOC.US,D,20251014,000000,19.91,19.91,19.836,19.836,8519,0
BFOC.US,D,20251015,000000,19.77,19.78,19.7414,19.7414,1541,0
BFOC.US,D,20251016,000000,19.6962,19.75,19.5973,19.5973,4510,0
BFOC.US,D,20251017,000000,19.445,19.58,19.445,19.5269,3090,0
BFOC.US,D,20251020,000000,19.81,19.8897,19.76,19.8064,2983,0
BFOC.US,D,20251021,000000,19.83,19.83,19.8044,19.8044,101,0
BFOC.US,D,20251022,000000,19.61,19.61,19.5577,19.5577,961,0
BFOC.US,D,20251023,000000,19.69,19.718,19.65,19.718,6302,0
BFOC.US,D,20251024,000000,19.732,19.74,19.704,19.704,7200,0
BFOC.US,D,20251027,000000,19.98,19.99,19.98,19.99,848,0
BFOC.US,D,20251028,000000,20.07,20.09,19.8866,19.8866,210524,0
BFOC.US,D,20251029,000000,19.87,19.89,19.7589,19.7589,7700,0
BFOC.US,D,20251030,000000,19.53,19.53,19.4295,19.4295,2194,0
BFOC.US,D,20251031,000000,19.5892,19.612,19.5892,19.612,276,0
BFOC.US,D,20251103,000000,19.46,19.46,19.44,19.4445,759,0
BFOC.US,D,20251104,000000,19.27,19.27,19.0773,19.0773,1350,0
BFOC.US,D,20251105,000000,19.27,19.27,19.2433,19.2433,1807,0
BFOC.US,D,20251106,000000,19.11,19.11,19.0878,19.0878,1000,0
BFOC.US,D,20251110,000000,19.41,19.41,19.391,19.391,304,0
BFOC.US,D,20251112,000000,19.09,19.1071,19.09,19.1071,300,0
BFOC.US,D,20251113,000000,18.97,18.98,18.9042,18.9042,131100,0
BFOC.US,D,20251114,000000,18.85,18.9,18.6668,18.6668,4534,0
BFOC.US,D,20251117,000000,18.6399,18.6399,18.5298,18.5298,501,0
BFOC.US,D,20251118,000000,18.6399,18.6399,18.5933,18.5933,665,0
BFOC.US,D,20251119,000000,18.4,18.45,18.3773,18.3773,4220,0
BFOC.US,D,20251120,000000,18.46,18.46,18.2592,18.2592,2344,0
BFOC.US,D,20251121,000000,18.1615,18.1615,18.1335,18.1335,227,0
BFOC.US,D,20251201,000000,18.11,18.1154,18.1099,18.1154,1116,0
BFOC.US,D,20251202,000000,18.41,18.54,18.41,18.4659,1971,0
BFOC.US,D,20251203,000000,18.61,18.61,18.6002,18.6002,100,0
BFOC.US,D,20251204,000000,18.579,18.579,18.498,18.5598,1620,0
BFOC.US,D,20251205,000000,18.4265,18.48,18.4265,18.4574,2784,0
BFOC.US,D,20251208,000000,18.41,18.441,18.41,18.441,320,0
BFOC.US,D,20251209,000000,18.5298,18.5615,18.5298,18.5615,641,0
BFOC.US,D,20251210,000000,18.57,18.7,18.5613,18.5613,1475,0
BFOC.US,D,20251211,000000,18.37,18.5193,18.37,18.5193,512,0
BFOC.US,D,20251212,000000,18.4411,18.46,18.4351,18.4351,825,0
BFOC.US,D,20251215,000000,18.25,18.25,18.18,18.18,2187,0
BFOC.US,D,20251216,000000,18.25,18.315,18.2468,18.2468,2300,0
BFOC.US,D,20251217,000000,18.39,18.39,18.1386,18.1386,1008,0
BFOC.US,D,20251218,000000,18.32,18.32,18.145,18.145,903,0
BFOC.US,D,20251219,000000,18.2799,18.2895,18.2799,18.2895,402,0
BFOC.US,D,20251222,000000,18.3384,18.35,18.26,18.3037,5445,0
BFOC.US,D,20251223,000000,18.22,18.265,18.22,18.265,104040,0
BFOC.US,D,20251224,000000,18.27,18.2709,18.27,18.2709,131,0
BFOC.US,D,20251226,000000,18.26,18.26,18.2564,18.2564,1367,0
BFOC.US,D,20251231,000000,18.22,18.2223,18.22,18.2223,252,0
BFOC.US,D,20260105,000000,18.62,18.62,18.6115,18.6115,1700,0
BFOC.US,D,20260106,000000,18.48,18.5714,18.48,18.5714,801,0
BFOC.US,D,20260107,000000,18.45,18.4635,18.44,18.4635,798,0
BFOC.US,D,20260112,000000,18.46,18.46,18.4514,18.4514,118,0
BFOC.US,D,20260121,000000,18.31,18.3682,18.31,18.3682,1061,0
BFOC.US,D,20260122,000000,18.32,18.3295,18.32,18.3295,101,0
BFOC.US,D,20260123,000000,18.35,18.35,18.31,18.325,235,0
