<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRCO.US,D,20251001,000000,50.05,50.3,48.0913,48.0913,2912,0
CRCO.US,D,20251002,000000,49.98,54.18,49.6,53.9941,16641,0
CRCO.US,D,20251003,000000,53.49,55.16,52.59,52.8978,5104,0
CRCO.US,D,20251006,000000,54.84,54.84,53.04,53.7447,4165,0
CRCO.US,D,20251007,000000,55.4,56.18,53.8599,54.2201,2295,0
CRCO.US,D,20251008,000000,53.8,55.22,53.57,54.59,5791,0
CRCO.US,D,20251009,000000,54.73,55.705,53.925,55.1889,1823,0
CRCO.US,D,20251010,000000,57.31,57.31,49.1708,49.1708,5575,0
CRCO.US,D,20251013,000000,49.82,50.61,49.736,49.8923,1296,0
CRCO.US,D,20251014,000000,48.09,49.2658,47.58,49.2658,4192,0
CRCO.US,D,20251015,000000,50.25,51.93,49.98,50.1109,26827,0
CRCO.US,D,20251016,000000,47.65,48.2918,45.4497,45.5431,11161,0
CRCO.US,D,20251017,000000,45,45.25,44,44.7924,9887,0
CRCO.US,D,20251020,000000,47.32,47.33,45.51,46.86,610758,0
CRCO.US,D,20251021,000000,45.44,46.3328,44.93,46.1717,22507,0
CRCO.US,D,20251022,000000,45.4,45.97,43.6321,44.32,60231,0
CRCO.US,D,20251023,000000,43.44,45.08,43.05,44.8182,35994,0
CRCO.US,D,20251024,000000,45.4902,47.72,45.3976,47.4306,52724,0
CRCO.US,D,20251027,000000,48.8,48.97,46.74,47.9311,20785,0
CRCO.US,D,20251028,000000,48,48.24,46.22,46.4353,22608,0
CRCO.US,D,20251029,000000,46.34,46.52,44.52,44.9689,79947,0
CRCO.US,D,20251030,000000,43.27,43.37,40.91,40.91,43943,0
CRCO.US,D,20251031,000000,41.83,43.11,41.83,42.3304,44605,0
CRCO.US,D,20251103,000000,42.18,42.28,40,40.1321,44531,0
CRCO.US,D,20251104,000000,38.35,39.47,37.46,37.9412,32561,0
CRCO.US,D,20251105,000000,38.52,39.49,38.1173,38.6,72845,0
CRCO.US,D,20251106,000000,38.19,38.21,34.0075,34.0075,61429,0
CRCO.US,D,20251107,000000,33.64,34.8468,32.6565,34.8468,35661,0
CRCO.US,D,20251110,000000,36.11,36.67,34.8281,35.32,16453,0
CRCO.US,D,20251111,000000,34.32,34.52,33.5169,33.5169,10075,0
CRCO.US,D,20251112,000000,32.12,32.48,30.0085,30.0085,91748,0
CRCO.US,D,20251113,000000,29.245,30.1,28.725,29.3,33864,0
CRCO.US,D,20251114,000000,29.29,29.49,27.9716,28.0461,56557,0
CRCO.US,D,20251117,000000,27.68,27.99,25.8,26.57,24211,0
CRCO.US,D,20251118,000000,25.85,26.7099,25.79,26.3735,85027,0
CRCO.US,D,20251119,000000,25.27,26.48,23.45,24.0321,53041,0
CRCO.US,D,20251120,000000,24,24,21.8428,22.5161,38391,0
CRCO.US,D,20251121,000000,23,24.2299,22.48,24.065,53808,0
CRCO.US,D,20251124,000000,24.1789,24.41,23.6,24.35,332058,0
CRCO.US,D,20251125,000000,23.61,23.79,23.16,23.656,23201,0
CRCO.US,D,20251126,000000,23.8865,24.58,23.48,24.5001,33903,0
CRCO.US,D,20251128,000000,24.5249,25.83,24.38,25.4278,19840,0
CRCO.US,D,20251201,000000,25.2203,25.625,24.545,24.759,36385,0
CRCO.US,D,20251202,000000,25.25,25.825,25.1215,25.1646,49257,0
CRCO.US,D,20251203,000000,25.41,27.11,24.88,27.1,47988,0
CRCO.US,D,20251204,000000,26.09,26.835,25.6812,26.7919,39024,0
CRCO.US,D,20251205,000000,26.395,26.61,25.81,26.4225,22580,0
CRCO.US,D,20251208,000000,26.5183,26.8,25.4,25.9177,28334,0
CRCO.US,D,20251209,000000,25.59,27.38,25.45,27.2608,75262,0
CRCO.US,D,20251210,000000,26.69,27.3,26.42,27.27,58234,0
