<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHOW.US,D,20250916,000000,8,21.91,8,12.61,1432420,0
CHOW.US,D,20250917,000000,10.8201,11.4,6.66,8.5,245113,0
CHOW.US,D,20250918,000000,8.3699,8.5,4.86,5.38,902472,0
CHOW.US,D,20250919,000000,5.26,5.46,4,5.0101,1710470,0
CHOW.US,D,20250922,000000,5.38,5.8886,5.2,5.58,379398,0
CHOW.US,D,20250923,000000,5.54,5.84,5.16,5.56,172146,0
CHOW.US,D,20250924,000000,5.56,5.7,5.36,5.69,66758,0
CHOW.US,D,20250925,000000,5.19,6.7,5.19,6.18,308306,0
CHOW.US,D,20250926,000000,6.35,6.3617,5.6,5.89,152129,0
CHOW.US,D,20250929,000000,6.12,6.1381,5.19,5.31,181091,0
CHOW.US,D,20250930,000000,5.41,7.62,5.41,6.49,888931,0
CHOW.US,D,20251001,000000,6.4823,8,6.31,7.1,1041587,0
CHOW.US,D,20251002,000000,7.49,7.7,6.45,6.63,759111,0
CHOW.US,D,20251003,000000,6.7168,7.18,6.65,7.12,508259,0
CHOW.US,D,20251006,000000,7,7.18,6.21,6.67,306972,0
CHOW.US,D,20251007,000000,6.7,7.04,6.45,7,590643,0
CHOW.US,D,20251008,000000,6.76,6.95,6.47,6.47,516210,0
CHOW.US,D,20251009,000000,6.46,6.6,6.065,6.11,629940,0
CHOW.US,D,20251010,000000,6.05,6.68,5.645,6.6,573186,0
CHOW.US,D,20251013,000000,6.97,7.4,6.53,7.23,401750,0
CHOW.US,D,20251014,000000,7,8.4,6.91,8.13,412248,0
CHOW.US,D,20251015,000000,8.33,9.44,5.66,7.44,757149,0
CHOW.US,D,20251016,000000,7.5,7.5429,6.6,6.85,66657,0
CHOW.US,D,20251017,000000,7.2,7.21,6.85,7.02,55087,0
CHOW.US,D,20251020,000000,6.94,6.95,6.31,6.57,89127,0
CHOW.US,D,20251021,000000,6.5,6.76,6.3198,6.76,34123,0
CHOW.US,D,20251022,000000,6.65,6.92,6.06,6.25,82340,0
CHOW.US,D,20251023,000000,6.2651,7.51,6.17,7.07,425047,0
CHOW.US,D,20251024,000000,7.1846,8.32,7.08,7.96,413661,0
CHOW.US,D,20251027,000000,8.35,9.74,8.04,9.22,460844,0
CHOW.US,D,20251028,000000,9.51,10.4599,9.15,9.4,536165,0
CHOW.US,D,20251029,000000,9.66,10.225,9.34,9.9,446710,0
CHOW.US,D,20251030,000000,10.15,11,7.8,9.46,434800,0
CHOW.US,D,20251031,000000,9.44,9.88,8.3,8.42,1405403,0
CHOW.US,D,20251103,000000,8.66,9.104,8.21,8.8,851339,0
CHOW.US,D,20251104,000000,8.55,8.84,7.81,8.53,785287,0
CHOW.US,D,20251105,000000,8.33,8.66,8.16,8.16,664115,0
CHOW.US,D,20251106,000000,8.2,9.36,8,8.86,639965,0
CHOW.US,D,20251107,000000,8.8,10.4,8.725,9.76,756153,0
CHOW.US,D,20251110,000000,9.78,11.125,9.41,9.48,603069,0
CHOW.US,D,20251111,000000,9.5,9.8,8.86,9.17,660311,0
CHOW.US,D,20251112,000000,9.35,9.75,8.77,9.25,793791,0
CHOW.US,D,20251113,000000,9,9.13,8.35,8.5,509467,0
CHOW.US,D,20251114,000000,8.5,9.7999,8.5,9.68,659447,0
CHOW.US,D,20251117,000000,9.52,10.37,9.23,9.5282,433719,0
CHOW.US,D,20251118,000000,9.48,9.78,9.31,9.67,372034,0
CHOW.US,D,20251119,000000,9.43,9.77,8.685,9.47,918842,0
CHOW.US,D,20251120,000000,9.82,10.15,9.32,9.78,888771,0
CHOW.US,D,20251121,000000,9.431083,9.67,8.94,9.36,702105,0
CHOW.US,D,20251124,000000,9.225,9.4,8.31,8.5,757845,0
CHOW.US,D,20251125,000000,8.897,9.68,8.5801,9.42,573259,0
CHOW.US,D,20251126,000000,9.25,9.82,9.01,9.01,541690,0
CHOW.US,D,20251128,000000,9.17,9.73,9.152,9.39,378384,0
CHOW.US,D,20251201,000000,9.4,11.05,9.4,11.05,358159,0
CHOW.US,D,20251202,000000,10.62,10.97,9.96,10.97,624481,0
CHOW.US,D,20251203,000000,10.9,10.9,9.8,9.8,850084,0
CHOW.US,D,20251204,000000,9.87,10.85,9.85,10.18,713602,0
CHOW.US,D,20251205,000000,10.285,10.5,9.07,9.48,527206,0
CHOW.US,D,20251208,000000,9.6,11.2,9.48,11.2,9005140,0
