<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LTM.US,D,20240725,000000,24.85,25.49,24.57,24.7,8909400,0
LTM.US,D,20240726,000000,24.81,25.35,24.71,25.25,1027800,0
LTM.US,D,20240729,000000,24.84,25.0847,23.745,24.92,1154618,0
LTM.US,D,20240730,000000,24.8,26.24,24.75,24.75,2736215,0
LTM.US,D,20240731,000000,24.75,25.08,24.71,24.8,1741742,0
LTM.US,D,20240801,000000,24.5,25.05,24.25,24.5,2392717,0
LTM.US,D,20240802,000000,23,24.58,23,23.63,612494,0
LTM.US,D,20240805,000000,22.75,23.09,21.83,22.84,740849,0
LTM.US,D,20240806,000000,22.86,23.79,22.86,23.57,152828,0
LTM.US,D,20240807,000000,23.91,24,23.35,23.77,3959895,0
LTM.US,D,20240808,000000,23.71,24.1,23.2,23.7,217812,0
LTM.US,D,20240809,000000,22.88,24.39,22.88,24,145832,0
LTM.US,D,20240812,000000,24.32,24.73,23.55,24.37,114534,0
LTM.US,D,20240813,000000,24.35,24.41,23.86,24,360620,0
LTM.US,D,20240814,000000,24,24.17,23.6,24,581854,0
LTM.US,D,20240815,000000,23.83,24.35,23.815,24,336902,0
LTM.US,D,20240816,000000,23.65,24.42,23.65,24,353090,0
LTM.US,D,20240819,000000,24.23,24.35,24.005,24.34,297772,0
LTM.US,D,20240820,000000,24.24,24.46,24.24,24.33,194271,0
LTM.US,D,20240821,000000,24.58,24.625,24.41,24.51,286069,0
LTM.US,D,20240822,000000,24.57,25,24.43,24.93,409097,0
LTM.US,D,20240823,000000,25.16,26.08,25.01,25.83,255599,0
LTM.US,D,20240826,000000,25.52,26.11,25.52,26.04,224196,0
LTM.US,D,20240827,000000,25.9,26.16,25.72,25.75,196332,0
LTM.US,D,20240828,000000,25.93,26,25.65,26,170413,0
LTM.US,D,20240829,000000,25.89,26.1,25.645,25.79,199857,0
LTM.US,D,20240830,000000,25.88,26.08,25.5,25.5,470644,0
LTM.US,D,20240903,000000,25.7,25.7,24.88,24.99,122991,0
LTM.US,D,20240904,000000,24.88,25.14,24.49,24.5,125364,0
LTM.US,D,20240905,000000,24.58,24.94,24.4,24.4,125429,0
LTM.US,D,20240906,000000,24.52,24.76,23.61,23.78,109930,0
LTM.US,D,20240909,000000,23.97,23.97,23.66,23.77,220620,0
LTM.US,D,20240910,000000,23.61,24.01,23.59,23.74,97807,0
LTM.US,D,20240911,000000,24.02,24.43,24.02,24.12,94365,0
LTM.US,D,20240912,000000,24.91,25.25,24.86,24.86,188095,0
LTM.US,D,20240913,000000,25.17,25.78,25.17,25.59,145451,0
LTM.US,D,20240916,000000,25.75,26.37,25.46,26.05,173002,0
LTM.US,D,20240917,000000,26.2,26.41,25.81,26,72296,0
LTM.US,D,20240918,000000,26,26.49,25.78,26.02,18989,0
LTM.US,D,20240919,000000,26.43,26.65,25.865,26.12,179387,0
LTM.US,D,20240920,000000,26.26,26.26,25.79,26.22,68219,0
LTM.US,D,20240923,000000,26.05,26.29,25.87,26.22,230506,0
LTM.US,D,20240924,000000,26.65,26.74,26.425,26.57,90119,0
LTM.US,D,20240925,000000,26.6,26.6,26.095,26.15,120376,0
LTM.US,D,20240926,000000,26.6,26.935,26.41,26.59,158533,0
LTM.US,D,20240927,000000,26.85,26.94,26.35,26.37,121893,0
LTM.US,D,20240930,000000,26.37,26.48,25.64,26.41,286861,0
LTM.US,D,20241001,000000,26.63,26.63,25.61,25.98,130819,0
LTM.US,D,20241002,000000,26.18,26.18,25.22,25.37,116569,0
LTM.US,D,20241003,000000,25.04,25.04,24.38,24.99,109334,0
LTM.US,D,20241004,000000,25,26.21,24.81,25.7,83204,0
LTM.US,D,20241007,000000,25.44,26.01,25.264,26.01,115092,0
LTM.US,D,20241008,000000,25.64,25.97,25.6,25.85,185525,0
LTM.US,D,20241009,000000,25.78,25.98,25.485,25.91,227213,0
LTM.US,D,20241010,000000,25.83,26.13,25.6201,26.01,103307,0
LTM.US,D,20241011,000000,25.99,26.3,25.81,26.29,162654,0
LTM.US,D,20241014,000000,25.98,26.07,25.815,26,148977,0
LTM.US,D,20241015,000000,25.84,25.9,25.39,25.87,221133,0
LTM.US,D,20241016,000000,25.75,26.87,25.57,26.47,247676,0
LTM.US,D,20241017,000000,26.37,26.48,26.02,26.37,214871,0
LTM.US,D,20241018,000000,26.36,26.505,25.96,26.46,261162,0
LTM.US,D,20241021,000000,26.5,27.29,26.445,27.19,335300,0
LTM.US,D,20241022,000000,27.51,27.72,27.24,27.56,163119,0
LTM.US,D,20241023,000000,27.65,27.88,27.5,27.79,225426,0
LTM.US,D,20241024,000000,27.8,27.8,27.56,27.64,149384,0
LTM.US,D,20241025,000000,27.7,27.79,27.54,27.62,116728,0
LTM.US,D,20241028,000000,27.9,28.115,27.8,27.85,195975,0
LTM.US,D,20241029,000000,27.83,27.83,27.28,27.59,141428,0
LTM.US,D,20241030,000000,26.93,27.19,26.73,27.1,148358,0
LTM.US,D,20241031,000000,27.22,27.22,26.72,26.8,79142,0
LTM.US,D,20241101,000000,26.89,27.13,26.75,26.82,73110,0
LTM.US,D,20241104,000000,26.89,27.33,26.72,27.11,160488,0
LTM.US,D,20241105,000000,27.18,27.18,26.81,27.08,86326,0
LTM.US,D,20241106,000000,26.62,27.43,26.16,27.43,246698,0
LTM.US,D,20241107,000000,27.63,28.0615,27.51,27.86,463786,0
LTM.US,D,20241108,000000,27.37,27.37,26.96,27.27,163470,0
LTM.US,D,20241111,000000,26.85,27.08,26.69,27.02,203540,0
LTM.US,D,20241112,000000,26.79,27.09,26.68,27,169645,0
LTM.US,D,20241113,000000,27.08,28.005,26.98,27.74,277470,0
LTM.US,D,20241114,000000,28.01,28.17,27.83,27.86,258598,0
LTM.US,D,20241115,000000,27.705,27.77,27.3128,27.74,186783,0
LTM.US,D,20241118,000000,27.38,27.87,27.34,27.83,110392,0
LTM.US,D,20241119,000000,27.7,28.2,27.66,28.15,173561,0
LTM.US,D,20241120,000000,28.07,28.66,27.93,28.49,244446,0
LTM.US,D,20241121,000000,28.42,28.45,27.5,27.71,322668,0
LTM.US,D,20241122,000000,27.27,27.355,26.24,26.86,507626,0
LTM.US,D,20241125,000000,26.83,27.15,26.78,26.95,272224,0
LTM.US,D,20241126,000000,27.2,27.35,26.84,27.05,119605,0
LTM.US,D,20241127,000000,27.2,28.095,27.2,27.94,198888,0
LTM.US,D,20241129,000000,27.78,27.94,27.6001,27.73,79280,0
LTM.US,D,20241202,000000,27.68,27.82,27.53,27.81,172298,0
LTM.US,D,20241203,000000,27.83,27.89,27.14,27.23,159438,0
LTM.US,D,20241204,000000,27.65,28.04,27.56,27.81,317765,0
LTM.US,D,20241205,000000,28.39,28.65,28.05,28.38,264797,0
LTM.US,D,20241206,000000,28.71,28.9495,28.51,28.57,178169,0
LTM.US,D,20241209,000000,29,29.13,28.7,28.72,215949,0
LTM.US,D,20241210,000000,28.87,28.94,28,28.54,244066,0
LTM.US,D,20241211,000000,28.55,28.64,28.16,28.63,167739,0
LTM.US,D,20241212,000000,28.52,28.82,28.48,28.53,79107,0
LTM.US,D,20241213,000000,28.78,28.89,28.62,28.74,115545,0
LTM.US,D,20241216,000000,28.9,28.96,28.47,28.66,173080,0
LTM.US,D,20241217,000000,28.6041,28.665,28.18,28.39,229354,0
LTM.US,D,20241218,000000,28.26,28.36,27.05,27.5,273194,0
LTM.US,D,20241219,000000,27.49,27.78,27.36,27.57,129949,0
LTM.US,D,20241220,000000,27.53,27.9328,27.53,27.75,134832,0
LTM.US,D,20241223,000000,27.76,27.885,27.195,27.53,85246,0
LTM.US,D,20241224,000000,27.8199,28.13,27.415,28.13,35879,0
LTM.US,D,20241226,000000,27.76,27.79,27.36,27.54,96832,0
LTM.US,D,20241227,000000,27.575,27.68,27.2922,27.47,39899,0
LTM.US,D,20241230,000000,27.1956,27.5441,27.03,27.36,31715,0
LTM.US,D,20241231,000000,27.39,27.94,27.14,27.58,227951,0
LTM.US,D,20250102,000000,27.6982,27.75,27.26,27.35,47294,0
LTM.US,D,20250103,000000,27.28,27.36,26.64,26.69,98233,0
LTM.US,D,20250106,000000,26.81,27.34,26.69,27.14,120176,0
LTM.US,D,20250107,000000,27.3,27.445,26.97,27,112943,0
LTM.US,D,20250108,000000,27.19,27.29,26.75,27.06,394343,0
LTM.US,D,20250110,000000,27.0837,27.1844,26.64,26.67,103781,0
LTM.US,D,20250113,000000,26.61,26.75,26.18,26.39,128822,0
LTM.US,D,20250114,000000,26.54,26.75,26.375,26.52,340799,0
LTM.US,D,20250115,000000,27.015,27.155,26.68,26.76,104787,0
LTM.US,D,20250116,000000,27.12,27.39,26.89,27.39,171550,0
LTM.US,D,20250117,000000,27.37,27.41,27.12,27.26,151836,0
