<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCGD.US,D,20251217,000000,24.84,24.9,24.7,24.71,12450,0
BCGD.US,D,20251218,000000,24.86,24.94,24.8599,24.915,16181,0
BCGD.US,D,20251219,000000,24.95,25.15,24.95,25.135,9645,0
BCGD.US,D,20251222,000000,25.16,25.32,25.11,25.2937,16870,0
BCGD.US,D,20251223,000000,25.31,25.435,25.31,25.435,5494,0
BCGD.US,D,20251224,000000,25.44,25.55,25.4264,25.55,9708,0
BCGD.US,D,20251226,000000,25.555,25.59,25.555,25.585,7754,0
BCGD.US,D,20251229,000000,25.57,25.57,25.38,25.49,7333,0
BCGD.US,D,20251230,000000,25.49,25.5,25.4632,25.475,6837,0
BCGD.US,D,20251231,000000,25.4369,25.46,25.4,25.42,20610,0
BCGD.US,D,20260102,000000,25.56,25.57,25.37,25.45,5589,0
BCGD.US,D,20260105,000000,25.79,25.932,25.79,25.905,4197,0
BCGD.US,D,20260106,000000,26.075,26.2202,26.075,26.2202,3276,0
BCGD.US,D,20260107,000000,26.18,26.2,26.12,26.14,22454,0
BCGD.US,D,20260108,000000,26.01,26.0498,26,26.025,9413,0
BCGD.US,D,20260109,000000,26.2,26.3,26.13,26.24,14535,0
BCGD.US,D,20260112,000000,26.135,26.2456,26.11,26.2456,3110,0
BCGD.US,D,20260113,000000,26.11,26.1558,25.92,25.9401,19535,0
BCGD.US,D,20260114,000000,25.86,25.88,25.7,25.841,14990,0
BCGD.US,D,20260115,000000,26.17,26.18,26.065,26.065,6157,0
BCGD.US,D,20260116,000000,26.09,26.17,26.0599,26.105,7592,0
BCGD.US,D,20260120,000000,25.67,25.695,25.41,25.4126,17672,0
BCGD.US,D,20260121,000000,25.5,26.01,25.5,25.7761,28918,0
BCGD.US,D,20260122,000000,25.95,25.95,25.88,25.8828,5261,0
BCGD.US,D,20260123,000000,25.93,25.97,25.93,25.955,920,0
