<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JMMF.US,D,20251215,000000,100.22,100.26,100.21,100.215,4137,0
JMMF.US,D,20251218,000000,100.25,100.25,100.235,100.235,7049,0
JMMF.US,D,20251222,000000,100.2319,100.2319,100.145,100.145,949,0
JMMF.US,D,20251223,000000,100.13,100.155,99.97,100.075,17370,0
JMMF.US,D,20251224,000000,100.14,100.17,100.14,100.17,332,0
JMMF.US,D,20251230,000000,100.19,100.19,100.15,100.17,801,0
JMMF.US,D,20251231,000000,100.14,100.14,100.1287,100.1287,413,0
JMMF.US,D,20260102,000000,100.17,100.17,100.145,100.145,313,0
JMMF.US,D,20260105,000000,100.13,100.15,100.13,100.145,11555,0
JMMF.US,D,20260106,000000,100.14,100.1549,100.14,100.1549,475,0
JMMF.US,D,20260107,000000,100.2,100.24,100.16,100.162,5845,0
JMMF.US,D,20260108,000000,100.135,100.135,100.13,100.13,537,0
JMMF.US,D,20260109,000000,100.08,100.09,100.0706,100.09,263,0
JMMF.US,D,20260112,000000,100.1185,100.1185,100.08,100.09,383,0
JMMF.US,D,20260114,000000,100.13,100.13,100.09,100.1,462,0
JMMF.US,D,20260115,000000,100.13,100.145,100.13,100.145,814,0
JMMF.US,D,20260116,000000,100.1,100.11,100.1,100.105,1500,0
JMMF.US,D,20260120,000000,100.12,100.12,100.05,100.1,6914,0
JMMF.US,D,20260121,000000,100.12,100.12,100.07,100.07,1771,0
JMMF.US,D,20260122,000000,100.13,100.15,100.12,100.12,559,0
JMMF.US,D,20260123,000000,100.07,100.09,100.07,100.075,598,0
