<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARMH.US,D,20250613,000000,57.6786,57.9,57.6786,57.6786,105,0
ARMH.US,D,20250616,000000,58.8,60.3986,58.8,60.3986,111,0
ARMH.US,D,20250617,000000,63.4,63.4,62.16,62.2917,817,0
ARMH.US,D,20250618,000000,62.56,63.01,61.63,62.9795,2902,0
ARMH.US,D,20250620,000000,62.99,62.99,62.2844,62.2844,215,0
ARMH.US,D,20250624,000000,64.41,66.45,64.41,66.28,2605,0
ARMH.US,D,20250625,000000,67.4299,67.4299,66.4188,66.4188,678,0
ARMH.US,D,20250626,000000,66.87,67.32,66.5387,66.5387,213,0
ARMH.US,D,20250627,000000,67.95,69.6979,67.81,69.6979,1860,0
ARMH.US,D,20250630,000000,69.78,69.78,68.1439,68.1439,221,0
ARMH.US,D,20250702,000000,64.83,65.4251,64.83,65.4251,314,0
ARMH.US,D,20250703,000000,66.16,66.16,65.6326,65.6326,101,0
ARMH.US,D,20250707,000000,64.44,64.44,62.18,62.39,755,0
ARMH.US,D,20250708,000000,63.68,63.68,62.9095,62.9095,105,0
ARMH.US,D,20250709,000000,64.45,64.45,62.9,62.9,230,0
ARMH.US,D,20250710,000000,62.35,63.1803,62.35,63.1803,263,0
ARMH.US,D,20250711,000000,64.08,64.08,62.5588,62.5588,147,0
ARMH.US,D,20250714,000000,60.96,62.222,60.9,62.222,363,0
ARMH.US,D,20250715,000000,63.56,63.6609,63.56,63.6609,108,0
ARMH.US,D,20250716,000000,64.05,66.5,63.66,66.1755,926,0
ARMH.US,D,20250717,000000,66.45,67.5701,66.45,67.5701,517,0
ARMH.US,D,20250718,000000,67.62,68.64,67.4747,67.4747,616,0
ARMH.US,D,20250721,000000,68.66,69.82,68.226,69.2546,1884,0
ARMH.US,D,20250722,000000,66,69.18,66,66.7268,628,0
ARMH.US,D,20250723,000000,66.89,67.624,66.73,67.624,1028,0
ARMH.US,D,20250724,000000,67.64,68.73,67.64,68.3976,360,0
