<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNDY.US,D,20250703,000000,24.95,24.95,24.89,24.9199,400,0
BNDY.US,D,20250707,000000,24.87,24.88,24.785,24.785,4953,0
BNDY.US,D,20250710,000000,24.9367,24.94,24.9367,24.94,1081,0
BNDY.US,D,20250730,000000,25.02,25.02,24.9978,24.9978,100,0
BNDY.US,D,20250731,000000,25.0799,25.08,25.005,25.005,7008089,0
BNDY.US,D,20250801,000000,25.08,25.19,25.06,25.17,20664,0
BNDY.US,D,20250804,000000,25.16,25.25,25.14,25.235,8248,0
BNDY.US,D,20250805,000000,25.26,25.26,25.2,25.225,5877,0
BNDY.US,D,20250806,000000,25.1913,25.24,25.17,25.24,7694,0
BNDY.US,D,20250807,000000,25.25,25.28,25.18,25.22,9954,0
BNDY.US,D,20250808,000000,25.205,25.22,25.1601,25.185,4074,0
BNDY.US,D,20250811,000000,25.2232,25.2499,25.17,25.2,8879,0
BNDY.US,D,20250812,000000,25.1614,25.2105,25.1614,25.2105,4744,0
BNDY.US,D,20250813,000000,25.2607,25.305,25.2607,25.305,8377,0
BNDY.US,D,20250814,000000,25.2432,25.2432,25.2,25.225,5983,0
BNDY.US,D,20250815,000000,25.2208,25.25,25.16,25.195,5322,0
BNDY.US,D,20250818,000000,25.17,25.2182,25.13,25.185,7202,0
BNDY.US,D,20250819,000000,25.19,25.2499,25.19,25.2199,8603,0
BNDY.US,D,20250820,000000,25.17,25.28,25.17,25.235,15334,0
BNDY.US,D,20250821,000000,25.13,25.18,25.11,25.1549,4653,0
BNDY.US,D,20250822,000000,25.2012,25.29,25.2012,25.255,4755,0
BNDY.US,D,20250825,000000,25.18,25.26,25.18,25.2273,10041,0
BNDY.US,D,20250826,000000,25.18,25.255,25.17,25.255,10766,0
BNDY.US,D,20250827,000000,25.19,25.275,25.19,25.275,6033,0
BNDY.US,D,20250828,000000,25.25,25.32,25.25,25.32,12533,0
BNDY.US,D,20250829,000000,25.26,25.32,25.26,25.2949,6423,0
BNDY.US,D,20250902,000000,25.2,25.22,25.15,25.195,11918,0
BNDY.US,D,20250903,000000,25.285,25.3217,25.26,25.2706,11030,0
BNDY.US,D,20250904,000000,25.34,25.4095,25.2,25.4095,14466,0
BNDY.US,D,20250905,000000,25.52,25.57,25.48,25.5449,7228,0
BNDY.US,D,20250908,000000,25.571,25.6356,25.571,25.6199,5832,0
BNDY.US,D,20250909,000000,25.551,25.63,25.551,25.595,15896,0
BNDY.US,D,20250910,000000,25.6011,25.6547,25.6011,25.64,3982,0
BNDY.US,D,20250911,000000,25.729,25.749,25.6607,25.6999,7057,0
BNDY.US,D,20250912,000000,25.6238,25.655,25.59,25.655,4218,0
BNDY.US,D,20250915,000000,25.67,25.71,25.63,25.71,5017,0
BNDY.US,D,20250916,000000,25.714,25.74,25.68,25.71,9384,0
BNDY.US,D,20250917,000000,25.7,25.7382,25.6101,25.6593,9956,0
