<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARX.US,D,20250724,000000,28.5,29.45,25.94,26.5,22487700,0
ARX.US,D,20250725,000000,26.24,31.18,26.12,29.79,5951800,0
ARX.US,D,20250728,000000,29.77,30.94,29.11,29.48,2376300,0
ARX.US,D,20250729,000000,29,29.6475,27.66,28.38,1603800,0
ARX.US,D,20250730,000000,28.01,29.06,26.76,27.18,4192300,0
ARX.US,D,20250731,000000,27.27,28.38,26.8,27.54,1407410,0
ARX.US,D,20250801,000000,27.1,27.96,26.12,26.86,920041,0
ARX.US,D,20250804,000000,26.765,27.65,26.5,27.05,591439,0
ARX.US,D,20250805,000000,27.26,28.49,27,28.4,590175,0
ARX.US,D,20250806,000000,28.8,29.2191,28.19,28.95,1162131,0
ARX.US,D,20250807,000000,28.77,28.98,27.18,27.24,647971,0
ARX.US,D,20250808,000000,27.425,28.49,26.54,27.53,745463,0
ARX.US,D,20250811,000000,27.465,28.575,27.18,27.52,601494,0
ARX.US,D,20250812,000000,27.24,28.83,26.8,28.55,619917,0
ARX.US,D,20250813,000000,28.52,29.07,28.37,28.8,290450,0
ARX.US,D,20250814,000000,28.31,28.89,27.79,28.33,322474,0
ARX.US,D,20250815,000000,28.35,28.76,27.9,28.33,324045,0
ARX.US,D,20250818,000000,28.22,29.29,28.11,28.55,399429,0
ARX.US,D,20250819,000000,28.55,29.94,28.115,29.39,661285,0
ARX.US,D,20250820,000000,29.35,30.475,28.59,30,1238006,0
ARX.US,D,20250821,000000,30,30.1451,29.07,29.7,681960,0
ARX.US,D,20250822,000000,29.695,30.35,29.3547,30.05,753660,0
ARX.US,D,20250825,000000,30.1728,30.27,29.45,29.85,654948,0
ARX.US,D,20250826,000000,29.62,30,28.66,29.23,902099,0
ARX.US,D,20250827,000000,29.25,29.79,28.84,29.29,919805,0
ARX.US,D,20250828,000000,27.74,28.4,20.59,21.57,7346616,0
ARX.US,D,20250829,000000,21.66,21.66,18.26,20.05,4458293,0
ARX.US,D,20250902,000000,19.72,21.68,19.72,21.22,1911835,0
ARX.US,D,20250903,000000,20.96,21.25,20.07,20.52,1464851,0
ARX.US,D,20250904,000000,20.7707,20.8126,19.94,20.56,1236115,0
ARX.US,D,20250905,000000,20.66,20.73,19.985,20.15,809108,0
ARX.US,D,20250908,000000,20.205,20.48,19.9351,20.22,924184,0
ARX.US,D,20250909,000000,20.22,20.255,19.3,20.08,1644760,0
ARX.US,D,20250910,000000,19.915,20.505,19.44,19.65,1626946,0
ARX.US,D,20250911,000000,19.7,19.845,18.63,18.7,1017613,0
ARX.US,D,20250912,000000,18.75,18.75,17.02,17.21,1835892,0
ARX.US,D,20250915,000000,17.25,17.9,17.1,17.57,1120872,0
ARX.US,D,20250916,000000,17.36,17.61,16.58,16.95,1038194,0
ARX.US,D,20250917,000000,16.99,17.35,16.33,16.47,1307656,0
ARX.US,D,20250918,000000,16.785,17.13,16.26,17.1,1098314,0
ARX.US,D,20250919,000000,16.98,17.13,16.15,16.32,482219,0
ARX.US,D,20250922,000000,16.12,16.41,15.9,16.06,581202,0
ARX.US,D,20250923,000000,16.2576,16.48,15.87,15.96,403300,0
ARX.US,D,20250924,000000,16.0498,16.12,15.43,15.43,569667,0
ARX.US,D,20250925,000000,15.3,15.66,14.92,15.63,899898,0
ARX.US,D,20250926,000000,15.775,15.775,14.8,14.82,766800,0
ARX.US,D,20250929,000000,15.01,15.35,14.33,14.49,1771707,0
ARX.US,D,20250930,000000,14.81,15.23,14.41,14.89,2115452,0
ARX.US,D,20251001,000000,14.77,14.915,14.035,14.17,1578875,0
ARX.US,D,20251002,000000,14.34,14.34,12.88,13.71,3277529,0
