<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HOLD.US,D,20250818,000000,30.19,30.19,30.15,30.15,101,0
HOLD.US,D,20250819,000000,30.0131,30.13,30.0131,30.0515,699,0
HOLD.US,D,20250822,000000,30.11,30.11,29.55,30.11,1670,0
HOLD.US,D,20250826,000000,30.19,30.2505,30.19,30.2505,103,0
HOLD.US,D,20250903,000000,30.7622,30.765,30.68,30.7282,483,0
HOLD.US,D,20250904,000000,30.86,30.995,30.86,30.995,2035,0
HOLD.US,D,20250905,000000,30.99,31.02,30.7567,30.7567,1947,0
HOLD.US,D,20250917,000000,30.85,30.9,30.77,30.7818,8020,0
HOLD.US,D,20250918,000000,30.8266,30.8266,30.8118,30.8118,858,0
HOLD.US,D,20250919,000000,30.73,30.8651,30.7299,30.8651,631,0
HOLD.US,D,20250925,000000,30.71,30.77,30.6954,30.7628,1513,0
HOLD.US,D,20250926,000000,30.6947,30.6947,30.6947,30.6947,283,0
HOLD.US,D,20250929,000000,31.11,31.2596,31.11,31.1843,576,0
HOLD.US,D,20250930,000000,31.22,31.396,31.21,31.396,648,0
HOLD.US,D,20251001,000000,31.35,31.4292,31.35,31.4019,696,0
HOLD.US,D,20251007,000000,32.75,32.75,32.0563,32.0563,3049,0
HOLD.US,D,20251008,000000,32.4599,32.4599,32.3949,32.3949,375,0
HOLD.US,D,20251009,000000,32.33,32.3948,32.33,32.3948,1212,0
HOLD.US,D,20251010,000000,32.5,32.58,31.8178,31.8178,1068,0
HOLD.US,D,20251013,000000,32.54,32.6402,32.33,32.6402,1446,0
HOLD.US,D,20251015,000000,33.07,33.275,32.9335,32.9335,731,0
HOLD.US,D,20251016,000000,33.18,33.1842,33.18,33.1842,1165,0
HOLD.US,D,20251017,000000,32.88,32.9569,32.8,32.9569,2028,0
HOLD.US,D,20251020,000000,33.715,33.7418,33.37,33.7418,1756,0
HOLD.US,D,20251021,000000,33.35,33.39,33.3,33.3089,4414,0
HOLD.US,D,20251022,000000,32.84,32.84,32.8051,32.8051,247,0
HOLD.US,D,20251024,000000,33.395,33.395,33.323,33.323,205,0
HOLD.US,D,20251027,000000,33.27,33.3836,33.27,33.3836,322,0
HOLD.US,D,20251029,000000,33.5902,33.66,33.212,33.212,600,0
HOLD.US,D,20251106,000000,32.87,32.87,32.8,32.8,1257,0
HOLD.US,D,20251107,000000,32.5,32.7044,32.5,32.7044,1524,0
HOLD.US,D,20251111,000000,33.37,33.5168,33.37,33.5168,431,0
HOLD.US,D,20251113,000000,33.54,33.54,32.9409,32.9409,307,0
HOLD.US,D,20251118,000000,32.12,32.28,32.12,32.2593,202,0
HOLD.US,D,20251119,000000,32.44,32.6464,32.44,32.6464,744,0
HOLD.US,D,20251121,000000,32.35,32.35,32.2919,32.2919,1320,0
HOLD.US,D,20251124,000000,32.6,32.9114,32.6,32.9114,1000,0
HOLD.US,D,20251203,000000,32.7267,32.9071,32.7267,32.9071,496,0
HOLD.US,D,20251205,000000,32.66,32.66,32.5758,32.5758,163,0
HOLD.US,D,20251212,000000,32.8384,32.8384,32.7657,32.7657,320,0
HOLD.US,D,20251216,000000,32.69,32.69,32.6403,32.6403,328,0
HOLD.US,D,20251224,000000,30.9401,31.0762,30.9401,31.0762,178,0
HOLD.US,D,20260102,000000,30.595,30.595,30.56,30.5889,1368,0
HOLD.US,D,20260107,000000,31.35,31.35,31.1986,31.1986,1074,0
HOLD.US,D,20260120,000000,30.68,30.68,30.5,30.5367,92985,0
HOLD.US,D,20260121,000000,30.92,31.0782,30.9199,31.0566,1253,0
HOLD.US,D,20260122,000000,31.505,31.5877,31.505,31.5877,1921,0
HOLD.US,D,20260123,000000,31.455,33.0461,31.455,31.636,5336,0
