<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COIA.US,D,20250911,000000,27.93,28.4617,27.82,28.4617,1360,0
COIA.US,D,20250912,000000,29.33,29.33,28.095,28.4476,6744,0
COIA.US,D,20250915,000000,28.34,29.0813,28.11,29.0813,3255,0
COIA.US,D,20250916,000000,29.6,29.6,28.305,29.1653,15758,0
COIA.US,D,20250917,000000,29.21,29.21,26.901,27.9358,2854,0
COIA.US,D,20250918,000000,29.23,33.11,28.9425,31.7879,6420,0
COIA.US,D,20250919,000000,31.62,32.6983,31.1766,31.6617,2659,0
COIA.US,D,20250922,000000,30.02,30.07,29.371,29.713,9114,0
COIA.US,D,20250923,000000,29.62,29.62,27.44,27.5631,12610,0
COIA.US,D,20250924,000000,28.2,28.21,27.8688,27.8688,1332,0
COIA.US,D,20250925,000000,26.24,27.0993,25.22,25.22,31114,0
COIA.US,D,20250926,000000,25.4,26.22,24.65,26.1459,23598,0
COIA.US,D,20250929,000000,27,29.7499,26.99,29.6192,4774,0
COIA.US,D,20250930,000000,29.06,30.28,29.06,30.2784,8599,0
COIA.US,D,20251001,000000,31.31,32.48,31,31.838,13644,0
COIA.US,D,20251002,000000,33.49,37.23,33.49,36.5104,27412,0
COIA.US,D,20251003,000000,36.85,38.68,36.36,38.1347,24428,0
COIA.US,D,20251006,000000,40.37,40.54,38.5701,39.208,17304,0
COIA.US,D,20251007,000000,38.97,38.97,34.7431,37.136,37946,0
COIA.US,D,20251008,000000,37.54,39.97,37.15,39.6243,12158,0
COIA.US,D,20251009,000000,38.55,40.3282,38.5,39.28,7803,0
COIA.US,D,20251010,000000,40.1,42.1539,32.33,33.21,44790,0
COIA.US,D,20251013,000000,34.54,34.6,30.75,33.2581,37320,0
COIA.US,D,20251014,000000,29.82,32.16,29.6501,30.28,18713,0
COIA.US,D,20251015,000000,30.79,31.27,28.77,29.32,31222,0
COIA.US,D,20251016,000000,29.69,30.35,28.248,28.27,14855,0
