<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLOX.US,D,20250617,000000,19.11,19.4,19.02,19.1694,4711,0
BLOX.US,D,20250618,000000,19.2,19.61,19.2,19.4527,7413,0
BLOX.US,D,20250620,000000,19.77,19.91,19.18,19.2902,9702,0
BLOX.US,D,20250623,000000,18.6078,19.0588,18.36,18.9829,106348,0
BLOX.US,D,20250624,000000,19.36,20.0055,19.36,20.0055,9323,0
BLOX.US,D,20250625,000000,20.48,20.48,20.0605,20.322,8305,0
BLOX.US,D,20250626,000000,20.27,22.32,20.07,20.9482,3769,0
BLOX.US,D,20250627,000000,20.8,20.98,20.58,20.5816,6528,0
BLOX.US,D,20250630,000000,20.7914,21.1173,20.7914,21.1173,6746,0
BLOX.US,D,20250701,000000,21.0305,21.28,20.7,20.8121,6543,0
BLOX.US,D,20250702,000000,21.492,21.8,21.492,21.7413,8466,0
BLOX.US,D,20250703,000000,21.775,21.79,21.6902,21.6902,7460,0
BLOX.US,D,20250707,000000,21.2,21.35,20.879,21.157,16524,0
BLOX.US,D,20250708,000000,21.49,21.5,21.2,21.25,18021,0
BLOX.US,D,20250709,000000,21.53,21.78,21.18,21.7774,33590,0
BLOX.US,D,20250710,000000,21.7,22.24,21.6,22.0803,30876,0
BLOX.US,D,20250711,000000,22.3344,22.53,22,22.1462,23302,0
BLOX.US,D,20250714,000000,22.64,22.94,22.43,22.53,42169,0
BLOX.US,D,20250715,000000,22.38,22.5492,22.08,22.18,41351,0
BLOX.US,D,20250716,000000,22.69,23.24,22.6652,23.22,156505,0
BLOX.US,D,20250717,000000,23.06,23.7,23,23.5,132040,0
BLOX.US,D,20250718,000000,23.7,23.95,23.14,23.42,91374,0
BLOX.US,D,20250721,000000,23.88,24.15,23.19,23.37,164340,0
BLOX.US,D,20250722,000000,23.605,23.62,23.0001,23.43,117606,0
BLOX.US,D,20250723,000000,23.2861,23.51,23.02,23.3678,143749,0
BLOX.US,D,20250724,000000,23.48,23.76,23.24,23.65,105740,0
BLOX.US,D,20250725,000000,23.18,23.24,22.8385,23.19,119636,0
BLOX.US,D,20250728,000000,23.6,23.6,23.05,23.22,138042,0
BLOX.US,D,20250729,000000,23.22,23.3399,22.455,22.66,155338,0
BLOX.US,D,20250730,000000,22.899,23.17,22.55,22.97,84302,0
BLOX.US,D,20250731,000000,23.06,23.3017,22.76,22.97,89767,0
BLOX.US,D,20250801,000000,21.7,21.9072,21,21.21,152190,0
BLOX.US,D,20250804,000000,21.51,22,21.3279,21.67,65309,0
BLOX.US,D,20250805,000000,21.705,21.79,21.06,21.3985,108874,0
BLOX.US,D,20250806,000000,21.3219,21.85,21.2,21.75,67646,0
BLOX.US,D,20250807,000000,22.15,22.5999,21.95,22.09,78232,0
BLOX.US,D,20250808,000000,22.21,22.41,21.75,22.22,59489,0
BLOX.US,D,20250811,000000,22.5837,23.19,22.44,22.44,122236,0
BLOX.US,D,20250812,000000,22.89,23.0115,22.5252,22.88,73847,0
BLOX.US,D,20250813,000000,23.2398,23.4484,22.91,23.23,90126,0
BLOX.US,D,20250814,000000,22.5,23.17,22.33,22.97,75777,0
BLOX.US,D,20250815,000000,22.5408,22.79,22.1155,22.38,59289,0
BLOX.US,D,20250818,000000,22.11,22.6285,21.89,22.6,66890,0
BLOX.US,D,20250819,000000,22.48,22.48,21.2114,21.22,113254,0
BLOX.US,D,20250820,000000,21.38,21.65,20.6861,21.65,112313,0
BLOX.US,D,20250821,000000,21.335,21.5997,21.15,21.34,61088,0
BLOX.US,D,20250822,000000,21.054,22.52,20.9697,22.34,83681,0
