<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FGSM.US,D,20241226,000000,25.4,25.5068,25.4,25.5068,6991,0
FGSM.US,D,20241227,000000,25.31,25.35,25.135,25.2952,36261,0
FGSM.US,D,20241230,000000,24.93,25.265,24.93,25.2254,14431,0
FGSM.US,D,20241231,000000,25.18,25.2357,25.18,25.2126,1920,0
FGSM.US,D,20250102,000000,25.1885,25.1885,25.15,25.1873,1302,0
FGSM.US,D,20250103,000000,25.24,25.4164,25.24,25.4164,104806,0
FGSM.US,D,20250106,000000,25.49,25.647,25.4561,25.4561,2691,0
FGSM.US,D,20250107,000000,25.245,25.3091,25.235,25.2514,19077,0
FGSM.US,D,20250108,000000,25.188,25.188,25.13,25.1808,3434,0
FGSM.US,D,20250110,000000,24.72,24.81,24.72,24.7755,5390,0
FGSM.US,D,20250113,000000,24.601,24.8223,24.601,24.8223,347230,0
FGSM.US,D,20250114,000000,25.017,25.1,24.87,25.0626,7069,0
FGSM.US,D,20250115,000000,25.4,25.5,25.4,25.4589,28063,0
FGSM.US,D,20250116,000000,25.46,25.53,25.46,25.5112,23798,0
FGSM.US,D,20250117,000000,25.6761,25.7,25.61,25.6248,10373,0
FGSM.US,D,20250121,000000,25.941,26.08,25.941,26.08,8276,0
FGSM.US,D,20250122,000000,25.9105,25.97,25.9105,25.9277,4928,0
FGSM.US,D,20250123,000000,25.98,25.98,25.955,25.9644,1080,0
FGSM.US,D,20250124,000000,25.995,26.07,25.91,25.9747,10699,0
FGSM.US,D,20250127,000000,25.91,25.91,25.77,25.8093,6328,0
FGSM.US,D,20250128,000000,25.8499,25.86,25.8,25.8452,3259,0
FGSM.US,D,20250129,000000,25.8815,25.8815,25.799,25.8158,4909,0
FGSM.US,D,20250130,000000,26.1799,26.24,26.1033,26.1033,53483,0
FGSM.US,D,20250131,000000,25.93,25.93,25.85,25.8673,5000,0
FGSM.US,D,20250203,000000,25.5381,25.6301,25.5381,25.5512,7598,0
FGSM.US,D,20250204,000000,25.77,25.8418,25.77,25.8418,11549,0
FGSM.US,D,20250205,000000,26.08,26.08,25.94,26.0746,1134,0
FGSM.US,D,20250206,000000,26.16,26.16,26.025,26.0862,3867,0
FGSM.US,D,20250207,000000,26.11,26.11,25.85,25.86,253868,0
FGSM.US,D,20250210,000000,25.92,25.98,25.92,25.946,3700,0
