<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSTU.US,D,20240919,000000,28.84,31.7799,28.31,30.59,1239758,0
MSTU.US,D,20240920,000000,30.1,31.46,28.88,30.0737,324595,0
MSTU.US,D,20240923,000000,31.21,32.9599,30.34,32.3,792940,0
MSTU.US,D,20240924,000000,32.265,34.01,31.0155,33.92,389935,0
MSTU.US,D,20240925,000000,33.165,35.67,32.87,33.05,489846,0
MSTU.US,D,20240926,000000,35.28,39.7,34.95,39.06,1312034,0
MSTU.US,D,20240927,000000,41.21,45.49,40.17,43.92,1415179,0
MSTU.US,D,20240930,000000,39.9608,43.53,39.51,40.1,2818887,0
MSTU.US,D,20241001,000000,40.33,40.41,34.6,37.28,2289657,0
MSTU.US,D,20241002,000000,36.73,42.3,35.72,38.01,2299207,0
MSTU.US,D,20241003,000000,37.46,38.6,34.8602,37.55,1702762,0
MSTU.US,D,20241004,000000,39.16,43.49,37.74,43.49,3409357,0
MSTU.US,D,20241007,000000,45.18,50.96,44.68,48.1,5082944,0
MSTU.US,D,20241008,000000,48.24,54.4099,47.335,51.22,4740866,0
MSTU.US,D,20241009,000000,50.05,54.4,47.4072,49.53,3530721,0
MSTU.US,D,20241010,000000,51.13,51.13,43.7,46.77,3724001,0
MSTU.US,D,20241011,000000,49,61.29,48.65,61.24,5158600,0
MSTU.US,D,20241014,000000,68.28,69.5,54.8,54.97,6360433,0
MSTU.US,D,20241015,000000,57.7,59.95,48.3776,50.58,7098961,0
MSTU.US,D,20241016,000000,53.97,54.15,49.51,50.88,3197673,0
MSTU.US,D,20241017,000000,49.72,53.12,46.33,50.33,3040634,0
MSTU.US,D,20241018,000000,52.54,63.3695,52.3341,61.85,5823251,0
MSTU.US,D,20241021,000000,61.09,65.96,57.66,63.6,6004476,0
MSTU.US,D,20241022,000000,62.36,64.92,59.8,63.47,3332400,0
MSTU.US,D,20241023,000000,61,65.5,55.31,60.12,5028469,0
MSTU.US,D,20241024,000000,63.64,72.99,62.87,72.99,7211584,0
MSTU.US,D,20241025,000000,73,78.7,67.88,71.69,8734027,0
MSTU.US,D,20241028,000000,78,87.08,77.01,84.54,6863831,0
MSTU.US,D,20241029,000000,90.38,92.8,81.68,86.1,9882188,0
MSTU.US,D,20241030,000000,78.28,84.61,73.5,79,7172792,0
MSTU.US,D,20241031,000000,81.6,82.3,72.42,76.69,7103648,0
MSTU.US,D,20241101,000000,77.35,83.8109,65.16,67.4,7246698,0
