<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OAKI.US,D,20251212,000000,25.565,25.59,25.47,25.4707,11348,0
OAKI.US,D,20251215,000000,25.574,25.63,25.49,25.501,5964,0
OAKI.US,D,20251216,000000,25.48,25.49,25.44,25.4556,6621,0
OAKI.US,D,20251217,000000,25.4001,25.5,25.29,25.29,4123,0
OAKI.US,D,20251218,000000,25.473,25.54,25.473,25.4785,2151,0
OAKI.US,D,20251219,000000,25.56,25.565,25.56,25.565,306,0
OAKI.US,D,20251222,000000,25.525,25.62,25.525,25.5745,2172,0
OAKI.US,D,20251223,000000,25.6,25.61,25.5785,25.61,168265,0
OAKI.US,D,20251226,000000,25.7699,25.89,25.72,25.8351,40548,0
OAKI.US,D,20251229,000000,25.724,25.8399,25.65,25.7033,115895,0
OAKI.US,D,20251230,000000,25.83,25.86,25.81,25.81,20298,0
OAKI.US,D,20251231,000000,25.72,25.77,25.67,25.7173,44472,0
OAKI.US,D,20260102,000000,25.879,25.89,25.78,25.8168,11592,0
OAKI.US,D,20260105,000000,26.0551,26.14,26.05,26.1346,14120,0
OAKI.US,D,20260106,000000,26.025,26.2,26.025,26.195,24562,0
OAKI.US,D,20260107,000000,26.03,26.06,25.9334,25.98,9509,0
OAKI.US,D,20260108,000000,26.14,26.16,26.14,26.154,12327,0
OAKI.US,D,20260109,000000,26.51,26.54,26.38,26.5175,6646,0
OAKI.US,D,20260112,000000,26.4299,26.7,26.428,26.63,12654,0
OAKI.US,D,20260113,000000,26.539,26.5399,26.382,26.4062,948801,0
OAKI.US,D,20260114,000000,26.48,26.66,26.48,26.5487,7077,0
OAKI.US,D,20260115,000000,26.57,26.61,26.57,26.575,7861,0
OAKI.US,D,20260116,000000,26.425,26.425,26.3384,26.3755,4591,0
OAKI.US,D,20260120,000000,25.88,26.04,25.8287,25.8287,15285,0
OAKI.US,D,20260121,000000,26.08,26.41,25.93,26.2793,4373,0
OAKI.US,D,20260122,000000,26.4,26.45,26.4,26.4042,1868,0
OAKI.US,D,20260123,000000,26.28,26.4452,26.19,26.4452,1825,0
