<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMH.US,D,20250613,000000,48.9359,48.97,48.9359,48.9359,111,0
TMH.US,D,20250616,000000,48.72,49.0602,48.72,49.0602,121,0
TMH.US,D,20250617,000000,46.79,46.79,46.7869,46.7869,227,0
TMH.US,D,20250618,000000,47.56,47.56,47.2494,47.2494,111,0
TMH.US,D,20250620,000000,46.68,46.68,46.595,46.6217,1764,0
TMH.US,D,20250625,000000,45.84,45.84,45.6286,45.6286,331,0
TMH.US,D,20250626,000000,45.5,45.7375,45.5,45.7375,543,0
TMH.US,D,20250627,000000,47.03,47.3,47.03,47.2484,1265,0
TMH.US,D,20250701,000000,46.04,46.04,45.744,45.744,138,0
TMH.US,D,20250702,000000,45.79,45.8126,45.79,45.8126,124,0
TMH.US,D,20250703,000000,46.9,46.9,46.869,46.869,307,0
TMH.US,D,20250707,000000,46.1,46.1,45.5394,45.5394,378,0
TMH.US,D,20250708,000000,46,46.2924,46,46.2924,116,0
TMH.US,D,20250709,000000,46.27,46.3084,46.27,46.3084,364,0
TMH.US,D,20250710,000000,46.14,46.2662,46.14,46.2662,237,0
TMH.US,D,20250711,000000,46.65,46.65,46.6035,46.6035,224,0
TMH.US,D,20250714,000000,46.86,47.1931,46.86,47.1931,118,0
TMH.US,D,20250715,000000,47.15,47.15,47.0444,47.0444,110,0
TMH.US,D,20250716,000000,46.63,46.63,46,46.6202,1190,0
TMH.US,D,20250717,000000,46.89,47.0193,46.89,47.0193,326,0
TMH.US,D,20250718,000000,46.8,46.8,46.6335,46.6335,122,0
TMH.US,D,20250721,000000,46.68,46.68,46.547,46.547,465,0
TMH.US,D,20250722,000000,46.23,46.302,46.23,46.302,216,0
TMH.US,D,20250723,000000,52.22,52.3719,51.04,52.3719,2321,0
TMH.US,D,20250724,000000,52.33,52.41,52.19,52.2127,1192,0
TMH.US,D,20250725,000000,51.3,51.7,51.3,51.5364,1477,0
TMH.US,D,20250728,000000,51.64,51.64,51.5129,51.5129,224,0
TMH.US,D,20250729,000000,50.97,50.97,50.65,50.6675,361,0
TMH.US,D,20250730,000000,50.79,50.79,50.6557,50.6557,350,0
TMH.US,D,20250731,000000,50.33,50.4,50.0791,50.0791,216,0
TMH.US,D,20250801,000000,49.29,49.29,49.1788,49.1788,512,0
TMH.US,D,20250804,000000,49.62,49.7968,49.62,49.7968,331,0
TMH.US,D,20250805,000000,49.87,50.09,49.61,49.8046,510,0
TMH.US,D,20250806,000000,50.42,50.42,50.35,50.3865,736,0
TMH.US,D,20250807,000000,49.78,49.78,49.58,49.5879,482,0
TMH.US,D,20250808,000000,51.42,51.76,51.42,51.6927,487,0
TMH.US,D,20250811,000000,51.94,52.0032,51.86,52.0032,217,0
TMH.US,D,20250812,000000,53.21,53.22,53.1128,53.1128,570,0
TMH.US,D,20250813,000000,52.97,53.0865,52.97,53.0865,513,0
TMH.US,D,20250814,000000,52.45,52.7846,52.45,52.7846,809,0
TMH.US,D,20250815,000000,53.08,53.08,52.78,52.7829,619,0
TMH.US,D,20250818,000000,53.93,54.1556,53.93,54.1556,1145,0
TMH.US,D,20250819,000000,54.53,54.53,54.3055,54.3055,239,0
TMH.US,D,20250820,000000,54.34,54.4047,54.25,54.4047,328,0
TMH.US,D,20250821,000000,54.08,54.2617,54.08,54.2617,328,0
TMH.US,D,20250822,000000,54.77,54.77,54.7568,54.7568,271,0
TMH.US,D,20250825,000000,54.46,54.59,54.3,54.3865,1621,0
TMH.US,D,20250826,000000,53.86,53.86,53.72,53.8577,342,0
TMH.US,D,20250827,000000,53.84,53.84,53.54,53.7935,714,0
