<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOV.US,D,20250303,000000,25.1799,25.1799,24.42,24.4974,89287,0
TOV.US,D,20250304,000000,24.35,24.58,24.07,24.2305,63024,0
TOV.US,D,20250305,000000,24.28,24.56,24.1,24.503,56242,0
TOV.US,D,20250306,000000,24.32,24.38,23.97,24.0572,747591,0
TOV.US,D,20250307,000000,24.16,24.22,23.7405,24.2,315231,0
TOV.US,D,20250310,000000,23.83,23.89,23.47,23.5109,23212,0
TOV.US,D,20250311,000000,23.3465,23.49,23.235,23.3576,2174,0
TOV.US,D,20250312,000000,23.52,23.64,23.25,23.4782,11480,0
TOV.US,D,20250313,000000,23.4,23.46,23.12,23.13,7460,0
TOV.US,D,20250314,000000,23.4,23.6156,23.32,23.6156,13226,0
TOV.US,D,20250317,000000,23.5999,23.85,23.5999,23.796,2721,0
TOV.US,D,20250318,000000,23.54,23.71,23.4353,23.5055,3220,0
TOV.US,D,20250319,000000,23.58,23.79,23.58,23.78,9819,0
TOV.US,D,20250320,000000,23.6577,23.86,23.65,23.76,11783,0
TOV.US,D,20250321,000000,23.5692,23.7205,23.51,23.7197,2244,0
TOV.US,D,20250324,000000,24.04,24.19,24.0047,24.16,29548,0
TOV.US,D,20250325,000000,24.21,24.26,24.13,24.1928,1322,0
TOV.US,D,20250326,000000,24.19,24.19,23.89,23.9234,4416,0
TOV.US,D,20250327,000000,23.8,23.904,23.8,23.84,6428,0
TOV.US,D,20250328,000000,23.71,23.71,23.2996,23.3129,48784,0
TOV.US,D,20250331,000000,23,23.47,22.97,23.47,4227,0
TOV.US,D,20250401,000000,23.41,23.55,23.34,23.5111,4694,0
TOV.US,D,20250402,000000,23.48,23.77,23.48,23.71,69045,0
TOV.US,D,20250403,000000,22.78,22.89,22.56,22.56,16205,0
TOV.US,D,20250404,000000,21.74,21.98,21.21,21.23,16760,0
TOV.US,D,20250407,000000,21.56,21.56,20.4,21.1461,5784,0
TOV.US,D,20250408,000000,21.92,22.01,20.61,20.87,39245,0
TOV.US,D,20250409,000000,20.95,22.84,20.7,22.84,73335,0
TOV.US,D,20250410,000000,22.27,22.3,21.56,22.08,11491,0
TOV.US,D,20250411,000000,22.02,22.47,22.02,22.43,62883,0
TOV.US,D,20250414,000000,22.7,22.74,22.4,22.6004,64221,0
TOV.US,D,20250415,000000,22.66,22.69,22.5708,22.5708,2193,0
TOV.US,D,20250416,000000,22.28,22.35,21.8588,22.0724,13890,0
TOV.US,D,20250417,000000,22.1316,22.1316,22.11,22.11,2973,0
TOV.US,D,20250421,000000,21.859,21.8699,21.5758,21.5758,2171,0
TOV.US,D,20250422,000000,21.93,22.23,21.91,22.1126,11355,0
TOV.US,D,20250423,000000,22.67,22.86,22.49,22.5096,6965,0
TOV.US,D,20250424,000000,22.56,22.9526,22.56,22.9526,2039,0
TOV.US,D,20250425,000000,22.9,23.1165,22.9,23.1165,1034,0
TOV.US,D,20250428,000000,23.15,23.18,23.15,23.1716,853,0
TOV.US,D,20250429,000000,23.16,23.2894,23.16,23.2894,879,0
TOV.US,D,20250430,000000,22.82,23.3294,22.82,23.3294,1953,0
TOV.US,D,20250501,000000,23.6715,23.6715,23.4745,23.4745,2151,0
TOV.US,D,20250502,000000,23.75,23.855,23.75,23.8192,2343,0
TOV.US,D,20250505,000000,23.6958,23.81,23.66,23.6693,6131,0
TOV.US,D,20250506,000000,23.56,23.562,23.51,23.5136,2894,0
TOV.US,D,20250507,000000,23.6,23.6864,23.44,23.5849,4365,0
TOV.US,D,20250508,000000,23.65,23.9138,23.65,23.7276,1866,0
TOV.US,D,20250509,000000,23.79,23.79,23.7,23.7256,3421,0
TOV.US,D,20250512,000000,24.3526,24.4688,24.3526,24.4688,482825,0
TOV.US,D,20250513,000000,24.605,24.77,24.605,24.6902,50536,0
TOV.US,D,20250514,000000,24.7334,24.75,24.654,24.7093,2086,0
TOV.US,D,20250515,000000,24.69,24.8004,24.61,24.8004,4242,0
TOV.US,D,20250516,000000,24.8894,24.9795,24.8894,24.9795,2695,0
TOV.US,D,20250519,000000,24.9,25.01,24.9,24.9888,1176,0
