<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPRB.US,D,20250915,000000,10.43,11.64,8.05,9.8,103423,0
SPRB.US,D,20250916,000000,9.75,9.75,8.7,9.58,16686,0
SPRB.US,D,20250917,000000,9.5,10.1,8.8715,9.52,10882,0
SPRB.US,D,20250918,000000,9.5,9.5,8.8825,8.8825,2477,0
SPRB.US,D,20250919,000000,8.89,9,8.375,8.375,5091,0
SPRB.US,D,20250922,000000,8.7499,9.64,8.2,9.08,16437,0
SPRB.US,D,20250923,000000,8.5,8.635,8.35,8.5,4720,0
SPRB.US,D,20250924,000000,8.6,8.6,7.5,8.35,20086,0
SPRB.US,D,20250925,000000,8,8.1,7.6866,7.75,6741,0
SPRB.US,D,20250926,000000,7.97,7.97,7.75,7.75,824,0
SPRB.US,D,20250929,000000,7.26,10.2,7.26,9.7,69182,0
SPRB.US,D,20250930,000000,9.78,9.78,8.49,8.95,35041,0
SPRB.US,D,20251001,000000,8.95,9.29,8.675,8.9,8011,0
SPRB.US,D,20251002,000000,9.09,9.09,8.55,8.6,11829,0
SPRB.US,D,20251003,000000,8.9,8.95,7.88,8.82,24573,0
SPRB.US,D,20251006,000000,34.77,170,30.03,130.4,24947103,0
SPRB.US,D,20251007,000000,211.95,240,175,182.6,2076703,0
SPRB.US,D,20251008,000000,140,175,138.01,160.075,761183,0
SPRB.US,D,20251009,000000,158.5,180,140.5019,175.31,347864,0
SPRB.US,D,20251010,000000,177.95,199.1999,161.86,173.6,326839,0
SPRB.US,D,20251013,000000,179.99,182.97,152,159.01,148678,0
SPRB.US,D,20251014,000000,156.69,188.25,156.69,176.91,192672,0
SPRB.US,D,20251015,000000,171.59,179.95,158,159.06,171361,0
SPRB.US,D,20251016,000000,161.1,163,150,156.61,118507,0
SPRB.US,D,20251017,000000,155.77,159.4128,151.83,157.82,136261,0
SPRB.US,D,20251020,000000,153.44,154.95,143,148.16,94166,0
