<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TWLVU.US,D,20251212,000000,10,10.01,9.975,10,6361196,0
TWLVU.US,D,20251215,000000,10,10,9.98,9.98,86768,0
TWLVU.US,D,20251216,000000,9.98,9.99,9.97,9.97,74412,0
TWLVU.US,D,20251217,000000,9.99,9.99,9.97,9.975,34447,0
TWLVU.US,D,20251218,000000,9.9752,9.9752,9.97,9.97,22149,0
TWLVU.US,D,20251219,000000,9.98,9.98,9.96,9.96,300444,0
TWLVU.US,D,20251222,000000,9.97,9.9974,9.97,9.97,420077,0
TWLVU.US,D,20251223,000000,9.97,9.97,9.97,9.97,1789,0
TWLVU.US,D,20251229,000000,9.97,9.97,9.97,9.97,448,0
TWLVU.US,D,20251230,000000,9.96,9.99,9.96,9.99,2244,0
TWLVU.US,D,20251231,000000,9.97,9.97,9.95,9.95,5657,0
TWLVU.US,D,20260102,000000,9.95,9.97,9.95,9.965,11997,0
TWLVU.US,D,20260105,000000,9.96,9.96,9.96,9.96,720,0
TWLVU.US,D,20260106,000000,9.96,9.99,9.96,9.99,615,0
TWLVU.US,D,20260107,000000,10.034,10.034,9.98,9.98,898,0
TWLVU.US,D,20260108,000000,9.985,9.995,9.985,9.995,118001,0
TWLVU.US,D,20260109,000000,9.99,10.01,9.99,10.01,119695,0
TWLVU.US,D,20260112,000000,10,10.01,9.99,10.01,5502,0
TWLVU.US,D,20260113,000000,10.005,10.02,10.005,10.02,12437,0
TWLVU.US,D,20260114,000000,10.03,10.035,10.03,10.035,1812,0
TWLVU.US,D,20260115,000000,10.03,10.05,10.03,10.05,6734,0
TWLVU.US,D,20260116,000000,10.03,10.03,10,10,4612,0
TWLVU.US,D,20260120,000000,10,10.03,10,10.03,710,0
TWLVU.US,D,20260121,000000,10.01,10.02,10.01,10.01,7182,0
TWLVU.US,D,20260122,000000,10.02,10.03,10.01,10.01,80339,0
TWLVU.US,D,20260123,000000,10.02,10.02,10.02,10.02,50532,0
