<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LINT.US,D,20251119,000000,26.115,26.39,26.115,26.1205,3224,0
LINT.US,D,20251120,000000,28.17,28.17,23.8666,23.8666,1267,0
LINT.US,D,20251124,000000,26.21,27.46,26.21,27.001,3687,0
LINT.US,D,20251125,000000,26.53,27.2559,26.53,27.057,5876,0
LINT.US,D,20251126,000000,28.001,28.67,28.001,28.5471,4199,0
LINT.US,D,20251128,000000,29.52,34.2167,29.52,34.2167,6721,0
LINT.US,D,20251201,000000,33.07,33.8,32.83,33.3491,7952,0
LINT.US,D,20251202,000000,34.793,39.705,34.69,39.0731,30086,0
LINT.US,D,20251203,000000,39.12,39.5837,37.7425,39.5837,30173,0
LINT.US,D,20251204,000000,37.75,38.22,33.18,33.6228,21819,0
LINT.US,D,20251205,000000,35.5826,37.3799,35.1905,35.1905,35036,0
LINT.US,D,20251208,000000,36.09,36.1335,32.1001,33.1723,19428,0
LINT.US,D,20251209,000000,34.14,34.29,32.9537,33.68,21620,0
LINT.US,D,20251210,000000,32.36,34.2499,31.87,34.1,10337,0
LINT.US,D,20251211,000000,32.2991,32.6084,31.4625,31.9195,3684,0
LINT.US,D,20251212,000000,32.45,32.45,29.2,29.2,4436,0
LINT.US,D,20251215,000000,29.8,29.8,28.43,28.6597,34866,0
LINT.US,D,20251216,000000,28.58,28.7,28.3,28.3,7129,0
LINT.US,D,20251217,000000,27.68,27.68,26.43,26.49,11553,0
LINT.US,D,20251218,000000,28.36,28.36,25.91,26.68,11602,0
LINT.US,D,20251219,000000,28.189,28.5832,27.52,27.5291,6369,0
LINT.US,D,20251222,000000,29.17,29.17,26.8178,26.8178,16954,0
LINT.US,D,20251223,000000,26.9,27,26.52,26.66,12080,0
LINT.US,D,20251224,000000,25.41,26.55,25.41,26.55,23648,0
LINT.US,D,20251226,000000,26.49,26.641,26.075,26.5097,11916,0
LINT.US,D,20251229,000000,26.76,27.28,26.5,27.11,8328,0
LINT.US,D,20251230,000000,27.86,29.5099,27.86,28.15,16058,0
LINT.US,D,20251231,000000,28.33,28.33,27.5616,27.5616,7548,0
LINT.US,D,20260102,000000,29.7442,31.67,29.3801,31.1585,27100,0
LINT.US,D,20260105,000000,34.72,34.72,31.09,31.0903,41810,0
LINT.US,D,20260106,000000,31.56,32.55,30.6,32.17,27738,0
LINT.US,D,20260107,000000,32.62,39.2824,32.62,36.33,63409,0
LINT.US,D,20260108,000000,35.9,36.74,33.1,33.7387,36399,0
LINT.US,D,20260109,000000,34.63,41.16,34.63,40.9916,86146,0
LINT.US,D,20260112,000000,38.52,40.42,38,38.21,47326,0
LINT.US,D,20260113,000000,41.31,45.47,40.608,43.92,73526,0
LINT.US,D,20260114,000000,46.67,46.8895,44.24,46.4952,73446,0
LINT.US,D,20260115,000000,47.98,49.54,44.9201,45.62,66793,0
LINT.US,D,20260116,000000,47.58,49,42.7464,43.4579,109716,0
LINT.US,D,20260120,000000,43.89,49.01,43.325,46.02,112525,0
LINT.US,D,20260121,000000,49.31,56.87,49.08,56.86,104114,0
LINT.US,D,20260122,000000,56.84,57.26,54.37,56.88,296447,0
LINT.US,D,20260123,000000,41.2,43.25,36.24,37.42,455958,0
