<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NAMM.US,D,20250610,000000,20.51,22,19.31,19.86,108290,0
NAMM.US,D,20250611,000000,19.62,19.62,16.42,17.1711,74267,0
NAMM.US,D,20250612,000000,16.01,16.11,14.62,15.8,51741,0
NAMM.US,D,20250613,000000,17.345,17.345,14.5301,16.18,81979,0
NAMM.US,D,20250616,000000,15.39,19.75,15.01,16.6,114178,0
NAMM.US,D,20250617,000000,16.5,16.77,15.6,16.05,30724,0
NAMM.US,D,20250618,000000,16.25,17.105,15.65,15.99,17976,0
NAMM.US,D,20250620,000000,15.2989,16.59,13.7,16.59,129197,0
NAMM.US,D,20250623,000000,14.97,15.9468,14.265,14.265,36871,0
NAMM.US,D,20250624,000000,13.8975,15.005,13.85,13.86,16018,0
NAMM.US,D,20250625,000000,13.51,13.51,11.42,12.5,32023,0
NAMM.US,D,20250626,000000,12.03,12.8,10.01,10.45,35407,0
NAMM.US,D,20250627,000000,10.99,11.4999,7.65,9.03,403528,0
NAMM.US,D,20250630,000000,8.5,8.8318,7.51,7.56,88118,0
NAMM.US,D,20250701,000000,7.11,7.4798,6.65,6.88,384843,0
NAMM.US,D,20250702,000000,9.35,11.6299,8.7701,10.96,8137564,0
NAMM.US,D,20250703,000000,10.89,11.1,8.9004,9.3,464301,0
NAMM.US,D,20250707,000000,8.8,8.8,7.5201,7.55,239894,0
NAMM.US,D,20250708,000000,7.4,7.9,6.926,7.31,109315,0
NAMM.US,D,20250709,000000,7.45,7.75,7.11,7.16,72774,0
NAMM.US,D,20250710,000000,7.53,7.5987,6.95,7.08,79573,0
NAMM.US,D,20250711,000000,7.08,8,7.08,7.78,116605,0
NAMM.US,D,20250714,000000,7.72,8.6238,7.58,8.51,123585,0
NAMM.US,D,20250715,000000,8.59,8.59,7.65,7.91,98428,0
NAMM.US,D,20250716,000000,7.85,8.07,7.6,7.87,43446,0
NAMM.US,D,20250717,000000,7.76,8.145,7.602,7.88,56117,0
NAMM.US,D,20250718,000000,7.86,8.6,7.67,8.6,94044,0
NAMM.US,D,20250721,000000,8.58,8.94,8.3032,8.59,53594,0
NAMM.US,D,20250722,000000,8.2001,8.61,8.2001,8.5,22240,0
NAMM.US,D,20250723,000000,8.33,8.409,7.83,7.96,29121,0
NAMM.US,D,20250724,000000,8,8,6.35,6.5,140689,0
NAMM.US,D,20250725,000000,6.75,6.98,6.0903,6.24,88723,0
NAMM.US,D,20250728,000000,6.23,6.594,4.92,5,196253,0
NAMM.US,D,20250729,000000,5.02,5.18,4.38,4.5,136837,0
NAMM.US,D,20250730,000000,4.48,4.89,4,4.02,137281,0
NAMM.US,D,20250731,000000,4.08,4.16,3.655,3.96,1227517,0
NAMM.US,D,20250801,000000,5.7,5.8,3.98,4.26,19990678,0
NAMM.US,D,20250804,000000,4.02,4.0276,3.53,3.54,778400,0
NAMM.US,D,20250805,000000,3.36,3.5,3.1,3.19,532197,0
NAMM.US,D,20250806,000000,3.1,3.5,3.1,3.18,277999,0
NAMM.US,D,20250807,000000,3.13,3.17,2.71,2.75,326993,0
NAMM.US,D,20250808,000000,2.71,2.92,2.70005,2.71,199980,0
NAMM.US,D,20250811,000000,2.71,2.8,2.6131,2.74,142278,0
NAMM.US,D,20250812,000000,2.79,3.38,2.77,2.92,393485,0
NAMM.US,D,20250813,000000,2.82,3.089,2.78,2.93,162289,0
NAMM.US,D,20250814,000000,2.88,3.2,2.85,2.93,214993,0
NAMM.US,D,20250815,000000,2.88,2.94,2.8001,2.84,111996,0
NAMM.US,D,20250818,000000,2.8,2.8767,2.65,2.81,94633,0
NAMM.US,D,20250819,000000,2.75,2.7999,2.7059,2.79,71610,0
NAMM.US,D,20250820,000000,2.79,2.79,2.58,2.64,89695,0
NAMM.US,D,20250821,000000,2.66,2.91,2.56,2.84,144437,0
NAMM.US,D,20250822,000000,2.82,2.8989,2.72,2.77,78341,0
NAMM.US,D,20250825,000000,2.76,3.105,2.76,2.9,134432,0
NAMM.US,D,20250826,000000,2.99,3,2.81,2.93,66362,0
NAMM.US,D,20250827,000000,2.951,3.1399,2.89252,2.92,144665,0
NAMM.US,D,20250828,000000,3,3.05,2.86,2.9,77977,0
NAMM.US,D,20250829,000000,3,3,2.72,2.82,116683,0
NAMM.US,D,20250902,000000,2.85,3.135,2.82,3.03,421859,0
NAMM.US,D,20250903,000000,3.48,3.75,3.12,3.2,4598943,0
NAMM.US,D,20250904,000000,3.05,3.33,2.97,3.27,376083,0
NAMM.US,D,20250905,000000,3.22,3.35,3.08,3.24,261263,0
NAMM.US,D,20250908,000000,3.2,3.2823,3.05,3.08,189626,0
NAMM.US,D,20250909,000000,3.07,3.16,2.8101,2.93,145986,0
NAMM.US,D,20250910,000000,2.91,2.9899,2.82,2.97,101827,0
NAMM.US,D,20250911,000000,2.88,3.065,2.84,3,107980,0
NAMM.US,D,20250912,000000,2.97,3.18,2.97,3.15,98697,0
NAMM.US,D,20250915,000000,3.2,3.55,3.2,3.44,272732,0
NAMM.US,D,20250916,000000,3.49,3.49,3.16,3.22,96996,0
NAMM.US,D,20250917,000000,3.2,3.53,3.0202,3.11,669476,0
NAMM.US,D,20250918,000000,3.17,3.23,3.0653,3.08,132592,0
NAMM.US,D,20250919,000000,3.07,3.1499,2.95,2.99,232236,0
NAMM.US,D,20250922,000000,3.09,3.35,3,3.21,172421,0
NAMM.US,D,20250923,000000,3.19,3.35,3.05,3.14,170362,0
NAMM.US,D,20250924,000000,3.1,3.45,3.05,3.34,405523,0
NAMM.US,D,20250925,000000,3.31,3.3919,3.12,3.16,138245,0
NAMM.US,D,20250926,000000,3.17,3.4,3.1,3.16,116435,0
NAMM.US,D,20250929,000000,3.18,3.39,3.18,3.3,299389,0
NAMM.US,D,20250930,000000,3.27,3.346,3.21,3.29,92848,0
NAMM.US,D,20251001,000000,3.26,3.3099,3.132,3.16,102242,0
NAMM.US,D,20251002,000000,3.17,3.2945,3.14,3.14,90972,0
