<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMSGW.US,D,20241121,000000,0.0501,0.055,0.027,0.0462,67797,0
RMSGW.US,D,20241122,000000,0.0401,0.0825,0.0401,0.056,293703,0
RMSGW.US,D,20241125,000000,0.0505,0.0949,0.05,0.0632,34808,0
RMSGW.US,D,20241126,000000,0.09,0.09,0.05,0.0502,22125,0
RMSGW.US,D,20241202,000000,0.0525,0.0525,0.0525,0.0525,358,0
RMSGW.US,D,20241209,000000,0.0525,0.0525,0.0351,0.045,62750,0
RMSGW.US,D,20241210,000000,0.0495,0.0495,0.035,0.0396,21206,0
RMSGW.US,D,20241211,000000,0.04,0.06,0.035,0.0376,72009,0
RMSGW.US,D,20241212,000000,0.043901,0.06,0.0356,0.0357,125913,0
RMSGW.US,D,20241213,000000,0.05,0.05,0.038704,0.049799,8296,0
RMSGW.US,D,20241216,000000,0.0497,0.0497,0.035,0.0355,39216,0
RMSGW.US,D,20241217,000000,0.0495,0.0495,0.035,0.0486,12450,0
RMSGW.US,D,20241218,000000,0.0472,0.0472,0.03,0.0315,19469,0
RMSGW.US,D,20241219,000000,0.0443,0.0447,0.035,0.0445,9078,0
RMSGW.US,D,20241220,000000,0.0689,0.0689,0.04,0.042,9011,0
RMSGW.US,D,20241223,000000,0.04,0.0438,0.0361,0.0361,34741,0
RMSGW.US,D,20241226,000000,0.05,0.05,0.035,0.035,7972,0
RMSGW.US,D,20241227,000000,0.035,0.055,0.035,0.035,87399,0
RMSGW.US,D,20241230,000000,0.0355,0.1,0.0355,0.054,88874,0
RMSGW.US,D,20241231,000000,0.0534,0.0539,0.038,0.038,4798,0
RMSGW.US,D,20250102,000000,0.0513,0.0518,0.046,0.050701,29445,0
RMSGW.US,D,20250103,000000,0.0503,0.0508,0.0402,0.0507,9292,0
RMSGW.US,D,20250106,000000,0.0489,0.049,0.0489,0.049,415,0
RMSGW.US,D,20250107,000000,0.0477,0.0478,0.0477,0.0478,405,0
RMSGW.US,D,20250108,000000,0.04789,0.04789,0.04789,0.04789,212,0
RMSGW.US,D,20250113,000000,0.0404,0.0404,0.0356,0.04,11219,0
RMSGW.US,D,20250114,000000,0.0375,0.0399,0.035,0.035,36799,0
RMSGW.US,D,20250115,000000,0.05,0.05,0.04,0.04,1301,0
RMSGW.US,D,20250116,000000,0.047399,0.047399,0.047399,0.047399,691,0
RMSGW.US,D,20250117,000000,0.0508,0.0508,0.025,0.0382,71416,0
RMSGW.US,D,20250121,000000,0.0459,0.0459,0.0396,0.0431,5411,0
RMSGW.US,D,20250122,000000,0.0447,0.0595,0.0443,0.050001,15954,0
RMSGW.US,D,20250123,000000,0.05,0.05,0.05,0.05,50092,0
RMSGW.US,D,20250124,000000,0.06,0.06,0.0517,0.0517,1310,0
RMSGW.US,D,20250127,000000,0.0434,0.06,0.0359,0.041,76951,0
RMSGW.US,D,20250128,000000,0.056,0.057,0.03,0.0424,35980,0
RMSGW.US,D,20250129,000000,0.0369,0.0481,0.0366,0.037,1759,0
RMSGW.US,D,20250130,000000,0.0383,0.0482,0.0383,0.0482,706,0
RMSGW.US,D,20250131,000000,0.0479,0.0479,0.0418,0.0418,1191,0
RMSGW.US,D,20250203,000000,0.0255,0.058,0.0255,0.0483,145306,0
RMSGW.US,D,20250204,000000,0.0479,0.0479,0.0479,0.0479,283,0
RMSGW.US,D,20250206,000000,0.053999,0.053999,0.0365,0.0417,5365,0
RMSGW.US,D,20250207,000000,0.04565,0.0537,0.0302,0.0398,45698,0
RMSGW.US,D,20250210,000000,0.0498,0.0498,0.031,0.0408,7372,0
RMSGW.US,D,20250212,000000,0.0421,0.0421,0.0311,0.0359,5678,0
RMSGW.US,D,20250213,000000,0.0305,0.04,0.0305,0.0396,5967,0
RMSGW.US,D,20250214,000000,0.0396,0.0396,0.0312,0.039,42900,0
RMSGW.US,D,20250218,000000,0.0308,0.04,0.0301,0.04,7579,0
RMSGW.US,D,20250219,000000,0.0475,0.0475,0.0449,0.0449,1439,0
RMSGW.US,D,20250220,000000,0.0317,0.0317,0.0317,0.0317,150,0
RMSGW.US,D,20250221,000000,0.0444,0.0444,0.041575,0.041575,1319,0
RMSGW.US,D,20250224,000000,0.0458,0.0458,0.0321,0.0321,2423,0
RMSGW.US,D,20250225,000000,0.0324,0.0328,0.03,0.0307,4623,0
RMSGW.US,D,20250226,000000,0.0398,0.0498,0.0301,0.0308,26380,0
RMSGW.US,D,20250227,000000,0.0308,0.0395,0.0303,0.0395,4712,0
RMSGW.US,D,20250228,000000,0.0395,0.045999,0.0312,0.0353,2687,0
RMSGW.US,D,20250303,000000,0.035,0.035,0.03,0.0306,2049,0
RMSGW.US,D,20250304,000000,0.0387,0.0387,0.0387,0.0387,304,0
RMSGW.US,D,20250306,000000,0.038999,0.038999,0.0301,0.0301,379,0
RMSGW.US,D,20250307,000000,0.04,0.04,0.0301,0.0306,4257,0
RMSGW.US,D,20250310,000000,0.0323,0.0323,0.0301,0.0301,1025,0
RMSGW.US,D,20250314,000000,0.03,0.03,0.03,0.03,1000,0
RMSGW.US,D,20250317,000000,0.0367,0.037,0.0367,0.0369,3194,0
RMSGW.US,D,20250318,000000,0.04,0.04,0.032,0.032,530,0
RMSGW.US,D,20250319,000000,0.039,0.0451,0.0325,0.035627,52456,0
RMSGW.US,D,20250320,000000,0.03311,0.03311,0.0331,0.0331,453,0
RMSGW.US,D,20250321,000000,0.0463,0.05,0.04005,0.04005,2520,0
RMSGW.US,D,20250324,000000,0.04,0.04,0.035,0.035,742,0
RMSGW.US,D,20250325,000000,0.05,0.050526,0.0334,0.0334,22812,0
RMSGW.US,D,20250326,000000,0.045996,0.045996,0.0303,0.0329,39407,0
RMSGW.US,D,20250331,000000,0.0318,0.06,0.0303,0.05519,22445,0
RMSGW.US,D,20250401,000000,0.06,0.06,0.0303,0.038,17534,0
RMSGW.US,D,20250402,000000,0.0312,0.0449,0.0301,0.0305,19181,0
RMSGW.US,D,20250403,000000,0.03,0.0394,0.026,0.039399,5584,0
RMSGW.US,D,20250404,000000,0.03325,0.03325,0.0253,0.0253,2801,0
RMSGW.US,D,20250407,000000,0.03,0.03,0.0252,0.0252,35832,0
RMSGW.US,D,20250408,000000,0.0271,0.0271,0.0252,0.0254,3373,0
RMSGW.US,D,20250409,000000,0.026218,0.027383,0.0253,0.0256,54899,0
RMSGW.US,D,20250410,000000,0.033,0.033,0.0287,0.0289,20631,0
RMSGW.US,D,20250411,000000,0.0257,0.0299,0.0257,0.0286,832,0
RMSGW.US,D,20250415,000000,0.0294,0.032,0.0291,0.029831,3581,0
RMSGW.US,D,20250417,000000,0.0271,0.039,0.026,0.026,26713,0
RMSGW.US,D,20250422,000000,0.03,0.03,0.03,0.03,380,0
RMSGW.US,D,20250423,000000,0.0299,0.03,0.026,0.028,14829,0
RMSGW.US,D,20250425,000000,0.0263,0.0263,0.0263,0.0263,148,0
RMSGW.US,D,20250428,000000,0.026519,0.0279,0.0264,0.0278,2876,0
RMSGW.US,D,20250501,000000,0.06,0.06,0.0265,0.0275,5727,0
RMSGW.US,D,20250505,000000,0.0422,0.077,0.0269,0.065,82160,0
RMSGW.US,D,20250506,000000,0.035,0.0508,0.0301,0.0508,12358,0
RMSGW.US,D,20250507,000000,0.03,0.0597,0.03,0.0335,18298,0
RMSGW.US,D,20250508,000000,0.040546,0.0439,0.040546,0.0439,3865,0
RMSGW.US,D,20250509,000000,0.0301,0.043799,0.0301,0.043799,2472,0
RMSGW.US,D,20250512,000000,0.0399,0.0399,0.0301,0.0301,499,0
RMSGW.US,D,20250513,000000,0.0477,0.0646,0.0301,0.0373,29848,0
RMSGW.US,D,20250514,000000,0.0374,0.051,0.0302,0.051,6214,0
RMSGW.US,D,20250515,000000,0.0567,0.058,0.0304,0.0304,11136,0
RMSGW.US,D,20250520,000000,0.0302,0.0303,0.0302,0.0302,1106,0
RMSGW.US,D,20250521,000000,0.03,0.030002,0.0281,0.0286,23740,0
RMSGW.US,D,20250522,000000,0.0291,0.0395,0.0291,0.0395,2256,0
RMSGW.US,D,20250523,000000,0.05,0.05,0.0267,0.0364,11041,0
RMSGW.US,D,20250527,000000,0.0269,0.0452,0.0269,0.03,179397,0
RMSGW.US,D,20250528,000000,0.030001,0.034801,0.028,0.03,61628,0
RMSGW.US,D,20250529,000000,0.0348,0.058,0.0281,0.031,42942,0
RMSGW.US,D,20250530,000000,0.031,0.0399,0.0301,0.0399,3500,0
RMSGW.US,D,20250602,000000,0.0399,0.0441,0.028,0.028,41583,0
RMSGW.US,D,20250603,000000,0.0293,0.0399,0.0293,0.0301,2163,0
RMSGW.US,D,20250604,000000,0.0294,0.0294,0.0294,0.0294,175,0
RMSGW.US,D,20250605,000000,0.0336,0.0336,0.0307,0.0307,5886,0
RMSGW.US,D,20250606,000000,0.0311,0.0311,0.0308,0.0308,11960,0
RMSGW.US,D,20250609,000000,0.032,0.0321,0.032,0.032,3684,0
RMSGW.US,D,20250610,000000,0.032,0.0357,0.032,0.0322,180971,0
