<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HBNB.US,D,20250701,000000,4,4.17,2.75,3.28,1580473,0
HBNB.US,D,20250702,000000,3.24,3.4,2.85,3.15,1003199,0
HBNB.US,D,20250703,000000,3.35,3.73,3.26,3.4,626287,0
HBNB.US,D,20250707,000000,3.39,3.4955,3.12,3.2,358816,0
HBNB.US,D,20250708,000000,3.18,3.38,3.101,3.26,549208,0
HBNB.US,D,20250709,000000,3.23,3.6375,3.16,3.61,520556,0
HBNB.US,D,20250710,000000,3.5,3.69,3.41,3.46,252796,0
HBNB.US,D,20250711,000000,3.46,3.5064,3.18,3.28,187268,0
HBNB.US,D,20250714,000000,3.22,3.27,3.03,3.05,201564,0
HBNB.US,D,20250715,000000,3.02,3.06,2.78,2.9,264761,0
HBNB.US,D,20250716,000000,2.9,2.9,2.53,2.61,217746,0
HBNB.US,D,20250717,000000,2.67,2.6829,2.385,2.43,234014,0
HBNB.US,D,20250718,000000,2.39,2.4532,2.04,2.17,323412,0
HBNB.US,D,20250721,000000,2.08,2.54,2.02,2.54,300109,0
HBNB.US,D,20250722,000000,2.44,2.5689,2.25,2.335,176691,0
HBNB.US,D,20250723,000000,2.33,2.505,2.29,2.46,90711,0
HBNB.US,D,20250724,000000,2.41,2.4775,2.31,2.41,33111,0
HBNB.US,D,20250725,000000,2.41,2.48,2.35,2.465,46507,0
HBNB.US,D,20250728,000000,2.47,2.9199,2.3904,2.89,412863,0
HBNB.US,D,20250729,000000,2.8,2.84,2.44,2.61,185223,0
HBNB.US,D,20250730,000000,2.618,2.6732,2.49,2.64,67891,0
HBNB.US,D,20250731,000000,2.59,2.59,2.12,2.14,140691,0
HBNB.US,D,20250801,000000,2.2,2.2905,2.01,2.02,139142,0
HBNB.US,D,20250804,000000,2.04,2.2605,1.855,1.92,124700,0
HBNB.US,D,20250805,000000,1.9,1.98,1.72,1.74,135915,0
HBNB.US,D,20250806,000000,1.8,1.8499,1.7667,1.83,42163,0
HBNB.US,D,20250807,000000,1.79,1.85,1.67,1.72,44022,0
HBNB.US,D,20250808,000000,1.78,1.85,1.7,1.75,53763,0
HBNB.US,D,20250811,000000,1.78,1.85,1.6301,1.66,98785,0
HBNB.US,D,20250812,000000,1.68,1.7955,1.5501,1.78,101253,0
HBNB.US,D,20250813,000000,1.8,2.0924,1.7815,2.08,170461,0
HBNB.US,D,20250814,000000,2.06,2.08,1.7977,1.99,39536,0
HBNB.US,D,20250815,000000,1.94,2.04,1.8915,1.97,22610,0
HBNB.US,D,20250818,000000,1.94,2.3,1.94,2.27,70326,0
HBNB.US,D,20250819,000000,2.27,2.27,2.1002,2.22,31826,0
HBNB.US,D,20250820,000000,2.22,2.28,2.0301,2.115,26422,0
HBNB.US,D,20250821,000000,2.12,2.2314,2.06,2.1422,24410,0
HBNB.US,D,20250822,000000,2.15,2.29,1.8901,2.234,53087,0
HBNB.US,D,20250825,000000,2.28,2.29,2.1601,2.24,44109,0
HBNB.US,D,20250826,000000,2.11,2.49,2.11,2.455,94410,0
HBNB.US,D,20250827,000000,2.44,2.54,2.3338,2.51,48507,0
HBNB.US,D,20250828,000000,2.44,2.55,2.42,2.52,63567,0
HBNB.US,D,20250829,000000,2.45,2.79,2.42,2.69,145752,0
HBNB.US,D,20250902,000000,2.69,3.08,2.69,3.02,243319,0
HBNB.US,D,20250903,000000,3.16,3.16,2.72,3.08,107781,0
HBNB.US,D,20250904,000000,3.1041,3.1041,3.02,3.08,33946,0
HBNB.US,D,20250905,000000,3.03,3.16,3.02,3.09,45712,0
HBNB.US,D,20250908,000000,3.01,3.1,2.75,2.9,128933,0
HBNB.US,D,20250909,000000,2.85,3.03,2.85,2.94,52026,0
HBNB.US,D,20250910,000000,2.86,3,2.86,2.96,74406,0
HBNB.US,D,20250911,000000,2.89,3.1,2.88,2.96,54624,0
HBNB.US,D,20250912,000000,3.05,3.1381,2.9104,2.94,67619,0
HBNB.US,D,20250915,000000,3.06,3.0888,2.98,2.98,68127,0
HBNB.US,D,20250916,000000,2.98,3.0314,2.95,3,39287,0
HBNB.US,D,20250917,000000,3.03,3.09,2.9968,3.064,18721,0
HBNB.US,D,20250918,000000,3.01,3.08,2.95,3.05,24329,0
HBNB.US,D,20250919,000000,3.08,3.09,2.97,2.9902,42977,0
HBNB.US,D,20250922,000000,3.08,3.08,2.97,3,38812,0
HBNB.US,D,20250923,000000,2.99,3.04,2.95,2.98,52013,0
HBNB.US,D,20250924,000000,3.06,3.06,2.98,2.99,64207,0
HBNB.US,D,20250925,000000,3.0172,3.0172,2.96,2.98,69838,0
HBNB.US,D,20250926,000000,3,3.02,2.99,2.99,51167,0
HBNB.US,D,20250929,000000,3,3.04,2.99,3.02,20326,0
HBNB.US,D,20250930,000000,3.15,3.15,3.06,3.06,110895,0
HBNB.US,D,20251001,000000,3,3.04,2.97,3.0007,15620,0
HBNB.US,D,20251002,000000,3.0201,3.05,3.02,3.05,5652,0
HBNB.US,D,20251003,000000,3.01,3.115,3,3.07,12404,0
HBNB.US,D,20251006,000000,3.16,3.16,3.04,3.14,34883,0
HBNB.US,D,20251007,000000,3.1256,3.16,3.09,3.1,25530,0
HBNB.US,D,20251008,000000,3.1,3.19,3.03,3.19,55293,0
HBNB.US,D,20251009,000000,3.18,3.2,3.11,3.2,10448,0
HBNB.US,D,20251010,000000,3.2,3.43,3.19,3.43,39204,0
HBNB.US,D,20251013,000000,3.4,3.47,3.2805,3.385,41563,0
HBNB.US,D,20251014,000000,3.42,3.48,3.34,3.48,14511,0
HBNB.US,D,20251015,000000,3.47,3.8561,3.445,3.54,97183,0
HBNB.US,D,20251016,000000,3.66,3.7,3.56,3.57,45148,0
HBNB.US,D,20251017,000000,3.64,3.64,3.55,3.56,12617,0
HBNB.US,D,20251020,000000,3.64,3.74,3.51,3.57,60509,0
HBNB.US,D,20251021,000000,3.61,3.85,3.61,3.845,141109,0
HBNB.US,D,20251022,000000,3.88,3.93,3.7,3.795,24738,0
HBNB.US,D,20251023,000000,3.71,3.89,3.66,3.89,31676,0
HBNB.US,D,20251024,000000,3.82,4.6,3.82,4.55,82234,0
HBNB.US,D,20251027,000000,4.8,5.8999,4.75,5.45,105680,0
HBNB.US,D,20251028,000000,5.57,5.625,4.26,4.62,67025,0
HBNB.US,D,20251029,000000,4.65,5.0278,4.5515,4.85,86692,0
HBNB.US,D,20251030,000000,4.9,5.05,4.4931,4.99,74880,0
HBNB.US,D,20251031,000000,4.9,5.03,4.7396,4.98,46607,0
HBNB.US,D,20251103,000000,4.83,5.18,4.83,5.0925,14592,0
HBNB.US,D,20251104,000000,5.01,5.1799,4.95,5.1,23985,0
HBNB.US,D,20251105,000000,5.1,5.18,5.06,5.164,16869,0
HBNB.US,D,20251106,000000,5.3,5.33,5.1301,5.324,26886,0
HBNB.US,D,20251107,000000,5.32,5.37,5.062,5.25,49775,0
HBNB.US,D,20251110,000000,5.233,5.57,5.233,5.57,84632,0
HBNB.US,D,20251111,000000,5.69,6.78,5.69,6.765,70935,0
HBNB.US,D,20251112,000000,7.14,8,6.8019,7.99,89667,0
HBNB.US,D,20251113,000000,8.01,8.21,6.21,6.43,172147,0
HBNB.US,D,20251114,000000,6.36,6.81,5.4,5.82,109181,0
HBNB.US,D,20251117,000000,5.89,6.075,5.53,6.075,17594,0
HBNB.US,D,20251118,000000,6.07,7,6,6.69,44618,0
HBNB.US,D,20251119,000000,6.7,6.79,6.44,6.58,12251,0
HBNB.US,D,20251120,000000,6.43,6.95,6.41,6.95,13381,0
HBNB.US,D,20251121,000000,6.9152,7.115,6.83,7.02,13272,0
HBNB.US,D,20251124,000000,6.99,7.9,6.83,7.83,50949,0
HBNB.US,D,20251125,000000,7.75,8.18,7.3794,8.18,30458,0
HBNB.US,D,20251126,000000,8.03,8.2,8,8.1,15989,0
HBNB.US,D,20251128,000000,7.96,8,7.87,7.8885,8962,0
HBNB.US,D,20251201,000000,8.2,8.31,7.1,7.4,55361,0
HBNB.US,D,20251202,000000,7.5,7.6746,6.35,6.35,35338,0
HBNB.US,D,20251203,000000,6.3,6.9521,6.3,6.76,41539,0
HBNB.US,D,20251204,000000,6.99,7,6.35,6.39,17611,0
HBNB.US,D,20251205,000000,6.39,7.45,6.39,7.07,37515,0
HBNB.US,D,20251208,000000,7.36,7.4954,6.93,6.98,18180,0
HBNB.US,D,20251209,000000,7.1,7.182,6.7806,6.9,28761,0
HBNB.US,D,20251210,000000,7.66,7.66,7,7.07,32784,0
HBNB.US,D,20251211,000000,7.01,7.5851,6.85,7,36754,0
HBNB.US,D,20251212,000000,6.9999,7.31,6.9999,7.01,28506,0
HBNB.US,D,20251215,000000,6.87,7.1684,6.87,6.91,30065,0
