<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLY.US,D,20250807,000000,70,73.8,60.03,60.35,30556621,0
FLY.US,D,20250808,000000,54.845,57.07,49.1101,50.17,8576232,0
FLY.US,D,20250811,000000,49.51,54.95,49.5,53.62,3410131,0
FLY.US,D,20250812,000000,53.7761,55,51.34,51.465,1821507,0
FLY.US,D,20250813,000000,51.12,53.5999,50.6,50.75,3419342,0
FLY.US,D,20250814,000000,50.21,51.25,46.3118,49.33,1878470,0
FLY.US,D,20250815,000000,49.28,49.28,46.39,47.34,1010560,0
FLY.US,D,20250818,000000,47,48.73,46.33,48.62,610240,0
FLY.US,D,20250819,000000,48.551,49.19,45.01,45.48,981713,0
FLY.US,D,20250820,000000,45.43,47,45,45.27,1433535,0
FLY.US,D,20250821,000000,45.37,46.6,44,46.27,727165,0
FLY.US,D,20250822,000000,46.05,46.91,45.0001,46.11,1016600,0
FLY.US,D,20250825,000000,46.09,46.43,44.6,44.725,485620,0
FLY.US,D,20250826,000000,44.69,45.255,44.45,45.05,294397,0
FLY.US,D,20250827,000000,46.4,47.8,46.13,47.03,652074,0
FLY.US,D,20250828,000000,47.6711,48.95,46.944,47.15,570664,0
FLY.US,D,20250829,000000,46.54,46.89,45.155,45.37,376414,0
FLY.US,D,20250902,000000,45,46.09,43.6064,44.23,508308,0
FLY.US,D,20250903,000000,44.23,45.4,42.5068,44.38,902328,0
FLY.US,D,20250904,000000,44.4,44.99,42.2745,42.82,771007,0
FLY.US,D,20250905,000000,42.96,43.2769,41.57,42.63,390439,0
FLY.US,D,20250908,000000,42.55,43.24,41.75,42.78,1035564,0
FLY.US,D,20250909,000000,42.7,44.75,42.26,44.54,519613,0
FLY.US,D,20250910,000000,43.98,44.241,42.53,42.77,723024,0
FLY.US,D,20250911,000000,42.61,43.33,42.12,42.97,445715,0
FLY.US,D,20250912,000000,43.01,43.76,42.35,43.75,369498,0
FLY.US,D,20250915,000000,44.26,45,43.5,43.86,328583,0
FLY.US,D,20250916,000000,44,45.45,43.58,43.85,610869,0
FLY.US,D,20250917,000000,43.73,44.59,43.16,43.36,503605,0
FLY.US,D,20250918,000000,43.93,45.6,43.8,45.22,597088,0
FLY.US,D,20250919,000000,45.64,46.21,44.5,45.2,2087520,0
FLY.US,D,20250922,000000,46.31,49.59,45.66,49.52,2174111,0
FLY.US,D,20250923,000000,43.56,44.89,41.368,41.94,3555460,0
FLY.US,D,20250924,000000,42.26,42.631,40.27,40.56,1541138,0
FLY.US,D,20250925,000000,39.9,40,36.69,37.66,2357274,0
FLY.US,D,20250926,000000,37.6,37.6576,35.01,35.98,1652846,0
FLY.US,D,20250929,000000,36,36.99,34.53,36.96,1664887,0
FLY.US,D,20250930,000000,31.755,32,27.55,29.32,7673008,0
FLY.US,D,20251001,000000,29.535,29.535,26.335,26.67,5106526,0
FLY.US,D,20251002,000000,26.975,28.24,26.05,26.8,3377218,0
FLY.US,D,20251003,000000,27.12,28,26.545,27.37,2784079,0
FLY.US,D,20251006,000000,30.875,30.9599,28.61,29.09,4947818,0
FLY.US,D,20251007,000000,29.25,29.7863,28.13,28.44,2618914,0
FLY.US,D,20251008,000000,28.61,31.68,28.3,31,4007763,0
FLY.US,D,20251009,000000,32.2,33.32,29.775,30.06,4144917,0
FLY.US,D,20251010,000000,30.96,31.96,28.35,28.36,2860207,0
FLY.US,D,20251013,000000,28.63,30.33,28.6,29.88,1529321,0
FLY.US,D,20251014,000000,29.27,31.215,27.81,30.09,1919645,0
FLY.US,D,20251015,000000,30.43,31.2,28.94,29.6,1396540,0
FLY.US,D,20251016,000000,29.8,29.9,27.81,28.05,1649029,0
FLY.US,D,20251017,000000,27.61,27.99,25.85,26.36,1883652,0
FLY.US,D,20251020,000000,26.38,27.46,26.21,27.12,1167392,0
FLY.US,D,20251021,000000,26.85,28.75,26.36,28.18,1349325,0
FLY.US,D,20251022,000000,27.8,28.11,25.5,26.24,1865942,0
FLY.US,D,20251023,000000,25.81,26.74,25.81,25.96,1026077,0
FLY.US,D,20251024,000000,26.48,27.6872,26.41,26.92,1342252,0
FLY.US,D,20251027,000000,27.2,27.72,26.745,27.49,987037,0
FLY.US,D,20251028,000000,27.44,27.59,25.72,25.77,1318112,0
FLY.US,D,20251029,000000,25.67,25.77,24.65,25.05,1957762,0
FLY.US,D,20251030,000000,24.51,25.07,24.0601,24.45,972088,0
FLY.US,D,20251031,000000,24.45,24.76,23.81,24.26,1193750,0
FLY.US,D,20251103,000000,24.06,24.0666,23.2007,23.78,982120,0
FLY.US,D,20251104,000000,22.66,24.3,22.48,22.85,1269680,0
FLY.US,D,20251105,000000,22.61,22.87,22.17,22.5,1080734,0
FLY.US,D,20251106,000000,22.22,22.275,19.1901,19.33,2607472,0
FLY.US,D,20251107,000000,19.02,20.25,18.39,19.74,2365602,0
FLY.US,D,20251110,000000,20,20.2892,18.82,19.24,1388291,0
FLY.US,D,20251111,000000,19,19.57,18.43,19.13,1216017,0
FLY.US,D,20251112,000000,19.26,19.48,18.2101,18.31,2410312,0
FLY.US,D,20251113,000000,22.67,24.22,20.41,21.42,8164845,0
FLY.US,D,20251114,000000,20.97,24.35,20.82,22.95,4459678,0
FLY.US,D,20251117,000000,22.975,22.975,19.12,19.48,3628753,0
FLY.US,D,20251118,000000,19,20.0895,18.85,19.76,2150422,0
FLY.US,D,20251119,000000,19.73,20.21,19.11,19.42,1451926,0
FLY.US,D,20251120,000000,19.61,20,16.9,16.92,2753802,0
FLY.US,D,20251121,000000,17.03,17.4,16,16.78,2111561,0
FLY.US,D,20251124,000000,16.75,17.05,16.3625,16.86,1569536,0
FLY.US,D,20251125,000000,16.97,17.84,16.82,17.34,1523333,0
FLY.US,D,20251126,000000,17.62,18.28,17.17,17.43,1464102,0
FLY.US,D,20251128,000000,17.66,18.0599,17.485,17.71,720623,0
FLY.US,D,20251201,000000,17.19,17.2662,16.55,16.81,1475853,0
FLY.US,D,20251202,000000,16.94,18.525,16.84,17.9,2096823,0
FLY.US,D,20251203,000000,17.85,18.86,17.51,18.55,1811349,0
FLY.US,D,20251204,000000,18.69,20.5,18.56,20.22,2279081,0
FLY.US,D,20251205,000000,20.38,21.015,19.665,19.81,1881834,0
FLY.US,D,20251208,000000,20.05,20.38,18.45,19.13,1755560,0
FLY.US,D,20251209,000000,19.15,19.95,18.63,19.46,1342189,0
FLY.US,D,20251210,000000,19.52,21.88,18.99,21.3,3501764,0
FLY.US,D,20251211,000000,21.85,23.83,20.56,23.51,3664750,0
FLY.US,D,20251212,000000,23.78,24.19,21.63,22.1,3775308,0
FLY.US,D,20251215,000000,22.32,23.66,20.32,20.36,3730181,0
FLY.US,D,20251216,000000,20,20.66,19.3601,20.28,1511897,0
FLY.US,D,20251217,000000,20.39,20.62,18.52,18.53,1527521,0
FLY.US,D,20251218,000000,19.21,20.3,18.94,20.07,1882200,0
FLY.US,D,20251219,000000,20.34,24.91,20.3001,24.65,8173113,0
FLY.US,D,20251222,000000,25.51,28.74,25.33,28.6,6374374,0
FLY.US,D,20251223,000000,26.28,27.48,25.91,26.46,4372345,0
FLY.US,D,20251224,000000,27.09,27.9,25.46,27.04,2101532,0
FLY.US,D,20251226,000000,27,27.1499,23.05,23.34,3822293,0
FLY.US,D,20251229,000000,22.92,24.85,22.78,23.6,2880035,0
FLY.US,D,20251230,000000,23.86,24.45,22.695,22.72,3328752,0
FLY.US,D,20251231,000000,22.75,23.14,21.97,22.37,3124758,0
FLY.US,D,20260102,000000,23.11,23.82,21.618035,23.76,4133609,0
FLY.US,D,20260105,000000,24.62,26.07,23.75,25.77,3835857,0
FLY.US,D,20260106,000000,26.13,27.2199,25,26.45,4122360,0
FLY.US,D,20260107,000000,26.255,29.01,25.3,27.35,3681502,0
FLY.US,D,20260108,000000,28.1,31.25,27.47,27.99,4255342,0
FLY.US,D,20260109,000000,28.445,31,26.51,30.11,4235215,0
FLY.US,D,20260112,000000,30.38,30.64,28.33,30.44,2646403,0
FLY.US,D,20260113,000000,31.42,31.5,27.4557,27.97,3747093,0
FLY.US,D,20260114,000000,27.5,30.05,26.43,30.01,3983387,0
FLY.US,D,20260115,000000,29.7,30.88,28.92,29.75,2361960,0
FLY.US,D,20260116,000000,30.79,34.3293,30.66,33.41,5026793,0
FLY.US,D,20260120,000000,31.45,34.37,30.29,30.34,4034332,0
FLY.US,D,20260121,000000,31,31.21,27.4,28.9,4966413,0
FLY.US,D,20260122,000000,29.48,31.15,28.89,30.92,2527525,0
FLY.US,D,20260123,000000,31.5,31.99,29.08,29.13,3137621,0
