<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AEBI.US,D,20250701,000000,83.26,83.26,83.26,83.26,1318,0
AEBI.US,D,20250702,000000,32.94,32.9999,10.1,11.18,3923159,0
AEBI.US,D,20250703,000000,14.1,15.01,11.81,13.61,5216186,0
AEBI.US,D,20250707,000000,12.42,13.4,11.43,12.13,2003340,0
AEBI.US,D,20250708,000000,12.24,12.24,11.06,11.62,1019308,0
AEBI.US,D,20250709,000000,11.37,11.97,10.8198,11.82,646910,0
AEBI.US,D,20250710,000000,11.55,11.87,11.4,11.48,505939,0
AEBI.US,D,20250711,000000,11.31,11.63,11.02,11.07,386735,0
AEBI.US,D,20250714,000000,11,11.02,10.11,10.31,550295,0
AEBI.US,D,20250715,000000,10.32,10.42,10.05,10.12,626351,0
AEBI.US,D,20250716,000000,10.06,10.75,10,10.21,654614,0
AEBI.US,D,20250717,000000,10.02,10.4999,9.9,10.24,547817,0
AEBI.US,D,20250718,000000,10.03,10.34,9.7601,9.92,496770,0
AEBI.US,D,20250721,000000,9.93,10.23,8.91,9.26,685825,0
AEBI.US,D,20250722,000000,9.4,9.98,9,9.36,421933,0
AEBI.US,D,20250723,000000,9.33,9.9,9.22,9.55,526348,0
AEBI.US,D,20250724,000000,9.67,10.1899,9.51,9.89,419551,0
AEBI.US,D,20250725,000000,10,10,9.485,9.78,220970,0
AEBI.US,D,20250728,000000,9.56,9.98,9.51,9.83,187525,0
AEBI.US,D,20250729,000000,9.79,10.1599,9.7211,10.04,293273,0
AEBI.US,D,20250730,000000,10.12,10.75,9.945,10.18,441689,0
AEBI.US,D,20250731,000000,10.11,10.46,9.89,10.3,233262,0
AEBI.US,D,20250801,000000,10.2,10.3,9.72,9.72,540790,0
AEBI.US,D,20250804,000000,10,11.13,9.98,11,385417,0
AEBI.US,D,20250805,000000,11.12,11.1872,10.33,10.82,349821,0
AEBI.US,D,20250806,000000,10.85,10.95,10.42,10.49,371779,0
AEBI.US,D,20250807,000000,10.35,10.73,10.285,10.39,290681,0
AEBI.US,D,20250808,000000,10.53,11.71,10.4,11.12,529073,0
AEBI.US,D,20250811,000000,11.2,11.3,10.86,11.12,287542,0
AEBI.US,D,20250812,000000,11.1,11.71,10.97,11.49,310557,0
AEBI.US,D,20250813,000000,11.65,12.2,11.47,12.19,434139,0
AEBI.US,D,20250814,000000,10.95,12.44,10.95,12.15,890977,0
AEBI.US,D,20250815,000000,12.13,12.375,11.77,11.8,338334,0
AEBI.US,D,20250818,000000,11.86,12.25,11.5,11.9,248895,0
AEBI.US,D,20250819,000000,12.08,12.32,11.64,11.73,273795,0
AEBI.US,D,20250820,000000,12,12.1679,11.25,11.48,252550,0
AEBI.US,D,20250821,000000,11.56,12.04,11.46,11.66,218523,0
AEBI.US,D,20250822,000000,11.66,12.3,11.66,12.24,356608,0
AEBI.US,D,20250825,000000,12.42,12.42,11.4,11.67,529469,0
AEBI.US,D,20250826,000000,11.77,12.29,11.69,12.02,1003273,0
AEBI.US,D,20250827,000000,11.98,12.189,11.62,11.83,270767,0
AEBI.US,D,20250828,000000,11.84,12.45,11.7389,12.16,333257,0
AEBI.US,D,20250829,000000,12.12,12.36,11.72,12.29,426974,0
AEBI.US,D,20250902,000000,12.2,12.79,11.92,12,517188,0
AEBI.US,D,20250903,000000,11.95,12.05,10.89,11.49,545778,0
AEBI.US,D,20250904,000000,11.55,11.565,11.09,11.35,287474,0
AEBI.US,D,20250905,000000,11.35,11.775,11.1,11.71,207947,0
AEBI.US,D,20250908,000000,11.83,12.105,11.6,11.76,256577,0
AEBI.US,D,20250909,000000,11.76,11.86,11.59,11.77,263858,0
AEBI.US,D,20250910,000000,11.61,12.03,11.61,11.82,214488,0
AEBI.US,D,20250911,000000,11.92,12.5,11.7011,12.49,146040,0
AEBI.US,D,20250912,000000,12.47,12.55,12.19,12.41,146320,0
AEBI.US,D,20250915,000000,12.5,12.66,12.3,12.55,275940,0
AEBI.US,D,20250916,000000,12.55,12.63,12.26,12.52,188207,0
AEBI.US,D,20250917,000000,12.68,13,12,12.18,426453,0
AEBI.US,D,20250918,000000,12.27,12.73,12.17,12.69,260761,0
AEBI.US,D,20250919,000000,12.5,12.72,12.395,12.49,943770,0
AEBI.US,D,20250922,000000,12.52,13.6,12.08,13.58,382456,0
AEBI.US,D,20250923,000000,13.42,13.85,12.72,12.85,206761,0
AEBI.US,D,20250924,000000,12.97,13.14,12.52,12.59,159559,0
AEBI.US,D,20250925,000000,12.52,12.53,12.19,12.25,233518,0
AEBI.US,D,20250926,000000,12.3,12.75,12.2,12.71,186071,0
AEBI.US,D,20250929,000000,12.74,12.92,12.29,12.9,460790,0
AEBI.US,D,20250930,000000,12.77,12.92,12.22,12.47,303349,0
AEBI.US,D,20251001,000000,12.4,12.57,12.25,12.49,212499,0
AEBI.US,D,20251002,000000,12.59,12.625,12.17,12.25,168989,0
AEBI.US,D,20251003,000000,12.24,12.48,12.09,12.4,131679,0
AEBI.US,D,20251006,000000,12.45,12.69,12.12,12.25,224756,0
AEBI.US,D,20251007,000000,12.22,12.355,12.025,12.12,153178,0
AEBI.US,D,20251008,000000,12.11,12.2,11.735,11.83,147549,0
AEBI.US,D,20251009,000000,11.77,11.99,11.54,11.99,163425,0
AEBI.US,D,20251010,000000,11.95,12.09,11.12,11.13,308825,0
AEBI.US,D,20251013,000000,11.27,11.81,11.27,11.55,107589,0
AEBI.US,D,20251014,000000,11.47,11.785,11.33,11.69,130144,0
AEBI.US,D,20251015,000000,11.69,11.875,11.41,11.65,163945,0
AEBI.US,D,20251016,000000,11.69,11.78,11.32,11.4,91740,0
AEBI.US,D,20251017,000000,11.23,11.47,11.205,11.37,137117,0
AEBI.US,D,20251020,000000,11.33,11.79,11.1101,11.61,105303,0
AEBI.US,D,20251021,000000,11.55,11.815,11.38,11.67,100021,0
AEBI.US,D,20251022,000000,11.63,11.73,11.455,11.69,121369,0
AEBI.US,D,20251023,000000,11.76,12.07,11.605,11.66,159401,0
AEBI.US,D,20251024,000000,11.88,11.975,11.33,11.44,283737,0
AEBI.US,D,20251027,000000,11.47,11.82,11.35,11.65,182012,0
AEBI.US,D,20251028,000000,11.59,11.8,11.46,11.48,124105,0
AEBI.US,D,20251029,000000,11.5,11.59,11.09,11.18,129363,0
AEBI.US,D,20251030,000000,11,11.15,10.7076,10.9,134531,0
AEBI.US,D,20251031,000000,10.68,11.25,10.6701,11.15,260035,0
AEBI.US,D,20251103,000000,11.02,11.28,10.825,11.14,266150,0
AEBI.US,D,20251104,000000,10.77,11.12,10.66,10.74,253592,0
AEBI.US,D,20251105,000000,10.73,11.22,10.73,10.99,255758,0
AEBI.US,D,20251106,000000,11,11.18,10.775,11.01,170649,0
AEBI.US,D,20251107,000000,11.02,11.03,10.54,11,302042,0
AEBI.US,D,20251110,000000,11.16,11.16,10.68,10.73,138177,0
AEBI.US,D,20251111,000000,10.75,10.83,10.53,10.56,146144,0
AEBI.US,D,20251112,000000,10.51,10.76,10.34,10.73,322571,0
AEBI.US,D,20251113,000000,11.15,11.7912,10.98,11.2,247730,0
AEBI.US,D,20251114,000000,11.2,11.37,10.7,10.87,353344,0
AEBI.US,D,20251117,000000,10.9,10.91,10.535,10.56,212627,0
AEBI.US,D,20251118,000000,10.68,11.245,10.635,10.86,234509,0
AEBI.US,D,20251119,000000,10.86,11.24,10.8,11.13,187609,0
AEBI.US,D,20251120,000000,11.06,11.28,10.5,10.53,251350,0
AEBI.US,D,20251121,000000,10.58,11.375,10.58,11.34,193978,0
AEBI.US,D,20251124,000000,11.4,11.98,11.0801,11.93,255010,0
AEBI.US,D,20251125,000000,11.93,12.06,11.54,11.76,244868,0
AEBI.US,D,20251126,000000,11.75,12.03,11.68,12,196413,0
AEBI.US,D,20251128,000000,12.05,12.05,11.85,11.91,100589,0
AEBI.US,D,20251201,000000,11.9,11.97,11.68,11.82,185192,0
AEBI.US,D,20251202,000000,11.96,11.96,11.53,11.7,226884,0
AEBI.US,D,20251203,000000,11.81,12.205,11.72,12.02,474532,0
AEBI.US,D,20251204,000000,11.95,12.63,11.9,12.53,270669,0
AEBI.US,D,20251205,000000,12.54,12.82,12.46,12.62,181372,0
AEBI.US,D,20251208,000000,12.56,12.63,12.36,12.38,104352,0
AEBI.US,D,20251209,000000,12.37,12.97,12.37,12.85,188369,0
AEBI.US,D,20251210,000000,12.76,13.285,12.76,13.27,191916,0
AEBI.US,D,20251211,000000,13.27,13.5,13.08,13.48,167273,0
AEBI.US,D,20251212,000000,13.49,13.585,13.325,13.46,158388,0
AEBI.US,D,20251215,000000,13.43,13.675,13.31,13.57,163353,0
AEBI.US,D,20251216,000000,13.52,13.765,13.195,13.5,220132,0
AEBI.US,D,20251217,000000,13.5,13.7,13.13,13.38,280534,0
AEBI.US,D,20251218,000000,13.5,13.65,13.26,13.3,135916,0
AEBI.US,D,20251219,000000,13.23,13.51,13.09,13.2,355381,0
AEBI.US,D,20251222,000000,13.32,13.455,13.2,13.4,107566,0
AEBI.US,D,20251223,000000,13.26,13.385,13.22,13.3,178553,0
AEBI.US,D,20251224,000000,13.2,13.345,13.09,13.11,96250,0
AEBI.US,D,20251226,000000,13.1,13.14,12.78,12.87,206492,0
AEBI.US,D,20251229,000000,12.73,13.12,12.68,13.03,272236,0
AEBI.US,D,20251230,000000,13.01,13.09,12.78,12.8,160282,0
AEBI.US,D,20251231,000000,12.9,12.9,12.585,12.65,113398,0
AEBI.US,D,20260102,000000,12.62,12.73,12.43,12.59,150940,0
AEBI.US,D,20260105,000000,12.54,13.34,12.45,13.01,221961,0
AEBI.US,D,20260106,000000,13,13.7,12.92,13.54,176454,0
AEBI.US,D,20260107,000000,13.55,13.98,13.32,13.96,159939,0
AEBI.US,D,20260108,000000,13.86,14.3,13.75,14.28,167580,0
AEBI.US,D,20260109,000000,14.35,14.75,14.03,14.49,142594,0
AEBI.US,D,20260112,000000,14.43,14.625,14.36,14.43,77420,0
AEBI.US,D,20260113,000000,14.41,14.59,14.1613,14.51,124551,0
AEBI.US,D,20260114,000000,14.52,14.7,14.36,14.47,169052,0
AEBI.US,D,20260115,000000,14.46,14.98,14.46,14.81,187827,0
AEBI.US,D,20260116,000000,14.85,14.96,14.555,14.89,163115,0
AEBI.US,D,20260120,000000,14.83,14.86,13.961,14.13,182154,0
AEBI.US,D,20260121,000000,14.2,14.52,14.05,14.36,197076,0
AEBI.US,D,20260122,000000,14.46,14.91,14.185,14.75,163274,0
AEBI.US,D,20260123,000000,14.74,14.8,14.27,14.29,147092,0
