<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVGR.US,D,20251205,000000,25.03,25.12,24.99,25.0207,2866,0
DVGR.US,D,20251208,000000,25,25,24.9531,24.9531,101,0
DVGR.US,D,20251209,000000,24.99,25,24.7728,24.7728,965,0
DVGR.US,D,20251211,000000,25.17,25.1719,25.17,25.1719,1460,0
DVGR.US,D,20251212,000000,25.01,25.03,24.8766,24.8766,197346,0
DVGR.US,D,20251215,000000,24.9,24.9,24.77,24.8084,3600,0
DVGR.US,D,20251216,000000,24.71,24.73,24.68,24.7013,804,0
DVGR.US,D,20251217,000000,24.57,24.57,24.4343,24.4343,212,0
DVGR.US,D,20251218,000000,24.73,24.73,24.5287,24.5287,12449,0
DVGR.US,D,20251219,000000,24.73,24.73,24.6727,24.6727,6243,0
DVGR.US,D,20251223,000000,24.98,24.9942,24.98,24.9942,332,0
DVGR.US,D,20251229,000000,25.029,25.029,25.0287,25.0287,880,0
DVGR.US,D,20251230,000000,25.05,25.05,25.021,25.021,6584,0
DVGR.US,D,20251231,000000,25.01,25.01,24.8456,24.8456,6408,0
DVGR.US,D,20260105,000000,25.33,25.33,25.2774,25.2774,1341,0
DVGR.US,D,20260106,000000,25.3,25.55,25.3,25.55,740,0
DVGR.US,D,20260107,000000,25.47,25.47,25.3097,25.3097,101,0
DVGR.US,D,20260108,000000,25.38,25.391,25.38,25.391,592,0
DVGR.US,D,20260109,000000,25.72,25.72,25.6966,25.6966,105,0
DVGR.US,D,20260112,000000,25.7036,25.875,25.7036,25.875,1705,0
DVGR.US,D,20260113,000000,25.76,25.76,25.72,25.7289,206,0
DVGR.US,D,20260114,000000,25.65,25.655,25.57,25.655,8925,0
DVGR.US,D,20260115,000000,25.79,25.82,25.77,25.77,581,0
DVGR.US,D,20260116,000000,25.9999,26,25.9842,25.9842,394,0
DVGR.US,D,20260122,000000,25.98,25.98,25.8305,25.8305,974,0
DVGR.US,D,20260123,000000,25.76,25.7932,25.7599,25.7932,1531,0
