<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHYM.US,D,20250612,000000,43,44.94,36.19,37.11,36148246,0
CHYM.US,D,20250613,000000,36.625,36.87,33,34.79,9467017,0
CHYM.US,D,20250616,000000,35.11,38.3,35.11,36.81,6001788,0
CHYM.US,D,20250617,000000,36.1,36.79,33.88,34.45,3428048,0
CHYM.US,D,20250618,000000,34.25,34.4,31.21,31.65,6519114,0
CHYM.US,D,20250620,000000,31.85,32.14,29.3,29.53,5163492,0
CHYM.US,D,20250623,000000,28.965,30.6099,28.21,29.76,4088742,0
CHYM.US,D,20250624,000000,29.93,30.06,28.5452,29,3321323,0
CHYM.US,D,20250625,000000,29.77,33.3967,29.11,31.59,7172928,0
CHYM.US,D,20250626,000000,31.69,33.25,30.01,33.19,3760569,0
CHYM.US,D,20250627,000000,33.19,33.44,31.51,33.06,3882305,0
CHYM.US,D,20250630,000000,33.4,36.1,32.57,34.51,5750494,0
CHYM.US,D,20250701,000000,33.64,34.01,31.62,32.39,4993093,0
CHYM.US,D,20250702,000000,31.5,32.138,29.74,30.01,4534079,0
CHYM.US,D,20250703,000000,30.22,31.75,30,31.32,1424954,0
CHYM.US,D,20250707,000000,31.49,32.92,30.935,31.65,3214094,0
CHYM.US,D,20250708,000000,32.11,32.7899,30.73,31.1,2295817,0
CHYM.US,D,20250709,000000,31.09,31.79,30.01,31.03,2362694,0
CHYM.US,D,20250710,000000,30.94,31.4,30.3,30.81,1122726,0
CHYM.US,D,20250711,000000,30.62,31.8,29.6,30.13,3503841,0
CHYM.US,D,20250714,000000,29.79,31.0994,29.57,30.15,1646210,0
CHYM.US,D,20250715,000000,30.3,30.73,29.86,30.44,1556354,0
CHYM.US,D,20250716,000000,30.28,31.75,29.85,31.63,1940161,0
CHYM.US,D,20250717,000000,31.48,32.42,31.145,31.51,1528992,0
CHYM.US,D,20250718,000000,31.53,32.119,30.55,31.55,1507495,0
CHYM.US,D,20250721,000000,31.81,34.3,31.67,33.21,4368035,0
CHYM.US,D,20250722,000000,33.14,33.9513,32.23,33.47,1719705,0
CHYM.US,D,20250723,000000,33.9,38.67,33.9,35.8,7049279,0
CHYM.US,D,20250724,000000,35.52,36.48,34.67,36.2,1480533,0
CHYM.US,D,20250725,000000,36.15,36.15,34.34,34.55,1751095,0
CHYM.US,D,20250728,000000,34.48,35.27,33.13,33.43,1257685,0
CHYM.US,D,20250729,000000,33.5,34.75,32.5,32.625,1606762,0
CHYM.US,D,20250730,000000,32.34,34.18,32.32,33.82,1150001,0
CHYM.US,D,20250731,000000,33.77,35.34,32.775,34.41,1712268,0
CHYM.US,D,20250801,000000,33.8,33.815,31.67,32.63,1791333,0
CHYM.US,D,20250804,000000,33,34.54,32.75,33.885,1632040,0
CHYM.US,D,20250805,000000,33.77,33.99,32.25,33.8,1575874,0
CHYM.US,D,20250806,000000,33.435,33.8,32.15,33.49,1979487,0
CHYM.US,D,20250807,000000,33.5,33.99,31.7,33.86,3231339,0
CHYM.US,D,20250808,000000,31.89,32.4,28.685,28.89,7241484,0
CHYM.US,D,20250811,000000,29,31.17,28.96,30.21,3872142,0
CHYM.US,D,20250812,000000,30.45,30.62,29.25,29.76,2365389,0
CHYM.US,D,20250813,000000,29.56,30.2306,29.4,30,2073825,0
CHYM.US,D,20250814,000000,29.25,30.02,28.89,29.25,1593224,0
CHYM.US,D,20250815,000000,29.2,29.42,28.2,29.38,1739043,0
CHYM.US,D,20250818,000000,29.45,30.46,29.21,30.06,1997006,0
CHYM.US,D,20250819,000000,30.08,30.39,28,28.02,2636480,0
CHYM.US,D,20250820,000000,27.64,27.8,26.34,26.57,3717113,0
CHYM.US,D,20250821,000000,26.5,26.925,26.1,26.18,1632229,0
CHYM.US,D,20250822,000000,26.15,28,26.09,27.72,2735545,0
CHYM.US,D,20250825,000000,27.72,27.9032,26.8,26.87,1886024,0
CHYM.US,D,20250826,000000,26.91,27.57,26.9,27.12,1246314,0
CHYM.US,D,20250827,000000,27.12,27.12,26.2,26.22,1522304,0
CHYM.US,D,20250828,000000,26.52,27.12,26.41,26.57,1927918,0
CHYM.US,D,20250829,000000,26.65,26.65,25.95,26.41,1370554,0
CHYM.US,D,20250902,000000,25.97,26,24.53,24.72,3239579,0
CHYM.US,D,20250903,000000,24.8,24.9999,24.11,24.31,1907354,0
CHYM.US,D,20250904,000000,24.31,24.675,23.5,24.64,2261191,0
CHYM.US,D,20250905,000000,24.755,25.13,23.63,24.34,3263965,0
CHYM.US,D,20250908,000000,24.49,24.63,23.61,24.44,3054215,0
CHYM.US,D,20250909,000000,24.67,24.7211,23.87,24.3,2253411,0
CHYM.US,D,20250910,000000,24.25,24.25,22.13,23.26,5869758,0
CHYM.US,D,20250911,000000,23.15,23.99,22.91,23.94,3155585,0
CHYM.US,D,20250912,000000,23.78,24.09,23.42,23.66,2824423,0
CHYM.US,D,20250915,000000,23.71,23.72,23.01,23.24,3063511,0
CHYM.US,D,20250916,000000,23.04,23.44,22.73,22.99,3797643,0
CHYM.US,D,20250917,000000,23.12,24.14,23.03,23.55,3244522,0
CHYM.US,D,20250918,000000,23.99,24.15,23.31,23.34,2325637,0
CHYM.US,D,20250919,000000,23.75,24.2288,23.45,23.75,5389414,0
CHYM.US,D,20250922,000000,23.76,25.94,23.76,25.04,4668671,0
CHYM.US,D,20250923,000000,25.4,25.94,23.85,23.86,3323982,0
CHYM.US,D,20250924,000000,23.81,23.99,23.03,23.05,2379550,0
CHYM.US,D,20250925,000000,22.449,22.75,21.5,21.56,3422241,0
CHYM.US,D,20250926,000000,21.545,21.56,20.92,21.24,3116867,0
CHYM.US,D,20250929,000000,21.25,21.31,20.555,20.8,2886812,0
CHYM.US,D,20250930,000000,20.95,21.41,19.94,20.17,3720428,0
CHYM.US,D,20251001,000000,20.05,20.49,19.8521,20,2749516,0
CHYM.US,D,20251002,000000,20.15,21.03,20.09,20.99,2911351,0
CHYM.US,D,20251003,000000,21.2,22,20.86,20.87,3453335,0
CHYM.US,D,20251006,000000,20.96,21.55,20.52,21.05,2483154,0
CHYM.US,D,20251007,000000,21.23,21.2498,20.3402,20.8,2555181,0
CHYM.US,D,20251008,000000,20.81,21.4,20.15,21.35,2242801,0
CHYM.US,D,20251009,000000,21.35,21.69,20.955,21.275,1947221,0
CHYM.US,D,20251010,000000,21.38,21.4886,19.54,19.57,2302449,0
CHYM.US,D,20251013,000000,19.9,19.9,19.26,19.41,2054007,0
CHYM.US,D,20251014,000000,19.26,20.64,18.77,20.36,2930007,0
CHYM.US,D,20251015,000000,20.45,20.46,19.445,19.52,2509387,0
CHYM.US,D,20251016,000000,19.52,19.58,17.5,17.54,4278730,0
CHYM.US,D,20251017,000000,17.31,17.47,17,17.1,3155104,0
CHYM.US,D,20251020,000000,17.61,18.3799,17.4987,18.29,2868291,0
CHYM.US,D,20251021,000000,18.2,18.96,18.0107,18.41,2586483,0
CHYM.US,D,20251022,000000,18.3,18.3,17.25,17.62,2337397,0
CHYM.US,D,20251023,000000,17.71,18.47,17.58,18.18,1576312,0
CHYM.US,D,20251024,000000,18.83,18.92,18.34,18.85,2736136,0
CHYM.US,D,20251027,000000,19.07,19.2,18.7475,18.91,2444518,0
CHYM.US,D,20251028,000000,19,19.19,18.47,18.52,1674002,0
CHYM.US,D,20251029,000000,18.2,18.25,17.58,17.86,2759542,0
CHYM.US,D,20251030,000000,17.61,17.78,17.03,17.05,3590330,0
CHYM.US,D,20251031,000000,17.11,17.4,16.74,17.17,3617945,0
CHYM.US,D,20251103,000000,16.94,17.99,16.17,17.845,4445082,0
CHYM.US,D,20251104,000000,17.46,18.015,17.14,17.8,4397692,0
CHYM.US,D,20251105,000000,18.41,19.61,17.705,19.12,8263250,0
CHYM.US,D,20251106,000000,18.76,18.9999,17.61,18.09,11343459,0
CHYM.US,D,20251107,000000,17.87,20.67,17.49,20.34,12987904,0
CHYM.US,D,20251110,000000,20.57,21.35,19.99,21.26,6007400,0
CHYM.US,D,20251111,000000,21,21.18,19.89,20.39,4904721,0
CHYM.US,D,20251112,000000,20.51,21.0593,19.95,20.2,4543884,0
CHYM.US,D,20251113,000000,19.84,19.85,18.94,19.19,5018768,0
CHYM.US,D,20251114,000000,18.49,19.1,18.16,18.9,5165616,0
CHYM.US,D,20251117,000000,18.72,18.75,18.07,18.45,4719339,0
CHYM.US,D,20251118,000000,18.13,19.28,17.89,18.94,3698003,0
CHYM.US,D,20251119,000000,18.91,19.01,18.22,18.43,2835523,0
CHYM.US,D,20251120,000000,18.8,19.16,17.85,17.95,4252719,0
CHYM.US,D,20251121,000000,17.89,18.7,17.665,18.46,4483235,0
CHYM.US,D,20251124,000000,18.47,19.51,18.17,19.48,3482441,0
CHYM.US,D,20251125,000000,19.54,19.85,19.35,19.64,3132182,0
CHYM.US,D,20251126,000000,19.51,20.52,19.41,20.17,2218867,0
CHYM.US,D,20251128,000000,20.2,21.48,20.07,21.13,1937117,0
CHYM.US,D,20251201,000000,21.77,22.74,21.58,21.95,5502748,0
CHYM.US,D,20251202,000000,21.75,22.77,21.31,21.89,2959125,0
CHYM.US,D,20251203,000000,21.73,22.69,21.23,22.53,2600381,0
CHYM.US,D,20251204,000000,22.53,23.82,22.465,23.77,3776366,0
CHYM.US,D,20251205,000000,23.77,24.555,23.57,24.12,4478434,0
CHYM.US,D,20251208,000000,24.04,24.24,23.567952,23.92,5387983,0
CHYM.US,D,20251209,000000,23.87,24.465,23.47,24.29,3950941,0
CHYM.US,D,20251210,000000,24.12,26.59,23.97,26.5,5929683,0
CHYM.US,D,20251211,000000,26.23,27.89,26.1127,27.49,6500127,0
CHYM.US,D,20251212,000000,27.22,27.415,25.94,26.19,5609645,0
CHYM.US,D,20251215,000000,26.15,26.6284,24.25,24.62,5413488,0
CHYM.US,D,20251216,000000,24.32,25.45,24.32,25.27,3245988,0
CHYM.US,D,20251217,000000,25.1,25.85,24.36,24.7,3604575,0
CHYM.US,D,20251218,000000,25.24,25.91,24.9526,25.34,3006228,0
CHYM.US,D,20251219,000000,25.34,25.99,25.1952,25.77,3472410,0
CHYM.US,D,20251222,000000,26,26.92,25.85,26.79,4004426,0
CHYM.US,D,20251223,000000,26.67,26.73,25.75,26.53,2763406,0
CHYM.US,D,20251224,000000,26.6,26.97,26.4,26.63,1223402,0
CHYM.US,D,20251226,000000,26.62,26.75,26.2701,26.49,1811743,0
CHYM.US,D,20251229,000000,26.14,26.855,26,26.83,2600591,0
CHYM.US,D,20251230,000000,26.77,26.83,26.29,26.33,1876189,0
CHYM.US,D,20251231,000000,26.29,26.29,25.05,25.17,5005224,0
CHYM.US,D,20260102,000000,25.26,26.47,25.26,26.4,2744143,0
CHYM.US,D,20260105,000000,26.51,27.88,26.47,27.82,3308544,0
CHYM.US,D,20260106,000000,27.93,27.95,26.5,27,3270634,0
CHYM.US,D,20260107,000000,26.81,27.425,26.35,27.23,3387389,0
CHYM.US,D,20260108,000000,27.05,27.83,26.58,27.7,2779053,0
CHYM.US,D,20260109,000000,28,28.59,27,27.76,4004175,0
CHYM.US,D,20260112,000000,27.61,28.07,26.71,27.93,3609453,0
CHYM.US,D,20260113,000000,27.58,27.58,25.96,26.72,4777160,0
CHYM.US,D,20260114,000000,26.72,26.74,25.05,25.69,3844842,0
CHYM.US,D,20260115,000000,25.9,26.76,25.18,25.84,2194671,0
CHYM.US,D,20260116,000000,26.04,26.4,25.5201,26.07,1447743,0
CHYM.US,D,20260120,000000,25.18,26.4,24.77,25.67,3369177,0
CHYM.US,D,20260121,000000,25.92,26.5506,25.47,26.38,2185439,0
CHYM.US,D,20260122,000000,26.8,27.54,26.76,27,2263532,0
CHYM.US,D,20260123,000000,26.94,27.29,26.37,26.46,1616602,0
