<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VHCPU.US,5,20251218,171500,10.03,10.04,10.03,10.04,2267902,0
VHCPU.US,5,20251218,172000,10.04,10.04,10.03,10.035,450370,0
VHCPU.US,5,20251218,172500,10.03,10.04,10.03,10.03,269415,0
VHCPU.US,5,20251218,173000,10.03,10.03,10.03,10.03,145200,0
VHCPU.US,5,20251218,173500,10.03,10.03,10.03,10.03,25980,0
VHCPU.US,5,20251218,174000,10.03,10.03,10.03,10.03,56500,0
VHCPU.US,5,20251218,174500,10.03,10.0357,10.03,10.035,192163,0
VHCPU.US,5,20251218,175000,10.03,10.035,10.03,10.03,61203,0
VHCPU.US,5,20251218,175500,10.03,10.04,10.03,10.03,58882,0
VHCPU.US,5,20251218,180000,10.03,10.03,10.03,10.03,5221,0
VHCPU.US,5,20251218,180500,10.035,10.035,10.03,10.03,530808,0
VHCPU.US,5,20251218,181000,10.03,10.035,10.03,10.035,15200,0
VHCPU.US,5,20251218,181500,10.03,10.035,10.03,10.035,1916,0
VHCPU.US,5,20251218,182000,10.03,10.035,10.03,10.03,4715,0
VHCPU.US,5,20251218,182500,10.035,10.035,10.03,10.03,2005,0
VHCPU.US,5,20251218,183000,10.03,10.04,10.03,10.03,47200,0
VHCPU.US,5,20251218,183500,10.03,10.035,10.03,10.035,605,0
VHCPU.US,5,20251218,184000,10.03,10.03,10.03,10.03,1740,0
VHCPU.US,5,20251218,184500,10.03,10.03,10.03,10.03,9200,0
VHCPU.US,5,20251218,185000,10.03,10.03,10.03,10.03,12895,0
VHCPU.US,5,20251218,185500,10.03,10.03,10.03,10.03,1400,0
VHCPU.US,5,20251218,190000,10.03,10.035,10.03,10.03,107702,0
VHCPU.US,5,20251218,190500,10.03,10.03,10.03,10.03,1400,0
VHCPU.US,5,20251218,191000,10.03,10.04,10.03,10.03,78218,0
VHCPU.US,5,20251218,191500,10.03,10.035,10.03,10.03,256800,0
VHCPU.US,5,20251218,192000,10.03,10.035,10.03,10.03,52110,0
VHCPU.US,5,20251218,192500,10.03,10.035,10.03,10.03,55305,0
VHCPU.US,5,20251218,193000,10.03,10.03,10.03,10.03,7020,0
VHCPU.US,5,20251218,193500,10.03,10.03,10.03,10.03,1008,0
VHCPU.US,5,20251218,194000,10.03,10.03,10.03,10.03,1000,0
VHCPU.US,5,20251218,194500,10.03,10.03,10.03,10.03,6718,0
VHCPU.US,5,20251218,195000,10.03,10.03,10.03,10.03,5100,0
VHCPU.US,5,20251218,195500,10.03,10.03,10.03,10.03,2320,0
VHCPU.US,5,20251218,200000,10.03,10.03,10.03,10.03,6208,0
