<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WSTNR.US,5,20251231,165000,0.18,0.18,0.18,0.18,10000,0
WSTNR.US,5,20251231,165500,0.18,0.19,0.18,0.19,51000,0
WSTNR.US,5,20251231,170000,0.19,0.19,0.19,0.19,56400,0
WSTNR.US,5,20251231,171000,0.19,0.19,0.19,0.19,10000,0
WSTNR.US,5,20251231,174500,0.19,0.2,0.19,0.2,61000,0
WSTNR.US,5,20251231,175000,0.2,0.2,0.2,0.2,46400,0
WSTNR.US,5,20251231,175500,0.19,0.19,0.19,0.19,1000,0
WSTNR.US,5,20251231,182500,0.19,0.19,0.19,0.19,50000,0
WSTNR.US,5,20251231,190000,0.19,0.19,0.19,0.19,50000,0
WSTNR.US,5,20251231,191500,0.19,0.19,0.19,0.19,10000,0
WSTNR.US,5,20251231,204500,0.19,0.19,0.19,0.19,100000,0
WSTNR.US,5,20251231,215500,0.19,0.19,0.18,0.18,2000,0
WSTNR.US,5,20260102,155500,0.18,0.18,0.18,0.18,7240,0
WSTNR.US,5,20260102,161500,0.18,0.18,0.18,0.18,51304,0
WSTNR.US,5,20260102,194000,0.18,0.18,0.18,0.18,20000,0
WSTNR.US,5,20260102,213000,0.17,0.17,0.17,0.17,57000,0
WSTNR.US,5,20260105,153500,0.17,0.17,0.17,0.17,83125,0
WSTNR.US,5,20260105,212000,0.1701,0.18,0.1701,0.18,75100,0
WSTNR.US,5,20260105,213000,0.18,0.18,0.18,0.18,2396,0
WSTNR.US,5,20260106,204500,0.18,0.18,0.18,0.18,50000,0
WSTNR.US,5,20260108,155000,0.1702,0.1703,0.1702,0.1702,15000,0
WSTNR.US,5,20260109,165000,0.176,0.176,0.1701,0.1702,25000,0
WSTNR.US,5,20260115,154000,0.18,0.18,0.18,0.18,1000,0
WSTNR.US,5,20260115,162500,0.18,0.18,0.18,0.18,20000,0
WSTNR.US,5,20260115,164500,0.18,0.18,0.18,0.18,79400,0
WSTNR.US,5,20260115,170500,0.18,0.18,0.18,0.18,25000,0
WSTNR.US,5,20260115,172500,0.18,0.18,0.18,0.18,600,0
WSTNR.US,5,20260115,200500,0.19,0.2,0.19,0.2,35000,0
WSTNR.US,5,20260120,153000,0.2,0.2,0.2,0.2,450,0
WSTNR.US,5,20260121,153500,0.197649,0.197649,0.197649,0.197649,125,0
WSTNR.US,5,20260121,164500,0.191,0.191,0.19,0.1901,25000,0
WSTNR.US,5,20260122,153000,0.1901,0.1912,0.1901,0.1912,250,0
