<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WHTX.US,5,20250902,161000,10.27,10.27,10.27,10.27,200,0
WHTX.US,5,20250902,210500,10.4601,10.4601,10.4601,10.4601,100,0
WHTX.US,5,20250904,154000,9.96,9.96,9.96,9.96,100,0
WHTX.US,5,20250905,154000,10.249,10.25,10.23,10.25,2098,0
WHTX.US,5,20250905,160000,10.259,10.259,10.24,10.2499,1100,0
WHTX.US,5,20250905,180000,10.2118,10.2118,10.2118,10.2118,200,0
WHTX.US,5,20250905,190500,10.21,10.21,10.21,10.21,100,0
WHTX.US,5,20250908,153000,10.19,10.19,10.11,10.11,200,0
WHTX.US,5,20250908,161000,10.19,10.19,10.19,10.19,100,0
WHTX.US,5,20250908,170500,10.229,10.23,10.229,10.229,700,0
WHTX.US,5,20250908,174500,10.249,10.25,10.249,10.249,900,0
WHTX.US,5,20250908,180500,10.289,10.29,10.289,10.2899,1200,0
WHTX.US,5,20250908,184000,10.28,10.28,10.28,10.28,800,0
WHTX.US,5,20250908,194500,10.29,10.29,10.29,10.29,1000,0
WHTX.US,5,20250908,195000,10.3,10.3,10.3,10.3,700,0
WHTX.US,5,20250908,212500,10.3116,10.3116,10.3116,10.3116,270,0
WHTX.US,5,20250910,154500,10.1003,10.1003,10.1003,10.1003,300,0
WHTX.US,5,20250910,160000,10.13,10.14,10.13,10.14,280,0
WHTX.US,5,20250910,174000,10.011,10.03,10.01,10.01,1506,0
WHTX.US,5,20250910,201500,9.93,9.9301,9.93,9.9301,2000,0
WHTX.US,5,20250910,204500,9.98,9.98,9.98,9.98,100,0
WHTX.US,5,20250910,205500,9.98,9.98,9.98,9.98,100,0
WHTX.US,5,20250911,170000,10.095,10.1,10.095,10.1,1000,0
WHTX.US,5,20250911,173500,10.0699,10.0699,10.0699,10.0699,2000,0
WHTX.US,5,20250911,182500,10.12,10.12,10.12,10.12,200,0
WHTX.US,5,20250911,183000,10.1116,10.1116,10.1116,10.1116,500,0
WHTX.US,5,20250911,190000,10.1501,10.155,10.15,10.155,300,0
WHTX.US,5,20250911,191500,10.15,10.15,10.15,10.15,597,0
WHTX.US,5,20250911,200500,10.22,10.22,10.22,10.22,100,0
WHTX.US,5,20250912,163000,10.19,10.19,10.19,10.19,200,0
WHTX.US,5,20250912,175000,10.14,10.14,10.14,10.14,100,0
WHTX.US,5,20250912,195000,10.3,10.3,10.3,10.3,200,0
WHTX.US,5,20250915,161000,10.42,10.42,10.42,10.42,200,0
WHTX.US,5,20250915,162000,10.4788,10.4788,10.4788,10.4788,100,0
WHTX.US,5,20250915,173000,10.33,10.33,10.33,10.33,100,0
WHTX.US,5,20250915,174000,10.32,10.32,10.32,10.32,100,0
WHTX.US,5,20250915,181500,10.305,10.305,10.305,10.305,500,0
WHTX.US,5,20250915,182000,10.31,10.31,10.31,10.31,100,0
WHTX.US,5,20250915,191500,10.33,10.33,10.33,10.33,100,0
WHTX.US,5,20250915,213000,10.38,10.38,10.38,10.38,100,0
WHTX.US,5,20250916,162500,10.61,10.61,10.61,10.61,100,0
WHTX.US,5,20250916,201500,10.6795,10.6795,10.6763,10.6763,590,0
WHTX.US,5,20250916,214000,10.7082,10.7082,10.7082,10.7082,1000,0
WHTX.US,5,20250917,153000,10.72,10.72,10.72,10.72,100,0
WHTX.US,5,20250917,163000,10.66,10.66,10.66,10.66,100,0
WHTX.US,5,20250917,181500,10.45,10.45,10.45,10.45,240,0
WHTX.US,5,20250918,162000,10.48,10.48,10.48,10.48,100,0
WHTX.US,5,20250918,214500,10.35,10.35,10.35,10.35,100,0
WHTX.US,5,20250919,153000,10.25,10.25,10.25,10.25,150,0
WHTX.US,5,20250919,161500,10.34,10.34,10.34,10.34,100,0
WHTX.US,5,20250919,190500,10.16,10.16,10.16,10.16,218,0
WHTX.US,5,20250919,200000,10.239,10.24,10.2386,10.2386,400,0
WHTX.US,5,20250922,160000,9.86,9.86,9.83,9.83,590,0
WHTX.US,5,20250922,161500,9.79,9.79,9.79,9.79,100,0
WHTX.US,5,20250922,163500,9.75,9.75,9.75,9.75,200,0
WHTX.US,5,20250922,193500,9.7707,9.7707,9.7707,9.7707,1000,0
WHTX.US,5,20250922,194000,9.77,9.77,9.77,9.77,300,0
WHTX.US,5,20250922,202500,9.76,9.7601,9.76,9.7601,200,0
WHTX.US,5,20250923,163000,10.07,10.07,10.07,10.07,100,0
WHTX.US,5,20250923,163500,10.0571,10.0571,10.0571,10.0571,1000,0
WHTX.US,5,20250923,164000,10.05,10.05,10.05,10.05,100,0
WHTX.US,5,20250923,170500,10.07,10.07,10.07,10.07,200,0
WHTX.US,5,20250923,171500,10.09,10.09,10.09,10.09,100,0
WHTX.US,5,20250924,161500,10.23,10.23,10.23,10.23,100,0
WHTX.US,5,20250924,163500,10.1578,10.1578,10.1578,10.1578,100,0
WHTX.US,5,20250924,182000,10.2297,10.2297,10.2297,10.2297,100,0
WHTX.US,5,20250924,190500,10.21,10.21,10.21,10.21,100,0
WHTX.US,5,20250925,161500,10.29,10.29,10.29,10.29,100,0
WHTX.US,5,20250925,200000,10.401,10.401,10.401,10.401,100,0
WHTX.US,5,20250926,155500,10.12,10.12,10.12,10.12,250,0
WHTX.US,5,20250926,161000,10.1,10.1,10.1,10.1,100,0
WHTX.US,5,20250926,210000,10.089,10.089,10.089,10.089,100,0
WHTX.US,5,20250929,163000,10.09,10.09,10.06,10.06,200,0
WHTX.US,5,20250929,183500,10.169,10.169,10.169,10.169,100,0
WHTX.US,5,20250929,184000,10.169,10.17,10.169,10.17,400,0
WHTX.US,5,20250929,185000,10.15,10.15,10.15,10.15,200,0
WHTX.US,5,20250929,194000,10.1201,10.1201,10.1201,10.1201,100,0
WHTX.US,5,20250930,164000,9.9146,9.9146,9.91,9.91,200,0
WHTX.US,5,20250930,180000,9.83,9.835,9.39,9.59,5599,0
WHTX.US,5,20250930,185000,9.62,9.62,9.62,9.62,100,0
WHTX.US,5,20250930,194000,9.63,9.63,9.63,9.63,500,0
WHTX.US,5,20250930,195000,9.63,9.63,9.615,9.62,500,0
WHTX.US,5,20250930,201500,9.62,9.63,9.62,9.63,450,0
WHTX.US,5,20250930,203000,9.639,9.64,9.639,9.64,200,0
WHTX.US,5,20251001,153500,9.46,9.46,9.46,9.46,100,0
WHTX.US,5,20251001,163500,9.509,9.51,9.509,9.509,500,0
WHTX.US,5,20251003,201000,9.95,9.95,9.95,9.95,100,0
WHTX.US,5,20251006,153000,9.979,9.979,9.979,9.979,200,0
WHTX.US,5,20251007,175000,9.641,9.66,9.64,9.64,9000,0
WHTX.US,5,20251007,202500,9.543,9.545,9.53,9.53,1481,0
WHTX.US,5,20251008,162000,9.59,9.59,9.59,9.59,100,0
WHTX.US,5,20251008,164000,9.55,9.55,9.55,9.55,100,0
WHTX.US,5,20251008,194000,9.561,9.561,9.561,9.561,100,0
WHTX.US,5,20251009,153500,9.749,9.749,9.749,9.749,100,0
WHTX.US,5,20251009,162000,9.69,9.69,9.69,9.69,100,0
WHTX.US,5,20251010,193000,9.259,9.26,9.259,9.26,968,0
WHTX.US,5,20251010,201500,9.29,9.29,9.289,9.29,2000,0
WHTX.US,5,20251013,153500,9.23,9.24,9.23,9.24,1000,0
WHTX.US,5,20251013,155500,9.23,9.23,9.23,9.23,100,0
WHTX.US,5,20251013,161000,9.15,9.15,9.15,9.15,100,0
WHTX.US,5,20251013,162000,9.155,9.155,9.15,9.15,318,0
WHTX.US,5,20251013,162500,9.18,9.18,9.18,9.18,100,0
WHTX.US,5,20251013,165000,9.3003,9.3003,9.3003,9.3003,100,0
WHTX.US,5,20251013,170500,9.3,9.3,9.3,9.3,100,0
WHTX.US,5,20251013,172500,9.32,9.32,9.32,9.32,300,0
WHTX.US,5,20251013,181500,9.27,9.27,9.27,9.27,100,0
WHTX.US,5,20251013,185000,9.269,9.27,9.269,9.2699,1200,0
WHTX.US,5,20251013,191000,9.259,9.259,9.259,9.259,100,0
WHTX.US,5,20251013,200500,9.249,9.249,9.249,9.249,100,0
WHTX.US,5,20251014,155000,9.269,9.27,9.269,9.2699,446,0
WHTX.US,5,20251014,184500,9.3682,9.3682,9.3682,9.3682,1000,0
WHTX.US,5,20251014,191000,9.35,9.35,9.35,9.35,100,0
WHTX.US,5,20251014,191500,9.34,9.34,9.34,9.34,1100,0
WHTX.US,5,20251014,215500,9.3484,9.3484,9.3484,9.3484,213,0
WHTX.US,5,20251015,163000,9.25,9.25,9.25,9.25,100,0
WHTX.US,5,20251015,173000,9.215,9.215,9.215,9.215,400,0
WHTX.US,5,20251015,173500,9.24,9.25,9.24,9.25,500,0
WHTX.US,5,20251015,192000,9.29,9.29,9.289,9.2899,1132,0
WHTX.US,5,20251015,194000,9.26,9.26,9.26,9.26,100,0
WHTX.US,5,20251016,160500,9.28,9.28,9.28,9.28,200,0
WHTX.US,5,20251016,163500,9.364,9.364,9.364,9.364,100,0
WHTX.US,5,20251016,172500,9.39,9.39,9.39,9.39,100,0
WHTX.US,5,20251016,182500,9.38,9.38,9.38,9.38,168,0
WHTX.US,5,20251017,180000,9.4798,9.4798,9.4798,9.4798,500,0
WHTX.US,5,20251017,195500,9.49,9.49,9.49,9.49,100,0
WHTX.US,5,20251020,161500,9.47,9.47,9.47,9.47,100,0
WHTX.US,5,20251020,162500,9.49,9.49,9.49,9.49,100,0
WHTX.US,5,20251020,165500,9.4808,9.4808,9.4808,9.4808,1000,0
WHTX.US,5,20251021,153000,9.38,9.3801,9.38,9.3801,710,0
WHTX.US,5,20251021,170500,9.379,9.379,9.379,9.379,319,0
WHTX.US,5,20251021,200500,9.339,9.34,9.339,9.34,300,0
WHTX.US,5,20251021,202000,9.355,9.355,9.3414,9.3432,622,0
WHTX.US,5,20251021,214500,9.345,9.345,9.345,9.345,100,0
WHTX.US,5,20251021,215500,9.331,9.35,9.33,9.35,1008,0
WHTX.US,5,20251022,154000,9.37,9.3701,9.37,9.3701,600,0
WHTX.US,5,20251022,155000,9.42,9.42,9.42,9.42,100,0
WHTX.US,5,20251022,172000,9.445,9.445,9.445,9.445,200,0
WHTX.US,5,20251022,183500,9.4286,9.4286,9.4286,9.4286,1900,0
WHTX.US,5,20251022,185000,9.447,9.447,9.447,9.447,528,0
WHTX.US,5,20251022,191000,9.43,9.43,9.43,9.43,100,0
WHTX.US,5,20251022,213000,9.48,9.48,9.48,9.48,3300,0
WHTX.US,5,20251023,153500,9.4425,9.4425,9.4425,9.4425,100,0
WHTX.US,5,20251023,161000,9.54,9.54,9.54,9.54,100,0
WHTX.US,5,20251023,170000,9.63,9.63,9.63,9.63,1000,0
WHTX.US,5,20251023,173500,9.64,9.64,9.64,9.64,800,0
WHTX.US,5,20251023,174500,9.64,9.64,9.64,9.64,2500,0
WHTX.US,5,20251023,180000,9.73,9.73,9.73,9.73,100,0
WHTX.US,5,20251023,181000,9.779,9.779,9.779,9.779,1000,0
WHTX.US,5,20251023,200500,9.81,9.81,9.81,9.81,100,0
WHTX.US,5,20251023,212500,9.81,9.81,9.81,9.81,817,0
WHTX.US,5,20251024,160000,9.7999,9.7999,9.7999,9.7999,100,0
WHTX.US,5,20251024,173500,9.8699,9.8699,9.8699,9.8699,100,0
WHTX.US,5,20251024,174000,9.8303,9.8468,9.8303,9.8468,519,0
WHTX.US,5,20251024,182000,9.87,9.87,9.87,9.87,100,0
WHTX.US,5,20251024,210500,9.795,9.795,9.795,9.795,183,0
WHTX.US,5,20251024,215500,9.78,9.78,9.78,9.78,158,0
WHTX.US,5,20251027,144000,10.301,10.301,10.301,10.301,400,0
WHTX.US,5,20251027,144500,10.305,10.32,10.305,10.32,2999,0
WHTX.US,5,20251027,145000,10.315,10.315,10.315,10.315,244,0
WHTX.US,5,20251027,150500,10.3597,10.36,10.3489,10.3489,1075,0
WHTX.US,5,20251027,151500,10.3716,10.3716,10.3716,10.3716,200,0
WHTX.US,5,20251027,152500,10.34,10.34,10.34,10.34,100,0
WHTX.US,5,20251027,160000,10.41,10.4301,10.41,10.4301,700,0
WHTX.US,5,20251027,160500,10.46,10.46,10.46,10.46,956,0
WHTX.US,5,20251027,164000,10.381,10.381,10.38,10.3801,600,0
WHTX.US,5,20251028,144000,10.646,10.646,10.646,10.646,126,0
WHTX.US,5,20251028,144500,10.635,10.635,10.635,10.635,200,0
WHTX.US,5,20251028,174000,10.42,10.42,10.42,10.42,100,0
WHTX.US,5,20251028,182000,10.289,10.289,10.289,10.289,145,0
WHTX.US,5,20251028,184000,10.291,10.291,10.291,10.291,137,0
WHTX.US,5,20251028,191500,10.46,10.46,10.46,10.46,2600,0
WHTX.US,5,20251028,203000,10.451,10.451,10.45,10.4501,700,0
WHTX.US,5,20251029,151000,10.48,10.48,10.48,10.48,100,0
WHTX.US,5,20251029,151500,10.4699,10.47,10.4699,10.47,800,0
WHTX.US,5,20251029,163000,10.475,10.475,10.475,10.475,100,0
WHTX.US,5,20251029,163500,10.42,10.42,10.42,10.42,959,0
WHTX.US,5,20251029,165000,10.449,10.449,10.449,10.449,200,0
WHTX.US,5,20251029,181000,10.42,10.42,10.42,10.42,100,0
WHTX.US,5,20251030,143000,10.3704,10.3704,10.3704,10.3704,186,0
WHTX.US,5,20251030,164500,10.19,10.19,10.1897,10.1897,200,0
WHTX.US,5,20251030,174000,10.25,10.25,10.25,10.25,100,0
WHTX.US,5,20251030,174500,10.2251,10.2251,10.2251,10.2251,413,0
WHTX.US,5,20251030,205500,10.2275,10.2275,10.2275,10.2275,200,0
WHTX.US,5,20251031,143000,10,10,10,10,100,0
WHTX.US,5,20251031,152000,10.0743,10.0743,10.0743,10.0743,1446,0
WHTX.US,5,20251031,163000,10.25,10.25,10.25,10.25,100,0
WHTX.US,5,20251031,171000,10.3374,10.3374,10.3374,10.3374,100,0
WHTX.US,5,20251103,155500,10.6,10.6,10.6,10.6,100,0
WHTX.US,5,20251103,160000,10.59,10.59,10.57,10.57,322,0
WHTX.US,5,20251103,183500,10.909,10.909,10.89,10.9,3650,0
WHTX.US,5,20251103,190500,10.96,10.96,10.96,10.96,100,0
WHTX.US,5,20251103,194000,10.945,10.945,10.945,10.945,100,0
WHTX.US,5,20251103,201500,10.99,10.99,10.99,10.99,100,0
WHTX.US,5,20251103,204500,11.03,11.03,11.01,11.01,1070,0
WHTX.US,5,20251103,205000,10.99,10.99,10.99,10.99,100,0
WHTX.US,5,20251104,153000,11.0594,11.0594,11.0594,11.0594,125,0
WHTX.US,5,20251104,153500,10.98,10.98,10.98,10.98,100,0
WHTX.US,5,20251104,154000,10.97,10.97,10.97,10.97,100,0
WHTX.US,5,20251104,162500,10.86,10.86,10.86,10.86,100,0
WHTX.US,5,20251104,164500,10.9631,10.9631,10.9631,10.9631,100,0
WHTX.US,5,20251104,183500,11.09,11.09,11.0897,11.0897,900,0
WHTX.US,5,20251104,193000,11.11,11.11,11.11,11.11,102,0
WHTX.US,5,20251104,202000,11.2274,11.2274,11.2274,11.2274,250,0
WHTX.US,5,20251104,214000,11.225,11.225,11.2,11.21,3400,0
WHTX.US,5,20251104,214500,11.18,11.18,11.18,11.18,100,0
WHTX.US,5,20251105,154000,11.14,11.14,11.14,11.14,100,0
WHTX.US,5,20251105,161000,11.1862,11.1862,11.1862,11.1862,100,0
WHTX.US,5,20251105,163000,10.9,10.9,10.9,10.9,100,0
WHTX.US,5,20251105,165500,11.2,11.2,11.2,11.2,100,0
WHTX.US,5,20251105,171500,11.29,11.29,11.29,11.29,300,0
WHTX.US,5,20251105,174500,11.32,11.32,11.32,11.32,100,0
WHTX.US,5,20251105,182000,11.4,11.4,11.4,11.4,200,0
WHTX.US,5,20251105,203000,11.38,11.3835,11.38,11.3835,1844,0
WHTX.US,5,20251106,202000,10.62,10.63,10.62,10.63,401,0
WHTX.US,5,20251106,203500,10.65,10.65,10.65,10.65,100,0
WHTX.US,5,20251106,204000,10.65,10.65,10.65,10.65,100,0
WHTX.US,5,20251106,205000,10.65,10.65,10.65,10.65,100,0
WHTX.US,5,20251106,205500,10.65,10.65,10.65,10.65,100,0
WHTX.US,5,20251107,153000,10.622,10.6344,10.622,10.6344,5962,0
WHTX.US,5,20251107,155000,10.57,10.57,10.57,10.57,900,0
WHTX.US,5,20251107,170500,10.53,10.54,10.53,10.54,2000,0
WHTX.US,5,20251107,183000,10.35,10.35,10.35,10.35,961,0
WHTX.US,5,20251107,183500,10.33,10.33,10.33,10.33,1000,0
WHTX.US,5,20251107,190500,10.3,10.3,10.3,10.3,970,0
WHTX.US,5,20251107,201500,10.31,10.31,10.31,10.31,967,0
WHTX.US,5,20251107,202000,10.283,10.283,10.283,10.283,100,0
WHTX.US,5,20251107,210000,10.2913,10.2913,10.2913,10.2913,971,0
WHTX.US,5,20251107,214000,10.2797,10.2797,10.2797,10.2797,3679,0
WHTX.US,5,20251110,154000,10.521,10.521,10.521,10.521,100,0
WHTX.US,5,20251110,160500,10.5014,10.5014,10.5014,10.5014,1900,0
WHTX.US,5,20251110,163000,10.467,10.52,10.467,10.52,600,0
WHTX.US,5,20251110,171500,10.51,10.5203,10.51,10.5203,807,0
WHTX.US,5,20251110,180500,10.58,10.58,10.58,10.58,100,0
WHTX.US,5,20251111,161000,10.58,10.6,10.58,10.6,200,0
WHTX.US,5,20251111,161500,10.62,10.62,10.62,10.62,1231,0
WHTX.US,5,20251111,162000,10.61,10.61,10.61,10.61,100,0
WHTX.US,5,20251111,165000,10.68,10.68,10.68,10.68,100,0
WHTX.US,5,20251111,172500,10.6,10.6,10.6,10.6,100,0
WHTX.US,5,20251112,154500,10.48,10.48,10.48,10.48,100,0
WHTX.US,5,20251112,155000,10.52,10.52,10.52,10.52,100,0
WHTX.US,5,20251112,161000,10.54,10.54,10.54,10.54,100,0
WHTX.US,5,20251112,162500,10.59,10.59,10.59,10.59,100,0
WHTX.US,5,20251112,174500,10.5787,10.5787,10.5787,10.5787,240,0
WHTX.US,5,20251112,180000,10.57,10.57,10.57,10.57,100,0
WHTX.US,5,20251112,190500,10.65,10.65,10.64,10.64,300,0
WHTX.US,5,20251112,191500,10.65,10.65,10.65,10.65,100,0
WHTX.US,5,20251112,200500,10.66,10.66,10.66,10.66,100,0
WHTX.US,5,20251113,161000,10.72,10.72,10.72,10.72,100,0
WHTX.US,5,20251113,180500,10.62,10.62,10.62,10.62,100,0
WHTX.US,5,20251113,190500,10.78,10.78,10.78,10.78,100,0
WHTX.US,5,20251113,195000,10.651,10.651,10.651,10.651,2785,0
WHTX.US,5,20251113,200000,10.64,10.64,10.64,10.64,100,0
WHTX.US,5,20251114,161000,10.85,10.85,10.85,10.85,100,0
WHTX.US,5,20251114,163000,10.74,10.74,10.74,10.74,100,0
WHTX.US,5,20251114,164000,10.709,10.709,10.709,10.709,100,0
