<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SRXH.US,D,20250730,000000,0.4,0.4494,0.395,0.4211,485431,0
SRXH.US,D,20250731,000000,0.437849,0.439999,0.381,0.4003,131462,0
SRXH.US,D,20250801,000000,0.3835,0.3939,0.3415,0.3806,507301,0
SRXH.US,D,20250804,000000,0.355,0.379999,0.322,0.3579,206568,0
SRXH.US,D,20250805,000000,0.3579,0.42,0.3401,0.4194,895860,0
SRXH.US,D,20250806,000000,0.380001,0.41,0.3784,0.385,169337,0
SRXH.US,D,20250807,000000,0.376,0.3824,0.3505,0.3659,108150,0
SRXH.US,D,20250808,000000,0.3629,0.3659,0.342,0.3508,81137,0
SRXH.US,D,20250811,000000,0.3459,0.3922,0.3414,0.3793,611238,0
SRXH.US,D,20250812,000000,0.35,0.39,0.302,0.332,1723583,0
SRXH.US,D,20250813,000000,0.3153,0.3398,0.281,0.299,770786,0
SRXH.US,D,20250814,000000,0.3,0.3072,0.265,0.2708,8097128,0
SRXH.US,D,20250815,000000,0.39,0.77999,0.3355,0.5,666690014,0
SRXH.US,D,20250818,000000,0.4602,0.49,0.3658,0.4199,17825202,0
SRXH.US,D,20250819,000000,0.399,0.4042,0.3317,0.34,4382962,0
SRXH.US,D,20250820,000000,0.3277,0.38,0.3207,0.3454,2162634,0
SRXH.US,D,20250821,000000,0.35,0.4124,0.3466,0.396,2595814,0
SRXH.US,D,20250822,000000,0.37165,0.4235,0.371,0.4214,2645141,0
SRXH.US,D,20250825,000000,0.4064,0.4139,0.3859,0.4041,827428,0
SRXH.US,D,20250826,000000,0.3806,0.4134,0.3806,0.3924,761709,0
SRXH.US,D,20250827,000000,0.381,0.3969,0.365,0.37,937301,0
SRXH.US,D,20250828,000000,0.3614,0.3843,0.354,0.3649,621897,0
SRXH.US,D,20250829,000000,0.4365,0.4486,0.3845,0.4178,79546006,0
SRXH.US,D,20250902,000000,0.37145,0.4348,0.365,0.403,3453947,0
SRXH.US,D,20250903,000000,0.3852,0.4,0.37,0.4,1144519,0
SRXH.US,D,20250904,000000,0.375,0.397,0.36,0.382,765208,0
SRXH.US,D,20250905,000000,0.3651,0.3754,0.3501,0.375,808457,0
SRXH.US,D,20250908,000000,0.3591,0.37,0.33,0.3557,1058184,0
SRXH.US,D,20250909,000000,0.3405,0.341,0.32532,0.336,698287,0
SRXH.US,D,20250910,000000,0.326,0.3336,0.27,0.3015,2302254,0
SRXH.US,D,20250911,000000,0.3015,0.316,0.283,0.304,630680,0
SRXH.US,D,20250912,000000,0.3099,0.32,0.3038,0.306,239129,0
SRXH.US,D,20250915,000000,0.315,0.3961,0.31,0.36,4238216,0
SRXH.US,D,20250916,000000,0.3519,0.3618,0.343,0.345,871615,0
SRXH.US,D,20250917,000000,0.3445,0.36,0.335,0.346,793742,0
SRXH.US,D,20250918,000000,0.34145,0.3506,0.3369,0.339,215162,0
SRXH.US,D,20250919,000000,0.3495,0.359,0.3452,0.3473,313620,0
SRXH.US,D,20250922,000000,0.3371,0.3459,0.3263,0.3367,398081,0
SRXH.US,D,20250923,000000,0.3352,0.3398,0.3238,0.3388,244464,0
SRXH.US,D,20250924,000000,0.3291,0.35,0.321,0.35,184242,0
SRXH.US,D,20250925,000000,0.33,0.3387,0.315,0.3387,182370,0
SRXH.US,D,20250926,000000,0.33,0.3387,0.325,0.3281,122956,0
SRXH.US,D,20250929,000000,0.3244,0.338,0.32,0.338,172635,0
SRXH.US,D,20250930,000000,0.3261,0.3283,0.295,0.317,780164,0
SRXH.US,D,20251001,000000,0.3029,0.3447,0.2958,0.32,674588,0
SRXH.US,D,20251002,000000,0.3324,0.39,0.3201,0.3524,1164713,0
SRXH.US,D,20251003,000000,0.3418,0.355,0.3351,0.3493,539032,0
SRXH.US,D,20251006,000000,0.3551,0.3791,0.3391,0.367,672359,0
SRXH.US,D,20251007,000000,0.3491,0.3536,0.321,0.3315,561156,0
SRXH.US,D,20251008,000000,0.331,0.348,0.3292,0.3378,223219,0
SRXH.US,D,20251009,000000,0.3397,0.375,0.3277,0.3648,1201936,0
SRXH.US,D,20251010,000000,0.3423,0.3468,0.3232,0.3299,560857,0
SRXH.US,D,20251013,000000,0.3227,0.3298,0.3202,0.321,286203,0
SRXH.US,D,20251014,000000,0.3264,0.3478,0.3131,0.32,349892,0
SRXH.US,D,20251015,000000,0.3176,0.3494,0.3135,0.33,704178,0
SRXH.US,D,20251016,000000,0.328,0.34,0.3088,0.3165,380596,0
SRXH.US,D,20251017,000000,0.3131,0.3192,0.31,0.3192,101016,0
SRXH.US,D,20251020,000000,0.3211,0.3338,0.32,0.327,312448,0
SRXH.US,D,20251021,000000,0.3288,0.3365,0.3171,0.331,302667,0
SRXH.US,D,20251022,000000,0.3243,0.3298,0.31,0.3205,260625,0
SRXH.US,D,20251023,000000,0.3152,0.3276,0.3152,0.3201,1110879,0
SRXH.US,D,20251024,000000,0.321,0.3499,0.32,0.331,485973,0
SRXH.US,D,20251027,000000,0.3311,0.3465,0.331,0.3449,321027,0
SRXH.US,D,20251028,000000,0.341,0.378,0.33,0.37,1029194,0
SRXH.US,D,20251029,000000,0.3689,0.3695,0.333,0.3376,441149,0
SRXH.US,D,20251030,000000,0.33,0.3718,0.3221,0.3523,1093335,0
SRXH.US,D,20251031,000000,0.348,0.348,0.3,0.3,679344,0
SRXH.US,D,20251103,000000,0.2995,0.3113,0.294364,0.306,327001,0
SRXH.US,D,20251104,000000,0.31,0.32,0.2667,0.268,375994,0
SRXH.US,D,20251105,000000,0.2686,0.2956,0.2664,0.2872,202324,0
SRXH.US,D,20251106,000000,0.2853,0.398,0.2627,0.2679,19798808,0
SRXH.US,D,20251107,000000,0.23995,0.2599,0.2229,0.228,1077031,0
SRXH.US,D,20251110,000000,0.22,0.26,0.201,0.2108,822190,0
SRXH.US,D,20251111,000000,0.2108,0.2471,0.2045,0.2213,1293310,0
SRXH.US,D,20251112,000000,0.216,0.2456,0.213951,0.2419,456552,0
SRXH.US,D,20251113,000000,0.2492,0.25919,0.23,0.2438,422257,0
SRXH.US,D,20251114,000000,0.2319,0.2546,0.2319,0.245,215223,0
SRXH.US,D,20251117,000000,0.247,0.3086,0.2389,0.247,1180572,0
SRXH.US,D,20251118,000000,0.2489,0.263,0.2396,0.263,297470,0
SRXH.US,D,20251119,000000,0.2642,0.2671,0.2515,0.2619,133199,0
SRXH.US,D,20251120,000000,0.2615,0.2737,0.2453,0.2472,499531,0
SRXH.US,D,20251121,000000,0.2429,0.2879,0.2429,0.2735,386282,0
SRXH.US,D,20251124,000000,0.2592,0.2996,0.2503,0.299,491732,0
SRXH.US,D,20251125,000000,0.299,0.3284,0.2825,0.32065,649728,0
SRXH.US,D,20251126,000000,0.32,0.3459,0.314,0.332,201137,0
SRXH.US,D,20251128,000000,0.3231,0.3429,0.322,0.342,70728,0
SRXH.US,D,20251201,000000,0.3151,0.3481,0.3151,0.3437,147564,0
SRXH.US,D,20251202,000000,0.3449,0.3841,0.336,0.3839,444683,0
SRXH.US,D,20251203,000000,0.3819,0.4088,0.3751,0.3938,666647,0
SRXH.US,D,20251204,000000,0.3998,0.4131,0.38,0.3995,414080,0
SRXH.US,D,20251205,000000,0.3901,0.4418,0.3854,0.44,1155027,0
SRXH.US,D,20251208,000000,0.43,0.47,0.4177,0.4559,617165,0
SRXH.US,D,20251209,000000,0.4559,0.48,0.4214,0.48,506040,0
SRXH.US,D,20251210,000000,0.4655,0.6029,0.459,0.583,1145961,0
SRXH.US,D,20251211,000000,0.5708,0.6034,0.3435,0.3795,1409098,0
SRXH.US,D,20251212,000000,0.3864,0.49,0.3779,0.461,964280,0
