<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DARP.US,5,20250829,171500,37.475,37.475,37.475,37.475,100,0
DARP.US,5,20250829,195000,37.41,37.41,37.41,37.41,100,0
DARP.US,5,20250902,153000,35.04,35.3401,35.04,35.3401,5200,0
DARP.US,5,20250902,161000,36.815,36.815,36.815,36.815,130,0
DARP.US,5,20250902,161500,36.81,36.81,36.81,36.81,706,0
DARP.US,5,20250902,193500,36.75,36.75,36.75,36.75,100,0
DARP.US,5,20250902,205000,36.82,36.82,36.82,36.82,2000,0
DARP.US,5,20250904,175500,37.6476,37.6476,37.6476,37.6476,100,0
DARP.US,5,20250905,210000,37.7,37.7,37.7,37.7,2648,0
DARP.US,5,20250908,154500,38.2086,38.2086,38.2086,38.2086,384,0
DARP.US,5,20250908,190500,38.18,38.18,38.18,38.18,140,0
DARP.US,5,20250909,162000,38.01,38.01,38.01,38.01,100,0
DARP.US,5,20250909,163000,38,38,37.93,37.93,260,0
DARP.US,5,20250909,215500,38.43,38.43,38.43,38.43,106,0
DARP.US,5,20250910,153000,38.92,38.92,38.92,38.92,900,0
DARP.US,5,20250910,170500,39.415,39.415,39.415,39.415,100,0
DARP.US,5,20250910,172000,39.2962,39.2962,39.2962,39.2962,161,0
DARP.US,5,20250910,172500,39.3,39.3,39.3,39.3,900,0
DARP.US,5,20250910,174000,39.3,39.3,39.3,39.3,323,0
DARP.US,5,20250910,214500,39.22,39.22,39.2199,39.2199,206,0
DARP.US,5,20250911,170500,39.4298,39.4298,39.4298,39.4298,255,0
DARP.US,5,20250912,163000,39.39,39.39,39.39,39.39,300,0
DARP.US,5,20250912,170000,39.41,39.44,39.41,39.44,400,0
DARP.US,5,20250912,172000,39.38,39.415,39.38,39.38,400,0
DARP.US,5,20250912,174000,39.33,39.33,39.33,39.33,300,0
DARP.US,5,20250912,184500,39.3616,39.3616,39.3616,39.3616,300,0
DARP.US,5,20250915,153500,39.515,39.515,39.515,39.515,200,0
DARP.US,5,20250915,172000,39.815,39.815,39.75,39.75,814,0
DARP.US,5,20250916,213500,39.732,39.732,39.732,39.732,200,0
DARP.US,5,20250916,215000,39.75,39.75,39.75,39.75,208,0
DARP.US,5,20250917,162000,39.5915,39.5915,39.5915,39.5915,505,0
DARP.US,5,20250917,163000,39.43,39.43,39.43,39.43,200,0
DARP.US,5,20250918,180000,40.385,40.385,40.385,40.385,300,0
DARP.US,5,20250918,214500,40.45,40.45,40.45,40.45,100,0
DARP.US,5,20250919,161000,40.5599,40.56,40.5599,40.56,222,0
DARP.US,5,20250919,205000,40.51,40.51,40.5,40.51,1000,0
DARP.US,5,20250922,160000,40.785,40.785,40.785,40.785,186,0
DARP.US,5,20250922,194000,41.32,41.32,41.32,41.32,217,0
DARP.US,5,20250923,183000,40.08,40.7,38.85,40.69,999,0
DARP.US,5,20250923,195000,40.88,40.88,40.88,40.88,200,0
DARP.US,5,20250923,215000,40.84,40.85,40.84,40.85,200,0
DARP.US,5,20250924,172500,40.96,40.96,40.96,40.96,251,0
DARP.US,5,20250924,201000,40.565,40.64,40.565,40.6299,3500,0
DARP.US,5,20250924,205500,40.65,40.65,40.65,40.65,150,0
DARP.US,5,20250925,153500,40.06,40.06,39.9,39.9,1970,0
DARP.US,5,20250925,173000,40.52,40.52,40.52,40.52,100,0
DARP.US,5,20250925,205500,40.53,40.53,40.53,40.53,100,0
DARP.US,5,20250926,163000,40.37,40.37,40.37,40.37,100,0
DARP.US,5,20250926,165000,40.4489,40.4489,40.4489,40.4489,255,0
DARP.US,5,20250929,161500,41.29,41.29,41.29,41.29,100,0
DARP.US,5,20250930,153000,40.87,40.87,40.87,40.87,1000,0
DARP.US,5,20250930,171000,41.31,41.31,41.31,41.31,100,0
DARP.US,5,20250930,212500,41.36,41.36,41.36,41.36,100,0
DARP.US,5,20251001,174000,41.94,41.94,41.92,41.94,535,0
DARP.US,5,20251002,183000,42.3757,42.3757,42.3757,42.3757,100,0
DARP.US,5,20251003,163500,39.77,39.77,39.02,39.02,1900,0
DARP.US,5,20251003,165500,42.69,42.69,42.69,42.69,183,0
DARP.US,5,20251003,170000,42.676,42.676,42.676,42.676,400,0
DARP.US,5,20251003,173500,42.715,42.715,42.715,42.715,100,0
DARP.US,5,20251006,163000,42.75,42.75,42.695,42.695,400,0
DARP.US,5,20251006,171500,42.82,42.82,42.82,42.82,100,0
DARP.US,5,20251008,163500,42.975,42.975,42.975,42.975,100,0
DARP.US,5,20251008,173000,43.0015,43.0015,43.0015,43.0015,130,0
DARP.US,5,20251009,153000,43.25,43.25,43.25,43.25,2000,0
DARP.US,5,20251009,165000,43.0945,43.0945,43.0945,43.0945,118,0
DARP.US,5,20251010,164500,43.5165,43.5165,43.5165,43.5165,200,0
DARP.US,5,20251010,191500,42.06,42.06,42.06,42.06,382,0
DARP.US,5,20251010,193000,42.38,42.38,42.38,42.38,217,0
DARP.US,5,20251013,172000,42.81,42.8101,42.81,42.8101,1400,0
DARP.US,5,20251013,191000,43.03,43.03,43.03,43.03,100,0
DARP.US,5,20251013,200500,42.98,42.98,42.98,42.98,1885,0
DARP.US,5,20251013,201500,43.0055,43.0055,43.0055,43.0055,112,0
DARP.US,5,20251014,153000,41.97,41.97,41.97,41.97,398,0
DARP.US,5,20251014,165000,42.25,42.25,42.25,42.25,200,0
DARP.US,5,20251014,174500,42.4501,42.4501,42.4501,42.4501,300,0
DARP.US,5,20251015,214000,42.7899,42.7899,42.7899,42.7899,100,0
DARP.US,5,20251016,155000,42.75,42.7501,42.75,42.7501,200,0
DARP.US,5,20251016,215500,42.42,42.42,42.42,42.42,569,0
DARP.US,5,20251017,162000,42.44,42.44,42.44,42.44,100,0
DARP.US,5,20251020,160000,43.04,43.04,43.04,43.04,121,0
DARP.US,5,20251020,201500,42.984,42.984,42.984,42.984,126,0
DARP.US,5,20251020,215500,42.77,42.77,42.77,42.77,299,0
DARP.US,5,20251021,175500,42.6156,42.6156,42.6156,42.6156,200,0
DARP.US,5,20251021,205500,42.6118,42.6118,42.6118,42.6118,232,0
DARP.US,5,20251021,214000,42.68,42.68,42.68,42.68,210329,0
DARP.US,5,20251021,215500,42.4,42.4,42.4,42.4,153,0
DARP.US,5,20251022,161500,42.04,42.04,42.04,42.04,100,0
DARP.US,5,20251022,170500,41.94,41.95,41.875,41.95,1245,0
DARP.US,5,20251022,175500,41.845,41.845,41.72,41.72,600,0
DARP.US,5,20251022,181500,41.83,41.83,41.8299,41.8299,1200,0
DARP.US,5,20251022,183500,41.68,41.68,41.6799,41.6799,200,0
DARP.US,5,20251023,160000,42.71,42.71,42.71,42.71,100,0
DARP.US,5,20251024,213000,43.61,43.61,43.51,43.51,200,0
DARP.US,5,20251024,213500,43.5,43.5,43.5,43.5,137,0
DARP.US,5,20251024,214000,43.5,43.5,43.5,43.5,340,0
DARP.US,5,20251024,214500,43.48,43.48,43.48,43.48,180,0
DARP.US,5,20251024,215000,43.49,43.49,43.49,43.49,240,0
DARP.US,5,20251024,215500,43.45,43.45,43.44,43.44,717,0
DARP.US,5,20251027,143000,43.44,44.13,43,43,988,0
DARP.US,5,20251027,152000,44.0781,44.0781,44.0781,44.0781,150,0
DARP.US,5,20251027,164000,44.225,44.225,44.225,44.225,200,0
DARP.US,5,20251027,190000,44.29,44.29,44.29,44.29,110,0
DARP.US,5,20251027,205500,44.4,44.4,44.4,44.4,100,0
DARP.US,5,20251028,144500,44.386,44.386,44.386,44.386,371,0
DARP.US,5,20251028,193500,44.62,44.76,44.62,44.76,1264,0
DARP.US,5,20251029,143000,45,45,45,45,183,0
