<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBSC.US,D,20251217,000000,24.71,24.71,24.1247,24.1247,3110,0
DBSC.US,D,20251218,000000,24.38,24.4,24.38,24.4,204,0
DBSC.US,D,20251219,000000,24.74,24.8,24.7316,24.7316,701,0
DBSC.US,D,20251222,000000,24.9512,25.22,24.9512,25.0449,19699,0
DBSC.US,D,20251223,000000,25,25.115,24.96,24.96,4640,0
DBSC.US,D,20251224,000000,24.98,25,24.93,24.96,40100,0
DBSC.US,D,20251226,000000,24.89,24.95,24.89,24.9102,1412,0
DBSC.US,D,20251229,000000,24.84,24.84,24.695,24.7058,6623,0
DBSC.US,D,20251230,000000,24.74,24.74,24.5,24.5,891,0
DBSC.US,D,20260102,000000,24.5756,24.67,24.5756,24.67,2004,0
DBSC.US,D,20260105,000000,25.1,25.26,25.1,25.26,768,0
DBSC.US,D,20260106,000000,25.29,25.585,25.29,25.585,258,0
DBSC.US,D,20260107,000000,25.65,25.65,25.35,25.47,747,0
DBSC.US,D,20260108,000000,25.68,25.68,25.6643,25.6643,508,0
DBSC.US,D,20260109,000000,26,26,25.83,25.89,452,0
DBSC.US,D,20260112,000000,25.86,26.02,25.86,25.975,3706,0
DBSC.US,D,20260113,000000,25.9,25.9,25.83,25.83,517,0
DBSC.US,D,20260114,000000,25.645,25.785,25.645,25.785,480,0
DBSC.US,D,20260116,000000,26.4,26.4,26.2204,26.2204,2901,0
DBSC.US,D,20260120,000000,26.1,26.2,25.87,25.87,15680,0
DBSC.US,D,20260121,000000,26.1598,26.34,25.95,26.29,401,0
DBSC.US,D,20260122,000000,26.57,26.57,26.415,26.415,2093,0
DBSC.US,D,20260123,000000,25.945,26.04,25.9286,25.985,13359,0
