<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPT.US,D,20240920,000000,25.7209,25.7209,25.2076,25.3317,170745,0
GPT.US,D,20240923,000000,25.4015,25.5511,25.3861,25.5013,178756,0
GPT.US,D,20240924,000000,25.8307,26.0403,25.7309,26.0303,69996.3,0
GPT.US,D,20240925,000000,26.0702,26.0702,25.8606,25.8906,20154.3,0
GPT.US,D,20240926,000000,26.19,26.5194,26.19,26.3697,43233.3,0
GPT.US,D,20240927,000000,26.4395,27.6872,26.3797,26.4595,140458,0
GPT.US,D,20240930,000000,26.6791,26.6791,26.2001,26.2898,37952.2,0
GPT.US,D,20241001,000000,26.4495,26.5493,26.22,26.5094,22582,0
GPT.US,D,20241002,000000,26.8987,26.8987,26.5994,26.8733,118947,0
GPT.US,D,20241003,000000,27.0484,27.0484,26.6163,26.8783,79705.8,0
GPT.US,D,20241004,000000,27.0883,27.1781,26.9296,27.1541,56518.6,0
GPT.US,D,20241007,000000,27.1781,27.2181,27.0371,27.1182,82473.1,0
GPT.US,D,20241008,000000,26.8088,26.8088,26.5344,26.7589,78470.4,0
GPT.US,D,20241009,000000,26.2699,26.6891,26.2699,26.6591,33716.2,0
GPT.US,D,20241010,000000,26.709,26.709,26.4097,26.6292,14807.2,0
GPT.US,D,20241011,000000,26.719,26.8887,26.5065,26.8439,43388.6,0
GPT.US,D,20241014,000000,26.9685,26.9685,26.699,26.7589,37129.7,0
GPT.US,D,20241015,000000,26.4595,26.4595,25.9505,26.0104,35177,0
GPT.US,D,20241016,000000,26.0802,26.0996,26.0004,26.0417,26561.5,0
GPT.US,D,20241017,000000,25.9704,26.1501,25.9704,26.0726,14706,0
GPT.US,D,20241018,000000,26.1401,26.2575,26.1401,26.2081,14184,0
GPT.US,D,20241021,000000,26.2299,26.2299,25.9606,26.0902,31468.9,0
GPT.US,D,20241022,000000,26.2,26.2297,26.0503,26.1864,10267.5,0
GPT.US,D,20241023,000000,26.0483,26.0902,25.7509,25.8756,9760.59,0
GPT.US,D,20241024,000000,26.0699,26.0699,25.9006,25.9767,23430.6,0
GPT.US,D,20241025,000000,25.9904,26.3444,25.9904,26.1501,7834.92,0
GPT.US,D,20241028,000000,26.0902,26.1651,26.0503,26.0902,23432.6,0
GPT.US,D,20241029,000000,26.0303,26.1201,25.9605,26.1002,7929.1,0
GPT.US,D,20241030,000000,26.0004,26.0004,25.8008,25.8207,11108.1,0
GPT.US,D,20241031,000000,25.7109,25.7109,25.3915,25.436,24069.8,0
GPT.US,D,20241101,000000,25.5712,25.6011,25.3217,25.3516,8382.96,0
GPT.US,D,20241104,000000,25.3616,25.6211,25.3616,25.4832,6315.02,0
GPT.US,D,20241105,000000,25.671,25.7908,25.6311,25.7908,10488.9,0
GPT.US,D,20241106,000000,25.7908,25.9504,25.5512,25.9105,25148.9,0
GPT.US,D,20241107,000000,26.0004,26.3896,26.0004,26.3297,11038,0
GPT.US,D,20241108,000000,25.9605,26.0609,25.9305,26.0403,21778.4,0
GPT.US,D,20241111,000000,26.0403,26.0403,25.9105,25.9901,35606.8,0
GPT.US,D,20241112,000000,25.8706,25.8802,25.5812,25.7216,29506.2,0
GPT.US,D,20241113,000000,25.8207,25.8207,25.5113,25.5446,12518.8,0
GPT.US,D,20241114,000000,25.5413,25.5882,25.4614,25.4859,14317.2,0
GPT.US,D,20241115,000000,25.3766,25.3989,25.1021,25.1248,18479.2,0
GPT.US,D,20241118,000000,25.1221,25.4614,25.1221,25.4416,6298.99,0
GPT.US,D,20241119,000000,25.3217,25.5122,25.3217,25.4913,21473.9,0
GPT.US,D,20241120,000000,25.4913,25.5512,25.3317,25.5407,7426.14,0
GPT.US,D,20241121,000000,25.5313,25.5313,25.3117,25.4515,19265.7,0
GPT.US,D,20241122,000000,25.1919,25.4352,25.1919,25.4148,12092,0
GPT.US,D,20241125,000000,25.4115,25.6011,25.3716,25.4054,9104.34,0
GPT.US,D,20241126,000000,25.4414,25.4414,25.2817,25.3267,11298.5,0
GPT.US,D,20241127,000000,25.5912,25.5912,25.0821,25.2001,7796.85,0
GPT.US,D,20241129,000000,25.2917,25.3516,25.2019,25.3217,4628.81,0
GPT.US,D,20241202,000000,25.3516,25.4799,25.3416,25.4608,27415.2,0
GPT.US,D,20241203,000000,25.651,25.651,25.4015,25.4765,4616.79,0
GPT.US,D,20241204,000000,25.7009,25.7009,25.6011,25.661,3595.85,0
GPT.US,D,20241205,000000,25.6111,25.7151,25.5113,25.5113,4422.42,0
GPT.US,D,20241206,000000,25.5812,25.6099,25.5213,25.5413,2932.58,0
GPT.US,D,20241209,000000,25.691,25.9056,25.6452,25.6452,8709.59,0
GPT.US,D,20241210,000000,25.3416,25.4115,25.2817,25.2876,4572.71,0
GPT.US,D,20241211,000000,25.3616,25.6648,25.3616,25.5681,9350.81,0
GPT.US,D,20241212,000000,25.4215,25.5213,25.3017,25.3616,4466.5,0
GPT.US,D,20241213,000000,25.1919,25.4015,25.1919,25.288,5185.87,0
GPT.US,D,20241216,000000,25.1919,25.4207,25.1919,25.2721,6309.01,0
GPT.US,D,20241217,000000,25.0222,25.1329,24.9973,25.0547,6207.82,0
GPT.US,D,20241218,000000,25.1221,25.1661,24.2936,24.3023,7359.01,0
GPT.US,D,20241219,000000,24.0641,24.4034,24.0641,24.1447,9890.84,0
GPT.US,D,20241220,000000,24.0641,24.4834,24.0641,24.3715,6103.62,0
