<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGG.US,D,20250618,000000,6.53,13.34,5.89,6.53,1510058,0
EGG.US,D,20250620,000000,6.15,6.3254,3.943,4.67,269298,0
EGG.US,D,20250623,000000,4.21,4.4,3.5249,3.86,316494,0
EGG.US,D,20250624,000000,3.88,3.88,2.53,2.98,831823,0
EGG.US,D,20250625,000000,2.9798,3.8499,2.6393,3.54,529328,0
EGG.US,D,20250626,000000,3.7381,4.36,3.08,3.39,547786,0
EGG.US,D,20250627,000000,3.2,3.47,3.15,3.47,303949,0
EGG.US,D,20250630,000000,3.225,3.59,3.21,3.47,77878,0
EGG.US,D,20250701,000000,3.25,3.5,3.25,3.37,138907,0
EGG.US,D,20250702,000000,3.355,3.8398,3.2,3.7,609087,0
EGG.US,D,20250703,000000,3.8446,6.98,3.815,5.68,8831691,0
EGG.US,D,20250707,000000,4.875,5.31,4.5,4.85,494365,0
EGG.US,D,20250708,000000,4.7512,6.3509,4.51,6,388465,0
EGG.US,D,20250709,000000,5.81,13.88,5.75,8.77,2871830,0
EGG.US,D,20250710,000000,7.94,9.83,7.1475,7.6,314385,0
EGG.US,D,20250711,000000,7.71,8.0067,6.082,6.09,146400,0
EGG.US,D,20250714,000000,6.2,6.82,5.72,6.3,117409,0
EGG.US,D,20250715,000000,6.4,6.6,6.01,6.02,53935,0
EGG.US,D,20250716,000000,6.22,6.94,6.2,6.25,132716,0
EGG.US,D,20250717,000000,6.69,6.69,5.51,6.04,101995,0
EGG.US,D,20250718,000000,6.1,6.17,6.04,6.14,20285,0
EGG.US,D,20250721,000000,6.5,6.5784,5.9,6.03,45650,0
EGG.US,D,20250722,000000,6.155,6.27,5.83,6.16,28378,0
EGG.US,D,20250723,000000,6.2256,6.3267,5.7001,5.86,40942,0
EGG.US,D,20250724,000000,6.21,6.3202,5.79,5.79,20690,0
EGG.US,D,20250725,000000,5.69,5.95,5.51,5.66,30261,0
EGG.US,D,20250728,000000,5.66,6.0567,5.52,5.71,26362,0
EGG.US,D,20250729,000000,5.86,5.87,5.4,5.4,15202,0
EGG.US,D,20250730,000000,5.35,5.8,5.21,5.21,13295,0
EGG.US,D,20250731,000000,5.3383,5.435,5.1855,5.2,77350,0
EGG.US,D,20250801,000000,5.01,5.02,4.5,4.5,20912,0
EGG.US,D,20250804,000000,4.87,5.347,4.43,5.15,9285,0
EGG.US,D,20250805,000000,5.21,5.62,4.835,5.62,84002,0
EGG.US,D,20250806,000000,5.48,5.5,5.3402,5.5,8285,0
EGG.US,D,20250807,000000,5.6,5.65,5.4,5.48,5771,0
EGG.US,D,20250808,000000,5.49,5.52,5.27,5.3,7847,0
EGG.US,D,20250811,000000,5.2,5.3799,5.2,5.29,3832,0
EGG.US,D,20250812,000000,5.1908,5.6946,5.152,5.39,5016,0
EGG.US,D,20250813,000000,5.9334,5.9334,5.2181,5.67,7102,0
EGG.US,D,20250814,000000,5.89,7.8,5.6104,7.28,308055,0
EGG.US,D,20250815,000000,7.5,7.5,6.01,6.5199,47929,0
EGG.US,D,20250818,000000,6.51,6.57,6.1,6.15,5678,0
EGG.US,D,20250819,000000,6.18,7.24,6.17,6.8,26675,0
EGG.US,D,20250820,000000,6.3299,6.6872,6.3299,6.4,6759,0
EGG.US,D,20250821,000000,6.35,6.39,5.62,5.85,7355,0
EGG.US,D,20250822,000000,6.02,6.195,5.9,6,7319,0
EGG.US,D,20250825,000000,6,6.42,5.53,6.33,8043,0
EGG.US,D,20250826,000000,6.46,6.46,5.91,5.91,8007,0
EGG.US,D,20250827,000000,5.91,6,5.8,5.8,5465,0
