<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HXHX.US,D,20250415,000000,4.75,6.29,2.5101,3.11,8523313,0
HXHX.US,D,20250416,000000,2.31,3.17,2.31,2.68,2585907,0
HXHX.US,D,20250417,000000,2.61,2.635,2.05,2.1,988403,0
HXHX.US,D,20250421,000000,2.01,2.02,1.63,1.76,651506,0
HXHX.US,D,20250422,000000,1.74,2.05,1.67,1.75,603147,0
HXHX.US,D,20250423,000000,1.76,1.8791,1.56,1.7,443365,0
HXHX.US,D,20250424,000000,1.7,2.04,1.66,1.98,504570,0
HXHX.US,D,20250425,000000,1.88,2.1,1.88,2.07,450582,0
HXHX.US,D,20250428,000000,2.1,2.1499,1.76,1.84,225634,0
HXHX.US,D,20250429,000000,1.85,1.915,1.7,1.75,130299,0
HXHX.US,D,20250430,000000,1.7715,1.8,1.65,1.7,157916,0
HXHX.US,D,20250501,000000,1.71,1.75,1.6,1.68,159386,0
HXHX.US,D,20250502,000000,1.645,1.7967,1.645,1.69,136418,0
HXHX.US,D,20250505,000000,1.64,1.7289,1.6,1.62,77073,0
HXHX.US,D,20250506,000000,1.59,1.6532,1.59,1.64,52407,0
HXHX.US,D,20250507,000000,1.63,1.69,1.35,1.41,337519,0
HXHX.US,D,20250508,000000,1.43,1.6485,1.37,1.58,214974,0
HXHX.US,D,20250509,000000,1.5359,1.7,1.5,1.64,220308,0
HXHX.US,D,20250512,000000,1.68,1.75,1.61,1.68,112141,0
HXHX.US,D,20250513,000000,1.658,1.69,1.502,1.52,188532,0
HXHX.US,D,20250514,000000,1.56,1.59,1.45,1.5,87678,0
HXHX.US,D,20250515,000000,1.45,1.51,1.37,1.42,125439,0
HXHX.US,D,20250516,000000,1.4,1.47,1.4,1.45,34002,0
HXHX.US,D,20250519,000000,1.41,1.5821,1.41,1.44,42892,0
HXHX.US,D,20250520,000000,1.41,1.51,1.29,1.38,137801,0
HXHX.US,D,20250521,000000,1.34,1.63,1.34,1.39,606281,0
HXHX.US,D,20250522,000000,1.33,1.4999,1.32,1.43,104616,0
