<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIFG.US,D,20251212,000000,15,16.08,12.5813,12.5813,4773,0
CIFG.US,D,20251215,000000,11.56,11.56,9.01,9.1706,55282,0
CIFG.US,D,20251216,000000,8.969,9.54,7.81,9.414,39420,0
CIFG.US,D,20251217,000000,10.39,10.47,8.641,8.6618,37944,0
CIFG.US,D,20251218,000000,9.9901,10.51,9.341,9.5695,53900,0
CIFG.US,D,20251219,000000,10.08,11.2825,10.08,10.9763,32023,0
CIFG.US,D,20251222,000000,11.65,12.238,11.08,11.1153,27841,0
CIFG.US,D,20251223,000000,10.53,11.66,10.27,10.5513,36444,0
CIFG.US,D,20251224,000000,10.58,11.11,10.43,10.9004,20020,0
CIFG.US,D,20251226,000000,11.03,11.03,9.5751,9.5751,25857,0
CIFG.US,D,20251229,000000,8.96,9.8,8.96,9.3733,19749,0
CIFG.US,D,20251230,000000,9.35,9.5099,8.8244,8.8244,4213,0
CIFG.US,D,20251231,000000,8.9398,9.18,8.76,8.9683,3721,0
CIFG.US,D,20260102,000000,9.19,10.84,9.07,10.6987,83545,0
CIFG.US,D,20260105,000000,11.22,13.6,11.22,13.3069,43362,0
CIFG.US,D,20260106,000000,13.14,13.14,10.6301,12.405,42309,0
CIFG.US,D,20260107,000000,11.24,12.31,10.3644,10.3644,50327,0
CIFG.US,D,20260108,000000,9.93,11.32,9.8,10.9289,51699,0
CIFG.US,D,20260109,000000,11.47,12.95,10.68,11.0207,59737,0
CIFG.US,D,20260112,000000,10.34,12.54,10.31,12.3675,55527,0
CIFG.US,D,20260113,000000,13.35,14.43,12.36,13.181,143864,0
CIFG.US,D,20260114,000000,13.15,14.159,12.43,12.95,222378,0
CIFG.US,D,20260115,000000,13.21,13.78,11.5801,12.37,73883,0
CIFG.US,D,20260116,000000,12.09,15,12.09,14.015,229480,0
CIFG.US,D,20260120,000000,12.2,13.97,11.61,12.51,137125,0
CIFG.US,D,20260121,000000,13.41,14.78,10.3,12.61,228609,0
CIFG.US,D,20260122,000000,12.76,13.0348,11.6,12,72898,0
CIFG.US,D,20260123,000000,11.75,13.4,10.49,12.1,194830,0
