<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAEQ.US,D,20251222,000000,49.89,49.8901,49.8696,49.8696,4355,0
AAEQ.US,D,20251223,000000,50.02,50.0385,50.02,50.0385,285,0
AAEQ.US,D,20251224,000000,50.08,50.1886,50.08,50.1886,1483,0
AAEQ.US,D,20251230,000000,49.76,49.78,49.7014,49.7014,5064,0
AAEQ.US,D,20260105,000000,49.76,49.77,49.7191,49.7191,8359,0
AAEQ.US,D,20260107,000000,49.75,49.925,49.7,49.7109,26349,0
AAEQ.US,D,20260109,000000,49.88,49.98,49.88,49.9336,4339,0
AAEQ.US,D,20260112,000000,50.12,50.12,50.1106,50.1106,1904,0
AAEQ.US,D,20260113,000000,50.1,50.1423,50.1,50.1423,1903,0
AAEQ.US,D,20260114,000000,49.51,49.7259,49.51,49.7259,251,0
AAEQ.US,D,20260115,000000,49.9705,49.9705,49.7419,49.7419,129,0
AAEQ.US,D,20260120,000000,48.78,48.78,48.499,48.499,115,0
AAEQ.US,D,20260121,000000,48.99,48.99,48.931,48.931,2111,0
