<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETRL.US,D,20250905,000000,25.27,25.27,23.66,24.5528,2222,0
ETRL.US,D,20250908,000000,24.62,24.62,23.99,23.99,1243,0
ETRL.US,D,20250909,000000,23,23.4423,22.87,23.4423,471,0
ETRL.US,D,20250910,000000,22,22,20.6963,20.6963,4773,0
ETRL.US,D,20250911,000000,22.2107,22.3431,21.81,22.3431,13684,0
ETRL.US,D,20250912,000000,23.9,23.9,22,22.1666,6405,0
ETRL.US,D,20250915,000000,22.155,23.9499,20.895,21.3867,20682,0
ETRL.US,D,20250916,000000,21.35,21.43,20.94,21.3878,6535,0
ETRL.US,D,20250917,000000,21.18,21.94,20.71,20.9374,3302,0
ETRL.US,D,20250918,000000,22.24,22.6067,21.73,21.8367,36620,0
ETRL.US,D,20250919,000000,21.91,22.11,21.7097,22.0071,8695,0
ETRL.US,D,20250922,000000,21.27,23,21.27,22.8739,9030,0
ETRL.US,D,20250923,000000,23.66,24.12,21.6481,21.6481,5958,0
ETRL.US,D,20250924,000000,21.87,21.87,20.2918,20.2918,1983,0
ETRL.US,D,20250925,000000,19.59,19.59,18.85,18.8708,35223,0
ETRL.US,D,20250926,000000,18.87,18.8883,18.16,18.8868,5837,0
ETRL.US,D,20250929,000000,19.79,20.29,19.4527,19.9165,6227,0
ETRL.US,D,20250930,000000,20.37,20.37,18.77,19.0217,28375,0
ETRL.US,D,20251001,000000,18.82,18.82,17.0554,17.0554,27112,0
ETRL.US,D,20251002,000000,17.95,18.9991,17.85,18.9991,24216,0
ETRL.US,D,20251003,000000,19.38,19.41,18.37,18.5018,18941,0
ETRL.US,D,20251006,000000,18.5851,19.21,18.5851,18.6609,6871,0
ETRL.US,D,20251007,000000,19.1,20.39,18.1,18.1822,18649,0
ETRL.US,D,20251008,000000,18.55,18.55,17.5,18.4648,40625,0
ETRL.US,D,20251009,000000,19.15,19.62,17.2,17.2911,17362,0
ETRL.US,D,20251010,000000,17.4055,17.6701,16.32,16.5293,8725,0
ETRL.US,D,20251013,000000,16.85,17.0031,16.85,17.0031,2371,0
ETRL.US,D,20251014,000000,16.98,16.98,15.65,16.8116,6021,0
ETRL.US,D,20251015,000000,16.81,16.94,15.9,16.41,22250,0
ETRL.US,D,20251016,000000,16.19,16.4,15.7,16.3255,3224,0
ETRL.US,D,20251017,000000,15.7722,15.87,15.35,15.3676,8103,0
ETRL.US,D,20251020,000000,16,17.29,16,17.0075,10893,0
ETRL.US,D,20251021,000000,17.23,17.98,17.1881,17.1881,4575,0
ETRL.US,D,20251022,000000,16.42,16.52,15.28,15.5913,4782,0
ETRL.US,D,20251023,000000,15.59,15.71,15.59,15.71,760,0
ETRL.US,D,20251024,000000,16.04,17.08,16.04,16.7266,3888,0
ETRL.US,D,20251027,000000,17.79,17.79,16.79,17.5261,14053,0
ETRL.US,D,20251028,000000,17.7,17.7,16.4602,16.4602,3994,0
ETRL.US,D,20251029,000000,15.5764,16.19,15.4892,15.4892,5404,0
ETRL.US,D,20251030,000000,15.6996,15.7,15.0899,15.0899,1059,0
ETRL.US,D,20251031,000000,15.33,15.4825,14.25,14.8772,53508,0
ETRL.US,D,20251103,000000,14.43,14.43,13.57,14.3253,2350,0
ETRL.US,D,20251104,000000,13.99,13.99,12.8568,12.8568,40592,0
ETRL.US,D,20251105,000000,12.44,12.9,12.44,12.5999,7881,0
ETRL.US,D,20251106,000000,12.41,12.5298,12.01,12.1586,60874,0
ETRL.US,D,20251107,000000,12.2,13.0981,12.06,13.0981,37722,0
ETRL.US,D,20251110,000000,13.8,15.49,12.72,15.0901,49455,0
ETRL.US,D,20251111,000000,15.005,18.71,15.005,17.8743,32961,0
ETRL.US,D,20251112,000000,19.03,19.0464,16.945,17.9571,22937,0
ETRL.US,D,20251113,000000,17.25,17.26,15.85,16.12,23719,0
ETRL.US,D,20251114,000000,17.38,17.5,16.2,17.2525,11537,0
ETRL.US,D,20251117,000000,15.9,16.67,15.04,15.4974,7644,0
ETRL.US,D,20251118,000000,15,16.1093,14.94,16.1093,4930,0
ETRL.US,D,20251119,000000,15,15.4165,14.52,15.2392,8440,0
ETRL.US,D,20251120,000000,15.42,15.72,13.61,13.9095,4471,0
ETRL.US,D,20251121,000000,13.6904,14.5434,13.6904,14.0253,1997,0
ETRL.US,D,20251124,000000,14.5,15.6697,14.5,15.6697,598,0
ETRL.US,D,20251125,000000,15.6,16.376,15.49,16.376,2836,0
ETRL.US,D,20251126,000000,18.02,18.51,17.2009,18.1096,32449,0
ETRL.US,D,20251128,000000,18.16,18.9399,17.9115,18.0764,4573,0
ETRL.US,D,20251201,000000,17.89,18.06,17.63,17.9328,2219,0
ETRL.US,D,20251202,000000,18.69,18.69,17.8288,17.8288,2260,0
