<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIXIW.US,D,20251217,000000,0.1501,0.1502,0.1501,0.1501,8176,0
BIXIW.US,D,20251218,000000,0.2101,0.25,0.2,0.232649,7392,0
BIXIW.US,D,20251219,000000,0.2775,0.2775,0.21,0.225,192749,0
BIXIW.US,D,20251222,000000,0.2194,0.37,0.2152,0.298,2157,0
BIXIW.US,D,20251223,000000,0.3697,0.3697,0.25555,0.25555,12788,0
BIXIW.US,D,20251224,000000,0.2315,0.2315,0.2315,0.2315,1141,0
BIXIW.US,D,20251226,000000,0.2411,0.2411,0.2211,0.2211,665,0
BIXIW.US,D,20251230,000000,0.27,0.28,0.27,0.28,1538,0
BIXIW.US,D,20251231,000000,0.28,0.28,0.28,0.28,530,0
BIXIW.US,D,20260102,000000,0.264999,0.28,0.264999,0.269801,3529,0
BIXIW.US,D,20260105,000000,0.2276,0.26,0.22,0.25,52900,0
BIXIW.US,D,20260106,000000,0.2747,0.2747,0.25,0.25,12604,0
BIXIW.US,D,20260107,000000,0.34,0.34,0.34,0.34,2510,0
BIXIW.US,D,20260108,000000,0.2201,0.33,0.2201,0.26,5186,0
BIXIW.US,D,20260109,000000,0.3575,0.3575,0.3575,0.3575,2128,0
BIXIW.US,D,20260112,000000,0.37,0.37,0.3,0.3,3618,0
BIXIW.US,D,20260113,000000,0.35,0.35,0.339209,0.35,11533,0
BIXIW.US,D,20260114,000000,0.35,0.3534,0.35,0.35,18357,0
BIXIW.US,D,20260115,000000,0.35,0.35,0.300601,0.35,1324,0
BIXIW.US,D,20260116,000000,0.424,0.4491,0.311489,0.3495,3390,0
BIXIW.US,D,20260120,000000,0.3005,0.3252,0.3005,0.3005,4128,0
BIXIW.US,D,20260121,000000,0.3425,0.3425,0.3,0.3,2395,0
BIXIW.US,D,20260122,000000,0.272293,0.33,0.272293,0.33,51911,0
BIXIW.US,D,20260123,000000,0.33,0.35,0.33,0.33,8451,0
