<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GEVG.US,D,20251217,000000,15.28,15.28,12.14,12.1654,14763,0
GEVG.US,D,20251218,000000,13.58,13.76,12.95,12.9681,26275,0
GEVG.US,D,20251219,000000,13.48,13.8035,13.14,13.7637,4063,0
GEVG.US,D,20251222,000000,14.16,14.2,13.73,13.8744,6693,0
GEVG.US,D,20251223,000000,13.7,13.905,13.6,13.832,9560,0
GEVG.US,D,20251224,000000,14.1,14.339,14.077,14.077,5272,0
GEVG.US,D,20251226,000000,14.05,14.05,13.82,13.9416,15479,0
GEVG.US,D,20251229,000000,13.81,13.9987,13.52,13.9505,5546,0
GEVG.US,D,20251230,000000,14.1,14.1,13.7698,13.7698,7152,0
GEVG.US,D,20251231,000000,13.63,13.74,13.5225,13.5225,8407,0
GEVG.US,D,20260102,000000,14.05,14.5175,13.8,14.5175,12225,0
GEVG.US,D,20260105,000000,15.01,15.01,14.2,14.4,10178,0
GEVG.US,D,20260106,000000,14.96,14.96,13.77,14.8,7364,0
GEVG.US,D,20260107,000000,14.6,14.73,13.8143,13.8143,7726,0
GEVG.US,D,20260108,000000,13.75,13.75,12.07,12.4381,20126,0
GEVG.US,D,20260109,000000,12.215,12.51,12.17,12.199,13160,0
GEVG.US,D,20260112,000000,12.93,12.9741,12.79,12.8079,6498,0
GEVG.US,D,20260113,000000,13.55,13.69,13.17,13.3045,28518,0
GEVG.US,D,20260114,000000,13.35,13.35,12.91,13.0106,16360,0
GEVG.US,D,20260115,000000,13.73,13.85,12.83,12.8759,19921,0
GEVG.US,D,20260116,000000,14,14.87,13.75,14.4559,52179,0
GEVG.US,D,20260120,000000,14.8258,15.4271,14.3,14.5855,46024,0
GEVG.US,D,20260121,000000,14.99,14.99,13.34,13.8988,43139,0
GEVG.US,D,20260122,000000,14.21,14.22,13,13.5925,31934,0
GEVG.US,D,20260123,000000,13.26,13.69,13.0624,13.43,10431,0
