<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BACCR.US,D,20250804,000000,0.15,0.17,0.15,0.16,1825616,0
BACCR.US,D,20250805,000000,0.1601,0.1601,0.1494,0.1494,249398,0
BACCR.US,D,20250806,000000,0.14,0.16,0.14,0.1499,686942,0
BACCR.US,D,20250807,000000,0.1401,0.16,0.14,0.1598,171797,0
BACCR.US,D,20250811,000000,0.14799,0.14799,0.1401,0.142,6532,0
BACCR.US,D,20250812,000000,0.142,0.142,0.13985,0.14,34059,0
BACCR.US,D,20250814,000000,0.1318,0.1318,0.1318,0.1318,153,0
BACCR.US,D,20250818,000000,0.132,0.14,0.132,0.14,1490,0
BACCR.US,D,20250825,000000,0.14,0.14,0.1301,0.1301,10061,0
BACCR.US,D,20250902,000000,0.14,0.14,0.1302,0.14,6308,0
BACCR.US,D,20250903,000000,0.15,0.15,0.1339,0.14,18427,0
BACCR.US,D,20250911,000000,0.15,0.159,0.1302,0.15,19175,0
BACCR.US,D,20250916,000000,0.16,0.16,0.16,0.16,30067,0
BACCR.US,D,20250917,000000,0.154,0.154,0.152,0.152,200,0
BACCR.US,D,20250924,000000,0.159,0.16,0.144,0.144,21900,0
BACCR.US,D,20250926,000000,0.16,0.16,0.16,0.16,3783,0
BACCR.US,D,20250929,000000,0.163,0.163,0.15,0.158,4543,0
BACCR.US,D,20250930,000000,0.163,0.163,0.1614,0.1614,400,0
BACCR.US,D,20251001,000000,0.164,0.164,0.16,0.16,1000,0
BACCR.US,D,20251002,000000,0.163,0.168,0.16,0.168,41300,0
BACCR.US,D,20251003,000000,0.165,0.175,0.165,0.165,5500,0
BACCR.US,D,20251006,000000,0.165,0.17,0.165,0.17,49713,0
BACCR.US,D,20251007,000000,0.2032,0.209,0.18,0.1851,18325,0
BACCR.US,D,20251009,000000,0.19,0.2,0.1899,0.19,41076,0
BACCR.US,D,20251010,000000,0.2,0.2,0.1636,0.1636,1242,0
BACCR.US,D,20251013,000000,0.19,0.195,0.19,0.19,18142,0
BACCR.US,D,20251014,000000,0.175,0.2,0.16,0.2,34959,0
