<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIGX.US,D,20250818,000000,9.96,9.96,9.9497,9.95,13293,0
FIGX.US,D,20250819,000000,9.95,9.96,9.95,9.96,16124,0
FIGX.US,D,20250820,000000,9.96,9.99,9.95,9.98,467529,0
FIGX.US,D,20250821,000000,9.9713,10.01,9.9713,10.01,105965,0
FIGX.US,D,20250822,000000,10.02,10.02,9.99,9.99,12994,0
FIGX.US,D,20250825,000000,9.99,9.99,9.99,9.99,425271,0
FIGX.US,D,20250826,000000,10.02,10.02,10.02,10.02,152,0
FIGX.US,D,20250903,000000,10.01,10.01,10,10.01,253204,0
FIGX.US,D,20250904,000000,10.05,10.05,10.01,10.01,423,0
FIGX.US,D,20250905,000000,10.01,10.01,10.01,10.01,200102,0
FIGX.US,D,20250908,000000,10.05,10.05,10,10,792,0
FIGX.US,D,20250909,000000,9.98,9.98,9.98,9.98,234,0
FIGX.US,D,20250911,000000,10.01,10.01,10.01,10.01,4915,0
FIGX.US,D,20250916,000000,9.985,9.985,9.98,9.98,4069,0
FIGX.US,D,20250917,000000,9.98,9.98,9.98,9.98,1005,0
FIGX.US,D,20250918,000000,9.99,9.99,9.99,9.99,1033,0
FIGX.US,D,20250919,000000,9.98,9.98,9.98,9.98,144,0
FIGX.US,D,20250922,000000,9.98,9.99,9.98,9.99,1132,0
FIGX.US,D,20250923,000000,9.99,9.99,9.99,9.99,142,0
FIGX.US,D,20250924,000000,9.99,9.99,9.99,9.99,102,0
FIGX.US,D,20250929,000000,9.99,9.99,9.99,9.99,102,0
FIGX.US,D,20250930,000000,9.99,9.99,9.99,9.99,101,0
FIGX.US,D,20251002,000000,9.99,10,9.99,10,88056,0
FIGX.US,D,20251007,000000,10,10.01,9.98,10.01,11068,0
FIGX.US,D,20251008,000000,9.99,10,9.99,10,13224,0
FIGX.US,D,20251009,000000,9.99,10,9.99,10,63188,0
FIGX.US,D,20251020,000000,10.029,10.03,10.02,10.02,4416,0
FIGX.US,D,20251021,000000,10.03,10.05,10.03,10.05,1312,0
FIGX.US,D,20251022,000000,10.0394,10.0394,10.0394,10.0394,3200,0
FIGX.US,D,20251023,000000,10.03,10.03,10.03,10.03,1680,0
FIGX.US,D,20251024,000000,10.0258,10.06,10.02,10.06,94241,0
FIGX.US,D,20251027,000000,10.05,10.055,10.05,10.05,17520,0
FIGX.US,D,20251028,000000,10.01,10.01,10.01,10.01,106,0
FIGX.US,D,20251029,000000,10.01,10.01,10.01,10.01,25137,0
FIGX.US,D,20251030,000000,10.03,10.03,10.03,10.03,100111,0
FIGX.US,D,20251031,000000,10.03,10.03,10.03,10.03,108,0
FIGX.US,D,20251103,000000,10.03,10.03,10.03,10.03,26354,0
FIGX.US,D,20251104,000000,10.05,10.15,10.05,10.15,106631,0
FIGX.US,D,20251105,000000,10.08,10.11,10.08,10.11,16240,0
FIGX.US,D,20251107,000000,10.11,10.11,10.11,10.11,16310,0
FIGX.US,D,20251110,000000,10.12,10.13,10.12,10.12,153656,0
FIGX.US,D,20251114,000000,10.12,10.1201,10.12,10.1201,1053,0
FIGX.US,D,20251120,000000,10.0929,10.0929,10.08,10.08,1211,0
FIGX.US,D,20251124,000000,10.08,10.08,10.08,10.08,635,0
FIGX.US,D,20251125,000000,10.09,10.09,10.09,10.09,1156,0
FIGX.US,D,20251201,000000,10.13,10.13,10.1,10.1,13172,0
FIGX.US,D,20251202,000000,10.08,10.08,10.08,10.08,2800,0
FIGX.US,D,20251204,000000,10.1,10.1,10.09,10.09,28684,0
FIGX.US,D,20251205,000000,10.1,10.1,10.1,10.1,1505,0
FIGX.US,D,20251208,000000,10.1,10.1,10.1,10.1,24335,0
FIGX.US,D,20251209,000000,10.1,10.1,10.1,10.1,31571,0
FIGX.US,D,20251210,000000,10.1,10.1,10.1,10.1,1505,0
FIGX.US,D,20251211,000000,10.07,10.075,10.07,10.07,5003,0
FIGX.US,D,20251212,000000,10.0674,10.0674,10.0674,10.0674,3750,0
FIGX.US,D,20251215,000000,10.06,10.06,10.06,10.06,12455,0
FIGX.US,D,20251217,000000,10.05,10.06,10.05,10.06,14839,0
FIGX.US,D,20251218,000000,10.054,10.054,10.05,10.05,2232,0
FIGX.US,D,20251219,000000,10.055,10.055,10.05,10.05,100610,0
FIGX.US,D,20251223,000000,10.0444,10.05,10.04,10.05,72681,0
FIGX.US,D,20251224,000000,10.045,10.05,10.045,10.05,798,0
FIGX.US,D,20251230,000000,10.05,10.06,10.05,10.06,1150,0
FIGX.US,D,20251231,000000,10.0599,10.06,10.059,10.06,23841,0
FIGX.US,D,20260106,000000,10.07,10.07,10.07,10.07,81445,0
FIGX.US,D,20260113,000000,10.08,10.08,10.08,10.08,25506,0
FIGX.US,D,20260114,000000,10.08,10.09,10.08,10.085,76976,0
FIGX.US,D,20260115,000000,10.1,10.1,10.1,10.1,33309,0
FIGX.US,D,20260116,000000,10.0751,10.0751,10.0751,10.0751,3074,0
FIGX.US,D,20260121,000000,10.1,10.1,10.08,10.1,27815,0
FIGX.US,D,20260122,000000,10.1,10.1,10.09,10.1,3402,0
FIGX.US,D,20260123,000000,10.1,10.1,10.1,10.1,6383,0
