<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DUOG.US,D,20251212,000000,15.98,15.98,14.7588,14.7588,2094,0
DUOG.US,D,20251215,000000,14.6,14.6,13.215,13.215,1365,0
DUOG.US,D,20251216,000000,13.47,13.52,13.2962,13.2962,8303,0
DUOG.US,D,20251217,000000,14.01,14.1954,12.9511,12.9511,8836,0
DUOG.US,D,20251218,000000,12.95,13.6249,11.63,12.7814,33239,0
DUOG.US,D,20251219,000000,13.085,13.45,12.87,13.1789,8323,0
DUOG.US,D,20251222,000000,13.25,13.73,12.8,13.0728,9596,0
DUOG.US,D,20251223,000000,12.84,12.84,11.76,12.2399,26929,0
DUOG.US,D,20251224,000000,12.1227,12.48,12.01,12.446,3041,0
DUOG.US,D,20251226,000000,12.32,12.5386,12.3,12.5386,10681,0
DUOG.US,D,20251229,000000,12.48,12.48,12.15,12.4175,3616,0
DUOG.US,D,20251230,000000,12.48,12.48,11.988,11.988,8874,0
DUOG.US,D,20251231,000000,11.8,12.055,11.6937,11.6937,2561,0
DUOG.US,D,20260102,000000,11.585,12.19,11.585,11.7738,14500,0
DUOG.US,D,20260105,000000,13.23,14.06,12.9,12.967,42006,0
DUOG.US,D,20260106,000000,13.61,13.8701,12.0101,12.18,17616,0
DUOG.US,D,20260107,000000,12.18,12.3,11.19,11.7093,37645,0
DUOG.US,D,20260108,000000,11.15,11.41,10.84,11.3644,14482,0
DUOG.US,D,20260109,000000,11.81,12.01,11.09,11.7526,43540,0
DUOG.US,D,20260112,000000,10.75,11.65,9.75,9.7596,153116,0
DUOG.US,D,20260113,000000,9.8,10.43,9.5601,10.247,109490,0
DUOG.US,D,20260114,000000,10.25,10.25,9.03,9.0347,133125,0
DUOG.US,D,20260115,000000,9.38,9.83,8.8,8.8619,195150,0
DUOG.US,D,20260116,000000,8.92,8.92,8.06,8.35,169582,0
DUOG.US,D,20260120,000000,8.3,8.69,8.07,8.13,186975,0
DUOG.US,D,20260121,000000,8.15,8.29,7.4783,7.9344,140677,0
DUOG.US,D,20260122,000000,8.2,9.0536,8.2,8.7292,194577,0
DUOG.US,D,20260123,000000,8.79,9.54,8.79,8.9177,180803,0
