<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DNMXW.US,D,20251119,000000,0.4,0.4,0.32,0.35,26119,0
DNMXW.US,D,20251120,000000,0.35,0.3604,0.3444,0.3461,407997,0
DNMXW.US,D,20251121,000000,0.354,0.4206,0.29,0.42,340899,0
DNMXW.US,D,20251124,000000,0.4,0.4,0.4,0.4,550,0
DNMXW.US,D,20251126,000000,0.3424,0.418,0.3424,0.4,1525,0
DNMXW.US,D,20251128,000000,0.4155,0.44999,0.4155,0.43,2932,0
DNMXW.US,D,20251201,000000,0.41,0.41,0.41,0.41,140,0
DNMXW.US,D,20251202,000000,0.4,0.4,0.4,0.4,5409,0
DNMXW.US,D,20251203,000000,0.37,0.4,0.35,0.39,70190,0
DNMXW.US,D,20251204,000000,0.37,0.377,0.3582,0.37,514966,0
DNMXW.US,D,20251205,000000,0.37,0.37,0.361,0.361,105288,0
DNMXW.US,D,20251208,000000,0.3699,0.37,0.3699,0.37,1300,0
DNMXW.US,D,20251209,000000,0.37,0.37,0.36995,0.36995,18800,0
DNMXW.US,D,20251210,000000,0.351101,0.37,0.351101,0.37,300,0
DNMXW.US,D,20251211,000000,0.37,0.37,0.3645,0.37,62294,0
DNMXW.US,D,20251212,000000,0.37,0.37,0.3657,0.37,3823,0
DNMXW.US,D,20251215,000000,0.3699,0.3699,0.3699,0.3699,274,0
DNMXW.US,D,20251222,000000,0.352,0.352,0.352,0.352,840,0
DNMXW.US,D,20251223,000000,0.352,0.36,0.351,0.36,7125,0
DNMXW.US,D,20251224,000000,0.3519,0.3519,0.347,0.35,4600,0
DNMXW.US,D,20251226,000000,0.35,0.37,0.35,0.37,7151,0
DNMXW.US,D,20251230,000000,0.32,0.358,0.32,0.358,2078,0
DNMXW.US,D,20260102,000000,0.35,0.3674,0.35,0.36,1800,0
DNMXW.US,D,20260105,000000,0.35,0.35,0.315,0.3202,207922,0
DNMXW.US,D,20260106,000000,0.35,0.35,0.315,0.3301,6927,0
DNMXW.US,D,20260107,000000,0.35,0.354,0.33,0.347,189401,0
DNMXW.US,D,20260108,000000,0.37,0.37,0.37,0.37,851,0
DNMXW.US,D,20260112,000000,0.35,0.35,0.33,0.34,12704,0
DNMXW.US,D,20260113,000000,0.33,0.34,0.3286,0.33,165685,0
DNMXW.US,D,20260114,000000,0.33,0.33,0.307,0.322,109991,0
DNMXW.US,D,20260115,000000,0.3156,0.33,0.3011,0.33,32829,0
DNMXW.US,D,20260116,000000,0.3298,0.3299,0.3298,0.3299,410,0
DNMXW.US,D,20260120,000000,0.3291,0.33,0.2901,0.3,164158,0
DNMXW.US,D,20260121,000000,0.3,0.3,0.29856,0.3,28103,0
DNMXW.US,D,20260122,000000,0.2999,0.3286,0.2989,0.3268,76197,0
DNMXW.US,D,20260123,000000,0.33,0.33,0.31,0.32,5389,0
