<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REMC.US,D,20251212,000000,20.42,20.42,20.3718,20.3718,142,0
REMC.US,D,20251215,000000,20.35,20.3576,20.35,20.3576,103,0
REMC.US,D,20251216,000000,20.18,20.2187,20.18,20.2187,102,0
REMC.US,D,20251218,000000,20.26,20.26,20.1684,20.1684,100,0
REMC.US,D,20251222,000000,20.34,20.4128,20.34,20.4128,100,0
REMC.US,D,20251224,000000,20.38,20.4156,20.38,20.4156,100,0
REMC.US,D,20251226,000000,20.395,20.4139,20.38,20.4139,248,0
REMC.US,D,20251231,000000,20.17,20.22,20.1152,20.1152,1101,0
REMC.US,D,20260102,000000,20.16,20.2433,20.16,20.2433,101,0
REMC.US,D,20260105,000000,20.51,20.51,20.4809,20.4809,100,0
REMC.US,D,20260106,000000,20.73,20.7308,20.73,20.7308,100,0
REMC.US,D,20260107,000000,20.65,20.65,20.5752,20.5752,103,0
REMC.US,D,20260108,000000,20.72,20.723,20.72,20.723,201,0
REMC.US,D,20260109,000000,20.76,20.76,20.7582,20.7582,180,0
REMC.US,D,20260112,000000,20.67,20.7106,20.67,20.7106,201,0
REMC.US,D,20260113,000000,20.69,20.69,20.685,20.685,100,0
REMC.US,D,20260114,000000,20.71,20.7244,20.71,20.7244,176,0
REMC.US,D,20260115,000000,20.83,20.8391,20.83,20.8391,200,0
REMC.US,D,20260120,000000,20.52,20.52,20.3907,20.3907,216,0
REMC.US,D,20260121,000000,20.56,20.6604,20.56,20.6604,106,0
REMC.US,D,20260122,000000,20.76,20.76,20.6961,20.6961,101,0
REMC.US,D,20260123,000000,20.55,20.582,20.55,20.582,101,0
