<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PVEX.US,D,20250701,000000,25,25,25,25,214,0
PVEX.US,D,20250702,000000,24.9891,24.9891,24.9891,24.9891,27,0
PVEX.US,D,20250703,000000,26.2,26.2,26.1242,26.1242,302,0
PVEX.US,D,20250709,000000,25.43,25.6587,25.43,25.6587,625,0
PVEX.US,D,20250714,000000,25.61,25.682,25.61,25.682,700,0
PVEX.US,D,20250718,000000,25.93,25.93,25.8104,25.8104,600,0
PVEX.US,D,20250721,000000,26.32,26.32,25.9496,25.9496,600,0
PVEX.US,D,20250722,000000,25.87,26.0032,25.8699,26.0032,1614,0
PVEX.US,D,20250724,000000,26.66,26.66,26.6184,26.6184,434,0
PVEX.US,D,20250725,000000,26.68,26.94,26.68,26.8418,1518,0
PVEX.US,D,20250728,000000,26.77,26.77,26.6975,26.6975,149,0
PVEX.US,D,20250729,000000,26.5,26.5,26.46,26.46,3416,0
PVEX.US,D,20250730,000000,26.61,26.61,26.3103,26.3103,115,0
PVEX.US,D,20250731,000000,26.98,27.03,26.0131,26.0131,7535,0
PVEX.US,D,20250804,000000,25.76,25.8147,25.76,25.8147,3463,0
PVEX.US,D,20250811,000000,25.92,25.93,25.7791,25.7791,7608,0
PVEX.US,D,20250812,000000,26.5599,26.5599,26.42,26.42,1019,0
PVEX.US,D,20250813,000000,26.67,26.67,26.62,26.6684,6315,0
PVEX.US,D,20250815,000000,26.64,26.64,26.5301,26.5301,910,0
PVEX.US,D,20250818,000000,26.4776,26.4922,26.4776,26.4922,483,0
PVEX.US,D,20250819,000000,26.1876,26.1933,26.1876,26.1933,366,0
PVEX.US,D,20250820,000000,25.9,26.17,25.9,26.1007,3098,0
PVEX.US,D,20250822,000000,26.61,26.61,26.5153,26.5153,302,0
PVEX.US,D,20250825,000000,26.42,26.42,26.3395,26.3395,101,0
PVEX.US,D,20250826,000000,26.39,26.5105,26.35,26.5105,1445,0
PVEX.US,D,20250827,000000,26.64,26.6468,26.64,26.6468,100,0
PVEX.US,D,20250828,000000,26.54,26.7683,26.54,26.7683,392,0
PVEX.US,D,20250829,000000,26.44,26.44,26.4114,26.4114,352,0
PVEX.US,D,20250903,000000,26.21,26.2829,26.21,26.2829,3038,0
PVEX.US,D,20250905,000000,26.71,26.71,26.471,26.4781,455,0
PVEX.US,D,20250908,000000,26.65,26.65,26.55,26.5848,647,0
PVEX.US,D,20250916,000000,27.53,27.5544,27.53,27.5544,1595,0
PVEX.US,D,20250917,000000,27.42,27.48,27.3732,27.3732,3136,0
PVEX.US,D,20250918,000000,27.77,27.77,27.7216,27.7216,2811,0
PVEX.US,D,20250919,000000,27.7712,28.0396,27.7712,28.0396,283,0
PVEX.US,D,20250922,000000,27.94,28.2218,27.94,28.2218,187,0
PVEX.US,D,20250923,000000,28.13,28.1599,27.9875,27.9875,474,0
PVEX.US,D,20250925,000000,27.68,27.68,27.6111,27.6111,1479,0
PVEX.US,D,20250926,000000,27.82,27.84,27.8087,27.8087,1233,0
PVEX.US,D,20250929,000000,27.92,27.9234,27.92,27.9234,508,0
PVEX.US,D,20251001,000000,28.19,28.31,28.19,28.2915,1075,0
PVEX.US,D,20251002,000000,28.3,28.36,28.3,28.3216,4304,0
PVEX.US,D,20251003,000000,28.58,28.58,28.3116,28.3116,439,0
PVEX.US,D,20251007,000000,28.297,28.3139,28.297,28.3139,202,0
