<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RIOX.US,D,20250107,000000,28.44,29.97,25.67,27.52,105542,0
RIOX.US,D,20250108,000000,25.07,25.95,23.6632,25.53,84835,0
RIOX.US,D,20250110,000000,24.58,25.8191,23.5,25.6417,73507,0
RIOX.US,D,20250113,000000,22.22,24.88,21.35,24.4001,140243,0
RIOX.US,D,20250114,000000,26.58,28.27,25.42,26.4109,134457,0
RIOX.US,D,20250115,000000,28.5,32.1516,28.5,31.62,160314,0
RIOX.US,D,20250116,000000,31.15,32.31,29.48,30.685,126645,0
RIOX.US,D,20250117,000000,33.61,36,31,31.2,294995,0
RIOX.US,D,20250121,000000,33.99,35.3241,27.25,28.25,222949,0
RIOX.US,D,20250122,000000,29.64,32.51,27.0732,30.061,179928,0
RIOX.US,D,20250123,000000,28.53,36,28.13,29.08,235634,0
RIOX.US,D,20250124,000000,30.3,34.59,29.57,31.64,247584,0
RIOX.US,D,20250127,000000,27,27.43,20.25,21.795,498705,0
RIOX.US,D,20250128,000000,22.54,22.76,19.2757,19.97,264110,0
RIOX.US,D,20250129,000000,19.47,22,19.24,21.06,149077,0
RIOX.US,D,20250130,000000,22,24.3399,21.75,23.5,220521,0
RIOX.US,D,20250131,000000,23.9,25.4854,22.6327,23.34,201910,0
RIOX.US,D,20250203,000000,19.3,24.6318,18.53,23.73,302764,0
RIOX.US,D,20250204,000000,23.3,25.2,23,24.68,164488,0
RIOX.US,D,20250205,000000,25.29,25.86,22.5693,22.74,153099,0
RIOX.US,D,20250206,000000,22.87,23.78,21.06,22.2,217473,0
RIOX.US,D,20250207,000000,23.7,25.05,21.64,22.17,277188,0
RIOX.US,D,20250210,000000,22.69,23.08,21.3845,22.29,120637,0
RIOX.US,D,20250211,000000,21.98,22.04,19.9402,20.34,177206,0
RIOX.US,D,20250212,000000,19.6501,20.95,19.3743,20.34,114058,0
RIOX.US,D,20250213,000000,20.4,24.38,19.3,24.19,411992,0
RIOX.US,D,20250214,000000,24.05,25.2,23.63,24.27,343383,0
RIOX.US,D,20250218,000000,23.87,24.06,20.84,21.56,409983,0
RIOX.US,D,20250219,000000,21.9,23.1,21.4,21.5,279889,0
RIOX.US,D,20250220,000000,22.2,23.1092,21.0045,21.66,245610,0
RIOX.US,D,20250221,000000,22.71,22.75,17.3401,17.4,407555,0
RIOX.US,D,20250224,000000,17.88,17.9139,15.29,15.82,421326,0
RIOX.US,D,20250225,000000,14,15.65,11.77,13.7,731866,0
RIOX.US,D,20250226,000000,13.45,14.5,11.89,12.57,319804,0
RIOX.US,D,20250227,000000,14,14.72,11.6001,11.72,518214,0
RIOX.US,D,20250228,000000,11.5,13.48,11.44,13.41,343021,0
RIOX.US,D,20250303,000000,15.47,15.96,11.83,12.66,502094,0
RIOX.US,D,20250304,000000,11.56,12.04,9.7297,10.97,658580,0
RIOX.US,D,20250305,000000,11.375,12.23,11,12.2,297956,0
RIOX.US,D,20250306,000000,10.66,11.27,9.66,10.09,503064,0
RIOX.US,D,20250307,000000,9.7,11.092,9.56,10.69,261232,0
RIOX.US,D,20250310,000000,9.61,10.04,8.25,8.6,354301,0
RIOX.US,D,20250311,000000,8.74,9.25,7.9,8.95,265603,0
RIOX.US,D,20250312,000000,9.26,9.5835,8.48,9.2,287392,0
RIOX.US,D,20250313,000000,9.23,9.315,7.89,8,185938,0
RIOX.US,D,20250314,000000,8.47,9.25,8.3616,9.04,214296,0
RIOX.US,D,20250317,000000,8.875,9.48,8.54,8.97,299196,0
RIOX.US,D,20250318,000000,8.6,9.04,8.06,8.11,272879,0
RIOX.US,D,20250319,000000,8.2,9.3,8.2,8.93,206560,0
RIOX.US,D,20250320,000000,8.75,9.7093,8.66,8.91,381824,0
RIOX.US,D,20250321,000000,8.43,9.44,8.2807,9.31,237130,0
RIOX.US,D,20250324,000000,9.84,11.08203,9.77,11.05,369099,0
RIOX.US,D,20250325,000000,11.21,11.35,10.1172,10.56,319710,0
RIOX.US,D,20250326,000000,10.38,10.52,8.93,9.02,213668,0
RIOX.US,D,20250327,000000,8.655,9.6584,8.5,8.73,212251,0
