<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WDEF.US,D,20250717,000000,29.93,30.2,29.86,30.0607,19093,0
WDEF.US,D,20250718,000000,30.61,30.7,30.5,30.5,24581,0
WDEF.US,D,20250721,000000,30.52,30.59,30.0714,30.3655,20188,0
WDEF.US,D,20250722,000000,29.73,30.18,29.73,30.1401,17718,0
WDEF.US,D,20250723,000000,30.0185,30.51,29.85,30.44,9583,0
WDEF.US,D,20250724,000000,29.8219,29.8799,29.7,29.7574,7603,0
WDEF.US,D,20250725,000000,29.68,29.6889,29.581,29.6889,4340,0
WDEF.US,D,20250728,000000,28.9,29.19,28.5077,28.5077,23666,0
WDEF.US,D,20250729,000000,28.95,29.1,28.89,29.0837,5490,0
WDEF.US,D,20250730,000000,28.84,28.97,28.51,28.6,11664,0
WDEF.US,D,20250731,000000,29.08,29.16,28.71,28.8237,47583,0
WDEF.US,D,20250801,000000,28.34,28.7851,28.27,28.7851,3134,0
WDEF.US,D,20250804,000000,29.0803,29.2864,29.0803,29.2864,4071,0
WDEF.US,D,20250805,000000,29.41,29.64,29.35,29.4606,15899,0
WDEF.US,D,20250806,000000,29.39,29.84,29.28,29.7877,4597,0
WDEF.US,D,20250807,000000,28.83,29.13,28.7,28.8152,4763,0
WDEF.US,D,20250808,000000,28.92,29.05,28.3301,28.4101,10880,0
WDEF.US,D,20250811,000000,28.0329,28.24,27.91,27.9522,13263,0
WDEF.US,D,20250812,000000,28.24,28.58,28.24,28.5397,4586,0
WDEF.US,D,20250813,000000,29.07,29.1,28.64,28.7043,4816,0
WDEF.US,D,20250814,000000,29.2,29.34,29,29.1541,8269,0
WDEF.US,D,20250815,000000,28.685,28.905,28.685,28.875,2362,0
WDEF.US,D,20250818,000000,29.34,29.57,29.21,29.505,27152,0
WDEF.US,D,20250819,000000,28.11,28.22,27.87,27.9577,18689,0
WDEF.US,D,20250820,000000,28,28,27.85,27.8858,20247,0
WDEF.US,D,20250821,000000,28.1904,28.4799,28.1904,28.403,1869,0
WDEF.US,D,20250822,000000,28.68,28.9399,28.6,28.92,2267,0
WDEF.US,D,20250825,000000,28.9378,29.1,28.81,28.9443,36818,0
WDEF.US,D,20250826,000000,28.87,28.88,28.8,28.88,14995,0
WDEF.US,D,20250827,000000,28.8,28.83,28.5908,28.8202,14167,0
WDEF.US,D,20250828,000000,28.93,29.1099,28.88,28.987,6715,0
WDEF.US,D,20250829,000000,29.2858,29.5,29.11,29.2434,12870,0
WDEF.US,D,20250902,000000,29.3015,29.3969,29.07,29.3969,18857,0
WDEF.US,D,20250903,000000,29.37,29.6,29.37,29.4668,8171,0
WDEF.US,D,20250904,000000,29.15,29.325,29.0738,29.1992,30031,0
WDEF.US,D,20250905,000000,29.65,29.65,29.2316,29.3594,6385,0
WDEF.US,D,20250908,000000,29.58,29.9787,29.58,29.9492,5041,0
WDEF.US,D,20250909,000000,29.6389,31.1,29.5192,29.7341,6347,0
WDEF.US,D,20250910,000000,29.8552,30.4198,29.8552,30.3506,14097,0
WDEF.US,D,20250911,000000,30.785,31.4,30.59,31.2786,12065,0
WDEF.US,D,20250912,000000,31.4208,31.6499,31.38,31.6388,11861,0
WDEF.US,D,20250915,000000,32.175,32.42,32.0724,32.4,85234,0
WDEF.US,D,20250916,000000,32.49,32.53,32,32.176,45854,0
WDEF.US,D,20250917,000000,32.195,32.35,31.5,31.635,25483,0
WDEF.US,D,20250918,000000,31.5,31.71,31.2989,31.6363,120982,0
WDEF.US,D,20250919,000000,31.42,31.5694,31.17,31.4568,21204,0
WDEF.US,D,20250922,000000,31.88,32.28,31.58,32.199,31251,0
WDEF.US,D,20250923,000000,32.105,32.22,31.712,31.8563,23639,0
WDEF.US,D,20250924,000000,32.103,32.59,32.103,32.4904,23464,0
WDEF.US,D,20250925,000000,32.26,32.56,32.21,32.4426,24320,0
WDEF.US,D,20250926,000000,32.66,32.885,32.6,32.82,25439,0
WDEF.US,D,20250929,000000,33.2872,33.5,33.26,33.37,48576,0
WDEF.US,D,20250930,000000,33.4,33.72,33.02,33.69,31121,0
WDEF.US,D,20251001,000000,32.885,33.4478,32.84,33.3,37904,0
WDEF.US,D,20251002,000000,33.91,34.05,33.7001,34.01,22901,0
WDEF.US,D,20251003,000000,34.15,34.35,33.9003,34.0848,23343,0
WDEF.US,D,20251006,000000,33.55,33.7,33.35,33.4592,25586,0
WDEF.US,D,20251007,000000,33,33.04,32.69,32.88,26100,0
WDEF.US,D,20251008,000000,33.5499,33.5499,33.2,33.346,45475,0
WDEF.US,D,20251009,000000,32.819,33.1,32.6701,32.7502,32779,0
WDEF.US,D,20251010,000000,32.0861,32.16,31.69,31.9421,43311,0
WDEF.US,D,20251013,000000,31.58,31.92,31.5755,31.8506,13814,0
WDEF.US,D,20251014,000000,31,31.825,31,31.652,9083,0
WDEF.US,D,20251015,000000,31.149,31.22,30.54,30.704,32583,0
WDEF.US,D,20251016,000000,30.88,31.36,30.79,30.8557,22030,0
WDEF.US,D,20251017,000000,30.0001,30.38,29.89,30.05,21939,0
WDEF.US,D,20251020,000000,30.79,31.07,30.68,30.9535,28831,0
WDEF.US,D,20251021,000000,31.24,31.3,30.95,31.09,21884,0
WDEF.US,D,20251022,000000,31.42,31.57,31.05,31.1889,22404,0
WDEF.US,D,20251023,000000,31.33,31.72,31.25,31.55,38386,0
WDEF.US,D,20251024,000000,31.49,31.62,31.2,31.355,10609,0
WDEF.US,D,20251027,000000,31.26,31.4,31.08,31.3999,6842,0
WDEF.US,D,20251028,000000,31.395,31.59,31.09,31.415,18737,0
WDEF.US,D,20251029,000000,31.01,31.35,30.7,30.89,12635,0
WDEF.US,D,20251030,000000,30.41,30.59,30.25,30.3569,25504,0
WDEF.US,D,20251031,000000,30.72,30.76,30.35,30.5546,9263,0
WDEF.US,D,20251103,000000,30.76,31.06,30.725,30.9611,10655,0
WDEF.US,D,20251104,000000,30.252,30.49,30.25,30.3707,13537,0
WDEF.US,D,20251105,000000,30.15,30.26,29.98,30.1125,5836,0
WDEF.US,D,20251106,000000,29.57,29.79,29.32,29.6234,12076,0
WDEF.US,D,20251107,000000,29.5,30.31,29.5,30.2482,12519,0
WDEF.US,D,20251110,000000,30.49,30.6,30.1,30.51,11191,0
WDEF.US,D,20251111,000000,29.885,30.12,29.85,29.9716,16219,0
WDEF.US,D,20251112,000000,29.72,29.96,29.6177,29.84,3823,0
WDEF.US,D,20251113,000000,30.322,30.39,30.06,30.085,3515,0
WDEF.US,D,20251114,000000,29.5113,29.97,29.5113,29.82,7691,0
WDEF.US,D,20251117,000000,30.08,30.2,29.5001,29.8651,14544,0
WDEF.US,D,20251118,000000,29.36,29.7,29.36,29.485,9921,0
WDEF.US,D,20251119,000000,28.53,28.7232,28.16,28.485,31705,0
WDEF.US,D,20251120,000000,28.8965,29.13,28.2404,28.28,25341,0
WDEF.US,D,20251121,000000,27.6375,27.92,27.5,27.655,19630,0
WDEF.US,D,20251124,000000,26.9,27.03,26.64,26.6577,20016,0
WDEF.US,D,20251125,000000,27.07,27.32,26.88,27.275,10878,0
WDEF.US,D,20251126,000000,27.5,27.61,27.3,27.5,5524,0
