<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VGRO.US,D,20251223,000000,25.28,25.33,22.62,25.325,101555,0
VGRO.US,D,20251224,000000,25.39,25.39,25.34,25.3858,794,0
VGRO.US,D,20251229,000000,25.233,25.2663,25.209,25.2663,726,0
VGRO.US,D,20251230,000000,25.27,25.32,25.21,25.2452,8798,0
VGRO.US,D,20251231,000000,25.25,25.25,25.0569,25.0569,318,0
VGRO.US,D,20260102,000000,25.01,25.01,24.9226,24.9226,141,0
VGRO.US,D,20260105,000000,25.09,25.09,25.01,25.07,4280,0
VGRO.US,D,20260106,000000,25.016,25.15,25.016,25.1347,3596,0
VGRO.US,D,20260107,000000,25.33,25.33,25.2252,25.2522,7138,0
VGRO.US,D,20260108,000000,25.05,25.05,24.91,24.9617,1722,0
VGRO.US,D,20260109,000000,25.102,25.17,25.06,25.1263,6725,0
VGRO.US,D,20260112,000000,25.11,25.22,25.11,25.14,2198,0
VGRO.US,D,20260113,000000,25.06,25.07,24.86,24.98,1699,0
VGRO.US,D,20260114,000000,24.62,24.62,24.4899,24.5703,339,0
VGRO.US,D,20260115,000000,24.7,24.7,24.5551,24.5551,695,0
VGRO.US,D,20260116,000000,24.54,24.66,24.54,24.5872,1028,0
VGRO.US,D,20260120,000000,24.17,24.2,23.9065,23.9065,2344,0
VGRO.US,D,20260122,000000,24.29,24.29,24.2289,24.2289,246,0
VGRO.US,D,20260123,000000,24.42,24.42,24.3861,24.3861,187,0
