<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XXRP.US,D,20250409,000000,22.76,30.287,22.5,28.9276,502307,0
XXRP.US,D,20250410,000000,28.23,28.5,25.87,27.075,326449,0
XXRP.US,D,20250411,000000,27.87,29.545,27.4501,29.1401,440723,0
XXRP.US,D,20250414,000000,32,32.58,30.5,31.92,407735,0
XXRP.US,D,20250415,000000,32.43,32.77,30.459,30.85,286187,0
XXRP.US,D,20250416,000000,29.46,31,28.71,30.4,223008,0
XXRP.US,D,20250417,000000,30.3382,30.3495,28.8,29.1295,157597,0
XXRP.US,D,20250421,000000,30.54,31.09,28.915,29.66,244046,0
XXRP.US,D,20250422,000000,30.16,33,30.12,31.71,315042,0
XXRP.US,D,20250423,000000,35.37,35.57,32.43,33.36,415735,0
XXRP.US,D,20250424,000000,32.16,33.7,31.5,32.89,303798,0
XXRP.US,D,20250425,000000,32.31,33.3502,32,32.53,225312,0
XXRP.US,D,20250428,000000,35.6401,35.95,34.08,35.28,359790,0
XXRP.US,D,20250429,000000,34.73,35.8999,34.51,35.11,455994,0
XXRP.US,D,20250430,000000,31.7205,33.5399,30.26,32.54,455279,0
XXRP.US,D,20250501,000000,33.89,33.91,32.82,32.82,256618,0
XXRP.US,D,20250502,000000,32.68,33.28,32,32.44,323634,0
XXRP.US,D,20250505,000000,30.505,31.02,29.4,30.49,342783,0
XXRP.US,D,20250506,000000,28.79,30.3814,28.53,29.93,284214,0
XXRP.US,D,20250507,000000,29.7296,30.2414,29.07,29.1,242417,0
XXRP.US,D,20250508,000000,31.99,33.8,31.71,33.8,438931,0
XXRP.US,D,20250509,000000,36.83,37.44,35.01,36.08,427142,0
XXRP.US,D,20250512,000000,43.8,44.13,38.49,42,1095303,0
XXRP.US,D,20250513,000000,42.34,44,40.93,43,769385,0
XXRP.US,D,20250514,000000,43.54,43.9,41.01,42.58,402575,0
XXRP.US,D,20250515,000000,39.26,40.14,37.2301,38.27,782017,0
XXRP.US,D,20250516,000000,37.8401,38,36.57,37.14,610297,0
XXRP.US,D,20250519,000000,33.91,36.68,33.865,36.61,536077,0
XXRP.US,D,20250520,000000,34.96,35.28,33.9,35.15,410985,0
XXRP.US,D,20250521,000000,34.852,37.11,34.34,36.24,539731,0
XXRP.US,D,20250522,000000,37,37.2491,36.4385,36.8,419057,0
XXRP.US,D,20250523,000000,34.3225,35.6912,34.05,34.05,447206,0
XXRP.US,D,20250527,000000,33.91,33.9602,32.845,33.57,373342,0
XXRP.US,D,20250528,000000,32.7,32.7906,30.14,30.24,504821,0
XXRP.US,D,20250529,000000,32.2084,32.2084,30.8201,31.14,192165,0
XXRP.US,D,20250530,000000,29.03,29.4,27.41,28.75,591281,0
XXRP.US,D,20250602,000000,27.68,28.45,27.4,28.05,312682,0
XXRP.US,D,20250603,000000,29.49,31,29.14,30.98,357798,0
XXRP.US,D,20250604,000000,29.85,30.4486,28.9,29.05,270418,0
XXRP.US,D,20250605,000000,29.21,29.36,26.43,26.9,450546,0
XXRP.US,D,20250606,000000,27.66,28.313,27.6,27.99,332999,0
XXRP.US,D,20250609,000000,30.2448,31.46,29.54,31,431893,0
XXRP.US,D,20250610,000000,31.32,31.42,30.19,31.09,320436,0
XXRP.US,D,20250611,000000,31.66,32.12,30.6,30.86,383264,0
XXRP.US,D,20250612,000000,29.2011,29.77,28.29,28.38,370308,0
XXRP.US,D,20250613,000000,26.72,27.3685,26,26.32,622287,0
XXRP.US,D,20250616,000000,29.3,31.49,29.235,31.49,607367,0
XXRP.US,D,20250617,000000,28.1,28.38,26.2588,27.27,1055839,0
XXRP.US,D,20250618,000000,25.658,26.47,25.51,26.07,663988,0
XXRP.US,D,20250620,000000,26.5162,26.6076,24.6,25.5,686361,0
XXRP.US,D,20250623,000000,22.17,23.75,21.32,23.75,1480610,0
XXRP.US,D,20250624,000000,26.1035,26.95,25.9004,26.64,656568,0
XXRP.US,D,20250625,000000,26.908,27.39,25.98,26.66,521560,0
XXRP.US,D,20250626,000000,25.5,25.6679,24.21,24.89,581867,0
XXRP.US,D,20250627,000000,23.97,24.75,23.5898,24.11,521761,0
XXRP.US,D,20250630,000000,26.085,29.2899,25.6437,29.14,794160,0
XXRP.US,D,20250701,000000,25.7655,26.4,25.01,25.04,827066,0
XXRP.US,D,20250702,000000,25.3338,28.04,25.301,27.27,851557,0
XXRP.US,D,20250703,000000,27.65,28.417,26.75,27.26,540347,0
XXRP.US,D,20250707,000000,27.9,29.3406,27.6505,28,811644,0
XXRP.US,D,20250708,000000,28.01,28.66,27.631,28.57,466174,0
XXRP.US,D,20250709,000000,30.2501,31.19,29.3927,31,994940,0
XXRP.US,D,20250710,000000,31.6,33.36,30.9972,33,971321,0
XXRP.US,D,20250711,000000,38.12,45.5065,37.5018,42.05,3098883,0
XXRP.US,D,20250714,000000,45.6275,47.74,43.7,44.5,2555675,0
XXRP.US,D,20250715,000000,43.85,44.74,41.45,42.06,1372738,0
XXRP.US,D,20250716,000000,45.77,48.49,44.75,48.2,1853476,0
XXRP.US,D,20250717,000000,52.8999,58.58,51.51,56,3540350,0
XXRP.US,D,20250718,000000,62.38,64.3,57,60.14,3431804,0
XXRP.US,D,20250721,000000,63.52,68.88,63.2,63.95,3689494,0
XXRP.US,D,20250722,000000,63,65.35,59.86,63.35,1860707,0
XXRP.US,D,20250723,000000,57.472,57.85,49.19,50.74,3895276,0
XXRP.US,D,20250724,000000,48.37,51.74,46.57,49.56,2330305,0
XXRP.US,D,20250725,000000,46.0904,46.88,42.4012,45,2345589,0
XXRP.US,D,20250728,000000,47.94,48.52,45.5018,46.98,1666503,0
XXRP.US,D,20250729,000000,47.14,47.27,43.53,45.87,1330690,0
XXRP.US,D,20250730,000000,44.0952,46.9,42,44.79,1502528,0
XXRP.US,D,20250731,000000,45.1,45.98,43.4,43.5,1192522,0
XXRP.US,D,20250801,000000,41.8,43.48,39.61,42.1,1614948,0
XXRP.US,D,20250804,000000,41.81,44.35,41.7,43.08,1429413,0
XXRP.US,D,20250805,000000,42.784,42.99,40,40.34,1028635,0
XXRP.US,D,20250806,000000,40.13,42,39.59,41.83,956697,0
XXRP.US,D,20250807,000000,43.52,44.415,41.69,44.28,1529414,0
XXRP.US,D,20250808,000000,50.78,52.07,47.21,51,2241145,0
XXRP.US,D,20250811,000000,46.5588,47.9608,45.04,45.29,1795422,0
XXRP.US,D,20250812,000000,46.3339,49.38,45.38,49.38,1486459,0
XXRP.US,D,20250813,000000,50.2,50.64,47.175,48.74,1774651,0
XXRP.US,D,20250814,000000,43.5,44.74,41.61,42.41,2382936,0
