<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RW.US,D,20250620,000000,24.86,27.33,24.8199,24.89,82548,0
RW.US,D,20250623,000000,25.09,25.3,24.95,25.2699,64943,0
RW.US,D,20250624,000000,25.95,25.95,25.3092,25.59,35974,0
RW.US,D,20250625,000000,25.81,26.7,25.38,25.4698,42946,0
RW.US,D,20250626,000000,25.51,25.74,25.41,25.5812,25349,0
RW.US,D,20250627,000000,25.9,25.9,25.5722,25.6887,20690,0
RW.US,D,20250630,000000,26,26.97,25.72,25.96,38627,0
RW.US,D,20250701,000000,26,26,25.57,25.7481,24190,0
RW.US,D,20250702,000000,25.69,25.69,25.5317,25.6295,16426,0
RW.US,D,20250703,000000,25.6666,26.15,25.6666,25.8388,18354,0
RW.US,D,20250707,000000,26,26,25.8187,25.8542,19552,0
RW.US,D,20250708,000000,26,26,25.65,25.6683,10732,0
RW.US,D,20250709,000000,25.7,26,25.7,25.8978,16094,0
RW.US,D,20250710,000000,25.92,26,25.75,25.9322,26606,0
RW.US,D,20250711,000000,25.7701,26.05,25.7701,25.8625,16813,0
RW.US,D,20250714,000000,25.9,25.98,25.71,25.9661,37759,0
RW.US,D,20250715,000000,26.5,26.5,25.72,25.72,21764,0
RW.US,D,20250716,000000,25.79,25.895,25.7,25.895,5152,0
RW.US,D,20250717,000000,26.151,26.36,26.151,26.335,23681,0
RW.US,D,20250718,000000,26.49,26.74,26.35,26.3699,24354,0
RW.US,D,20250721,000000,26.5,26.63,26.3855,26.3855,20211,0
RW.US,D,20250722,000000,26.39,26.39,26.04,26.06,26800,0
RW.US,D,20250723,000000,26.78,26.78,26.08,26.29,10893,0
RW.US,D,20250724,000000,26.31,26.37,26.1595,26.28,8254,0
RW.US,D,20250725,000000,26.67,26.67,26.27,26.44,18450,0
RW.US,D,20250728,000000,26.44,26.44,26.19,26.212,8681,0
RW.US,D,20250729,000000,26.37,26.69,26.155,26.2,32882,0
RW.US,D,20250730,000000,26.15,26.22,26,26.01,6458,0
RW.US,D,20250731,000000,26.23,26.44,26.1,26.21,2523,0
RW.US,D,20250801,000000,26.02,26.25,25.7101,25.91,9790,0
RW.US,D,20250804,000000,25.99,26.1805,25.99,26.1805,3270,0
RW.US,D,20250805,000000,26.2,26.4,25.7,25.7,3921,0
RW.US,D,20250806,000000,25.93,26,25.745,25.88,15825,0
RW.US,D,20250807,000000,25.72,25.8799,25.6,25.66,5816,0
RW.US,D,20250808,000000,25.67,25.7,25.5535,25.6226,3465,0
RW.US,D,20250811,000000,25.62,25.8,25.55,25.7,2987,0
RW.US,D,20250812,000000,25.7753,25.8614,25.7315,25.85,3432,0
RW.US,D,20250813,000000,25.56,25.56,25.36,25.4328,6615,0
RW.US,D,20250814,000000,25.5,25.5,25.32,25.32,8283,0
RW.US,D,20250815,000000,25.41,25.41,25.19,25.19,1082,0
RW.US,D,20250818,000000,25.1,25.21,25.1,25.21,2580,0
RW.US,D,20250819,000000,25.04,25.25,25.01,25.09,5480,0
RW.US,D,20250820,000000,25.2,25.2,25,25.15,7254,0
RW.US,D,20250821,000000,25.085,25.19,25.085,25.19,22136,0
RW.US,D,20250822,000000,25.12,25.4837,25.12,25.42,5301,0
RW.US,D,20250825,000000,25.41,25.41,25.2223,25.2223,758,0
RW.US,D,20250826,000000,25.32,25.354,25.32,25.354,1282,0
RW.US,D,20250827,000000,25.42,25.42,25.3207,25.3242,1376,0
RW.US,D,20250829,000000,25.32,25.3201,25.16,25.311,6769,0
RW.US,D,20250902,000000,25.05,25.18,24.79,25.17,10056,0
RW.US,D,20250903,000000,25.14,25.1702,25.0301,25.1702,3352,0
RW.US,D,20250904,000000,25.08,25.63,25.08,25.2709,2711,0
RW.US,D,20250905,000000,25.47,25.5253,24.77,25.391,2175,0
RW.US,D,20250908,000000,25.4301,25.55,25.42,25.55,8079,0
RW.US,D,20250909,000000,25.34,25.57,25.31,25.551,4428,0
RW.US,D,20250910,000000,25.06,25.68,25.06,25.529,181698,0
RW.US,D,20250911,000000,25.52,25.71,25.21,25.54,13533,0
RW.US,D,20250912,000000,25.7,25.7,25.464,25.4881,1191,0
RW.US,D,20250915,000000,25.5,25.6078,25.5,25.52,2422,0
RW.US,D,20250916,000000,25.5,25.535,25.48,25.51,2315,0
RW.US,D,20250917,000000,25.6,25.6,25.4039,25.4039,2144,0
RW.US,D,20250918,000000,25.3801,25.65,25.3,25.65,4089,0
RW.US,D,20250919,000000,25.54,25.67,25.2,25.6644,4102,0
RW.US,D,20250922,000000,25.67,25.67,25.5,25.52,4144,0
RW.US,D,20250923,000000,26,26,25.395,25.48,41904,0
RW.US,D,20250924,000000,25.5,25.65,25.25,25.38,13541,0
RW.US,D,20250925,000000,25.26,25.26,24.88,25.17,12318,0
RW.US,D,20250926,000000,25.32,25.41,25.0086,25.19,4717,0
RW.US,D,20250929,000000,25.17,25.17,25.0335,25.16,6256,0
RW.US,D,20250930,000000,25.12,25.3304,25.12,25.3304,5591,0
RW.US,D,20251001,000000,25.38,25.43,25.23,25.23,3747,0
RW.US,D,20251002,000000,25.4,25.4,25.23,25.39,4198,0
RW.US,D,20251003,000000,25.3919,25.42,25.26,25.4,1130,0
RW.US,D,20251006,000000,25.3348,25.36,25.2196,25.2511,2339,0
RW.US,D,20251007,000000,25.18,25.2685,25.11,25.1965,1354,0
RW.US,D,20251008,000000,25.201,25.42,25.18,25.4165,3116,0
RW.US,D,20251009,000000,25.022,25.3354,25.022,25.2847,1951,0
