<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FVNNU.US,5,20251028,154500,10.55,10.55,10.55,10.55,156,0
FVNNU.US,5,20251110,154000,10.54,10.54,10.54,10.54,100,0
FVNNU.US,5,20251125,162000,10.8,10.8,10.65,10.8,1412,0
FVNNU.US,5,20251230,154000,10.66,10.66,10.66,10.66,400,0
FVNNU.US,5,20251231,214000,10.6,10.6,10.59,10.59,872,0
FVNNU.US,5,20260102,203000,10.65,10.65,10.65,10.65,900,0
FVNNU.US,5,20260105,181000,10.7,11.1,10.7,10.9,2686,0
FVNNU.US,5,20260106,174500,11.8,11.8,11.5,11.5,400,0
FVNNU.US,5,20260106,194000,11.94,11.94,11.94,11.94,200,0
FVNNU.US,5,20260106,211000,11.1,11.1,11.1,11.1,100,0
FVNNU.US,5,20260107,173000,11.94,11.94,11.94,11.94,800,0
FVNNU.US,5,20260107,173500,11.07,11.07,11.07,11.07,100,0
FVNNU.US,5,20260108,162000,10.95,10.95,10.8,10.81,700,0
FVNNU.US,5,20260108,165500,11.3,11.3,11.3,11.3,100,0
FVNNU.US,5,20260114,212000,11.89,11.89,11.89,11.89,300,0
FVNNU.US,5,20260121,170500,12,12,12,12,300,0
FVNNU.US,5,20260121,171000,12.98,12.98,12.98,12.98,100,0
FVNNU.US,5,20260121,203500,14.2602,14.2602,14.2602,14.2602,200,0
FVNNU.US,5,20260122,214000,14.31,14.95,14.31,14.34,300,0
