<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BEG.US,5,20251217,153000,14.58,14.87,14.58,14.87,1200,0
BEG.US,5,20251217,153500,14.61,14.63,14.61,14.62,9200,0
BEG.US,5,20251217,154000,14.94,14.94,14.94,14.94,100,0
BEG.US,5,20251217,160500,13.295,13.295,13.295,13.295,750,0
BEG.US,5,20251217,161000,13,13,13,13,764,0
BEG.US,5,20251217,163000,13,13,13,13,100,0
BEG.US,5,20251217,164000,12.7,12.705,12.7,12.705,300,0
BEG.US,5,20251217,170500,12.705,12.705,12.705,12.705,100,0
BEG.US,5,20251217,173500,12.7099,12.7099,12.7001,12.7001,1000,0
BEG.US,5,20251217,180500,12.7,12.7,11.77,11.77,1600,0
BEG.US,5,20251217,185500,11.5001,11.52,11.5001,11.52,200,0
BEG.US,5,20251217,190000,11.52,11.52,11.52,11.52,200,0
BEG.US,5,20251217,191500,11.5,11.5,11.5,11.5,140,0
BEG.US,5,20251217,201000,11.16,11.19,11.16,11.19,200,0
BEG.US,5,20251217,211500,10.93,10.93,10.93,10.93,200,0
BEG.US,5,20251218,153000,12.72,12.87,12.72,12.87,1472,0
BEG.US,5,20251218,155500,12.47,12.47,12.47,12.47,100,0
BEG.US,5,20251218,160500,11.84,11.84,11.84,11.84,100,0
BEG.US,5,20251218,161000,11.79,11.79,11.79,11.79,100,0
BEG.US,5,20251218,162000,12.26,12.26,12.26,12.26,100,0
BEG.US,5,20251218,164000,12.25,12.25,12.25,12.25,100,0
BEG.US,5,20251218,164500,12.16,12.16,12.16,12.16,100,0
BEG.US,5,20251218,165000,12.11,12.11,12.11,12.11,736,0
BEG.US,5,20251218,165500,12.05,12.05,12.05,12.05,100,0
BEG.US,5,20251218,201500,11.98,11.98,11.98,11.98,100,0
BEG.US,5,20251218,204500,11.81,11.88,11.81,11.88,1363,0
BEG.US,5,20251218,211000,11.84,11.84,11.81,11.81,1700,0
BEG.US,5,20251219,153000,12.6786,13.12,12.6786,13.12,1728,0
BEG.US,5,20251219,153500,13.21,13.22,13.21,13.22,270,0
BEG.US,5,20251219,154500,13.781,13.781,13.7801,13.7801,970,0
BEG.US,5,20251219,155000,14.05,14.13,14.05,14.13,400,0
BEG.US,5,20251219,155500,14.11,14.315,14.11,14.3,1383,0
BEG.US,5,20251219,160000,14.4,14.4,14.383,14.383,200,0
BEG.US,5,20251219,160500,14.5,14.58,14.5,14.58,200,0
BEG.US,5,20251219,161000,14.65,14.65,14.41,14.41,352,0
BEG.US,5,20251219,162500,14.3492,14.3492,14.3492,14.3492,1000,0
BEG.US,5,20251219,163500,14.12,14.12,14.12,14.12,100,0
BEG.US,5,20251219,173500,14.39,14.39,14.39,14.39,100,0
BEG.US,5,20251219,174500,14.47,14.47,14.47,14.47,100,0
BEG.US,5,20251219,175500,14.4999,14.519,14.4999,14.519,10000,0
BEG.US,5,20251219,181000,14.44,14.53,14.44,14.53,200,0
BEG.US,5,20251219,182000,14.32,14.329,14.29,14.3042,8490,0
BEG.US,5,20251219,182500,14.35,14.35,14.35,14.35,100,0
BEG.US,5,20251219,183000,14.3,14.3,14.3,14.3,100,0
BEG.US,5,20251219,183500,14.25,14.42,14.25,14.42,4100,0
BEG.US,5,20251219,184000,14.38,14.38,14.38,14.38,100,0
BEG.US,5,20251219,190500,14.09,14.09,14.09,14.09,200,0
BEG.US,5,20251219,194500,13.48,13.48,13.48,13.48,100,0
BEG.US,5,20251219,203000,13.77,13.77,13.77,13.77,400,0
BEG.US,5,20251219,203500,13.81,13.81,13.73,13.73,900,0
BEG.US,5,20251219,204500,13.8,13.8,13.8,13.8,100,0
BEG.US,5,20251219,212000,14.09,14.09,14.09,14.09,100,0
BEG.US,5,20251219,214500,14.18,14.18,14.18,14.18,200,0
BEG.US,5,20251219,215500,14.29,14.29,14.29,14.29,270,0
BEG.US,5,20251222,153000,15.98,15.98,15.37,15.379,2343,0
BEG.US,5,20251222,153500,15.5885,15.5885,15.42,15.45,2304,0
BEG.US,5,20251222,160000,15,15.0767,14.93,15.0767,4999,0
