<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVOX.US,5,20251204,153000,9.9,9.901,9.9,9.9,1400,0
EVOX.US,5,20251204,153500,9.9,9.91,9.9,9.91,51454,0
EVOX.US,5,20251204,161500,9.9,9.9,9.9,9.9,1000,0
EVOX.US,5,20251204,175000,9.91,9.91,9.91,9.91,1195,0
EVOX.US,5,20251204,184000,9.91,9.91,9.91,9.91,116659,0
EVOX.US,5,20251204,210000,9.91,9.91,9.9,9.9,4586,0
EVOX.US,5,20251204,211500,9.9,9.9,9.9,9.9,4520,0
EVOX.US,5,20251205,193500,9.8999,9.8999,9.8999,9.8999,150,0
EVOX.US,5,20251208,160500,9.9,9.91,9.9,9.9,14086,0
EVOX.US,5,20251208,172000,9.895,9.9,9.895,9.9,1000,0
EVOX.US,5,20251208,190500,9.895,9.895,9.89,9.89,7200,0
EVOX.US,5,20251208,191000,9.89,9.89,9.89,9.89,358,0
EVOX.US,5,20251208,191500,9.89,9.89,9.89,9.89,1500,0
EVOX.US,5,20251208,202000,9.89,9.89,9.89,9.89,1300,0
EVOX.US,5,20251208,202500,9.89,9.89,9.89,9.89,100,0
EVOX.US,5,20251208,203000,9.9,9.9,9.89,9.89,174300,0
EVOX.US,5,20251208,203500,9.89,9.89,9.89,9.89,4800,0
EVOX.US,5,20251208,204000,9.89,9.89,9.89,9.89,91000,0
EVOX.US,5,20251208,204500,9.89,9.89,9.89,9.89,800600,0
EVOX.US,5,20251210,153000,9.89,9.89,9.89,9.89,8030,0
EVOX.US,5,20251210,154500,9.89,9.89,9.89,9.89,100,0
EVOX.US,5,20251210,155500,9.89,9.89,9.89,9.89,200,0
EVOX.US,5,20251210,171000,9.89,9.89,9.89,9.89,200,0
EVOX.US,5,20251210,171500,9.89,9.89,9.89,9.89,400,0
EVOX.US,5,20251210,172000,9.89,9.89,9.89,9.89,2800,0
EVOX.US,5,20251210,174000,9.9,9.9,9.9,9.9,50000,0
EVOX.US,5,20251210,212500,9.89,9.89,9.89,9.89,1769,0
EVOX.US,5,20251210,213000,9.89,9.89,9.89,9.89,100,0
EVOX.US,5,20251210,214000,9.89,9.89,9.89,9.89,100,0
EVOX.US,5,20251211,155500,9.9,9.9,9.9,9.9,100,0
EVOX.US,5,20251211,184000,9.89,9.89,9.89,9.89,719,0
EVOX.US,5,20251211,190000,9.89,9.89,9.89,9.89,660,0
EVOX.US,5,20251211,202500,9.89,9.89,9.89,9.89,38375,0
EVOX.US,5,20251211,215500,9.89,9.89,9.89,9.89,162,0
EVOX.US,5,20251212,205000,9.89,9.89,9.89,9.89,130,0
EVOX.US,5,20251212,211500,9.89,9.89,9.89,9.89,1250,0
EVOX.US,5,20251212,213000,9.89,9.89,9.89,9.89,100,0
EVOX.US,5,20251212,214500,9.89,9.89,9.89,9.89,100,0
EVOX.US,5,20251212,215000,9.895,9.9,9.895,9.9,20399,0
