<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALISR.US,5,20251119,153000,0.15,0.15,0.15,0.15,200,0
ALISR.US,5,20251119,163000,0.16,0.16,0.16,0.16,1100,0
ALISR.US,5,20251119,164000,0.16,0.16,0.16,0.16,1000,0
ALISR.US,5,20251119,164500,0.15,0.15,0.15,0.15,1000,0
ALISR.US,5,20251119,172500,0.16,0.16,0.16,0.16,100000,0
ALISR.US,5,20251119,174000,0.155,0.155,0.15,0.1544,4400,0
ALISR.US,5,20251119,204000,0.1501,0.1501,0.14,0.14,6400,0
ALISR.US,5,20251119,215000,0.145,0.146,0.145,0.146,210000,0
ALISR.US,5,20251120,153500,0.1563,0.1563,0.1563,0.1563,500,0
ALISR.US,5,20251120,154000,0.1599,0.1599,0.155,0.155,1300,0
ALISR.US,5,20251120,154500,0.155,0.155,0.1503,0.1503,2200,0
ALISR.US,5,20251120,155000,0.15,0.15,0.1499,0.15,12000,0
ALISR.US,5,20251120,155500,0.15,0.15,0.15,0.15,14000,0
ALISR.US,5,20251120,160000,0.15,0.15,0.15,0.15,24000,0
ALISR.US,5,20251120,162000,0.15,0.15,0.1461,0.1494,5000,0
ALISR.US,5,20251120,164000,0.1461,0.1461,0.1461,0.1461,600,0
ALISR.US,5,20251120,164500,0.1461,0.15,0.1461,0.1461,400833,0
ALISR.US,5,20251120,165000,0.146,0.146,0.14,0.14,1200,0
ALISR.US,5,20251120,165500,0.15,0.1506,0.15,0.15,241073,0
ALISR.US,5,20251120,170500,0.1506,0.1506,0.14,0.1506,9727,0
ALISR.US,5,20251120,171000,0.1342,0.1342,0.1341,0.1342,400,0
ALISR.US,5,20251120,171500,0.1334,0.1335,0.1301,0.1301,300,0
ALISR.US,5,20251120,172000,0.1219,0.122,0.11,0.122,700,0
ALISR.US,5,20251121,193000,0.1581,0.16,0.158,0.16,5000,0
ALISR.US,5,20251121,203500,0.1585,0.1585,0.1585,0.1585,124,0
ALISR.US,5,20251121,212500,0.15,0.15,0.14,0.14,53112,0
ALISR.US,5,20251121,214000,0.14,0.14,0.14,0.14,100,0
ALISR.US,5,20251121,215500,0.1301,0.1301,0.13,0.13,55537,0
ALISR.US,5,20251124,171000,0.1718,0.1718,0.1718,0.1718,100,0
ALISR.US,5,20251124,190000,0.1785,0.18,0.1784,0.18,700,0
ALISR.US,5,20251125,153000,0.225,0.225,0.2205,0.225,6000,0
ALISR.US,5,20251125,153500,0.225,0.225,0.225,0.225,1174,0
ALISR.US,5,20251125,155500,0.235,0.235,0.225,0.225,118421,0
ALISR.US,5,20251125,160000,0.225,0.225,0.225,0.225,1000,0
ALISR.US,5,20251125,160500,0.225,0.225,0.225,0.225,2400,0
ALISR.US,5,20251125,161000,0.225,0.225,0.225,0.225,3109,0
ALISR.US,5,20251125,163500,0.24,0.24,0.24,0.24,411,0
ALISR.US,5,20251125,170000,0.24,0.24,0.24,0.24,322,0
ALISR.US,5,20251125,174000,0.2399,0.2399,0.2399,0.2399,100,0
ALISR.US,5,20251125,174500,0.2398,0.2399,0.2398,0.2399,1000,0
ALISR.US,5,20251125,183500,0.2399,0.2399,0.2399,0.2399,100,0
ALISR.US,5,20251125,185500,0.2399,0.2399,0.2398,0.2398,3458,0
ALISR.US,5,20251125,190500,0.2399,0.2399,0.2399,0.2399,372,0
ALISR.US,5,20251125,192000,0.2484,0.2484,0.2484,0.2484,230,0
ALISR.US,5,20251125,211000,0.2398,0.2398,0.2398,0.2398,7000,0
ALISR.US,5,20251125,213500,0.24,0.24,0.24,0.24,500,0
ALISR.US,5,20251125,215000,0.2468,0.2468,0.2468,0.2468,500,0
ALISR.US,5,20251126,153000,0.24,0.249899,0.24,0.249899,3733,0
ALISR.US,5,20251126,153500,0.2499,0.25,0.2499,0.2499,4800,0
ALISR.US,5,20251126,154000,0.2499,0.2499,0.2499,0.2499,15515,0
ALISR.US,5,20251126,155000,0.247391,0.247391,0.247391,0.247391,100,0
ALISR.US,5,20251126,160000,0.24,0.2422,0.24,0.24,500,0
ALISR.US,5,20251126,191000,0.2425,0.2425,0.24,0.242,3783,0
ALISR.US,5,20251126,192000,0.240101,0.243401,0.2393,0.243401,2276,0
ALISR.US,5,20251128,153000,0.26,0.26,0.26,0.26,225,0
ALISR.US,5,20251128,164000,0.2653,0.2653,0.2653,0.2653,155,0
ALISR.US,5,20251128,172000,0.2654,0.2654,0.2575,0.265,3971,0
ALISR.US,5,20251128,172500,0.2575,0.265,0.25,0.25,36500,0
ALISR.US,5,20251201,153000,0.251,0.2675,0.2507,0.2675,14253,0
