<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCRS.US,5,20251230,153500,10.06,10.06,10.05,10.05,2988,0
FCRS.US,5,20251230,154500,10.06,10.06,10.0463,10.0463,500,0
FCRS.US,5,20251230,160500,10.0533,10.0533,10.05,10.05,400,0
FCRS.US,5,20251230,161000,10.055,10.055,10.05,10.05,2000,0
FCRS.US,5,20251230,161500,10.05,10.0501,10.05,10.05,4200,0
FCRS.US,5,20251230,163000,10.05,10.05,10.05,10.05,600,0
FCRS.US,5,20251230,164000,10.06,10.06,10.05,10.05,10900,0
FCRS.US,5,20251230,171000,10.05,10.05,10.05,10.05,100,0
FCRS.US,5,20251230,172000,10.05,10.05,10.05,10.05,100,0
FCRS.US,5,20251230,174500,10.06,10.06,10.058,10.06,4000,0
FCRS.US,5,20251230,175000,10.05,10.05,10.05,10.05,100,0
FCRS.US,5,20251230,180500,10.055,10.055,10.055,10.055,200,0
FCRS.US,5,20251230,181000,10.055,10.055,10.055,10.055,100,0
FCRS.US,5,20251230,181500,10.055,10.06,10.055,10.055,30736,0
FCRS.US,5,20251230,182000,10.06,10.065,10.06,10.065,1000,0
FCRS.US,5,20251230,182500,10.06,10.065,10.06,10.065,400,0
FCRS.US,5,20251230,183000,10.06,10.065,10.06,10.065,400,0
FCRS.US,5,20251230,183500,10.065,10.065,10.065,10.065,200,0
FCRS.US,5,20251230,184000,10.06,10.065,10.06,10.065,400,0
FCRS.US,5,20251230,184500,10.06,10.06,10.06,10.06,400,0
FCRS.US,5,20251230,185000,10.06,10.06,10.06,10.06,300,0
FCRS.US,5,20251230,185500,10.06,10.06,10.06,10.06,400,0
FCRS.US,5,20251230,190000,10.06,10.06,10.06,10.06,400,0
FCRS.US,5,20251230,190500,10.06,10.06,10.06,10.06,400,0
FCRS.US,5,20251230,191000,10.06,10.06,10.06,10.06,300,0
FCRS.US,5,20251230,191500,10.06,10.06,10.06,10.06,400,0
FCRS.US,5,20251230,192000,10.06,10.06,10.06,10.06,200,0
FCRS.US,5,20251230,192500,10.06,10.06,10.06,10.06,700,0
FCRS.US,5,20251230,193000,10.065,10.065,10.06,10.06,5100,0
FCRS.US,5,20251230,193500,10.06,10.06,10.06,10.06,4200,0
FCRS.US,5,20251230,194000,10.06,10.06,10.06,10.06,200,0
FCRS.US,5,20251230,194500,10.06,10.06,10.06,10.06,35080,0
FCRS.US,5,20251230,195000,10.06,10.06,10.06,10.06,500,0
FCRS.US,5,20251230,195500,10.06,10.065,10.06,10.06,5300,0
FCRS.US,5,20251230,200000,10.06,10.06,10.06,10.06,300,0
FCRS.US,5,20251230,200500,10.06,10.06,10.06,10.06,400,0
FCRS.US,5,20251230,201000,10.06,10.06,10.06,10.06,400,0
FCRS.US,5,20251230,201500,10.06,10.06,10.06,10.06,300,0
FCRS.US,5,20251230,202000,10.06,10.06,10.06,10.06,300,0
FCRS.US,5,20251230,202500,10.06,10.06,10.06,10.06,400,0
FCRS.US,5,20251230,203000,10.06,10.06,10.06,10.06,400,0
FCRS.US,5,20251230,203500,10.06,10.06,10.06,10.06,400,0
FCRS.US,5,20251230,204000,10.06,10.06,10.06,10.06,400,0
FCRS.US,5,20251230,204500,10.06,10.06,10.06,10.06,400,0
FCRS.US,5,20251230,205000,10.06,10.06,10.06,10.06,400,0
FCRS.US,5,20251230,205500,10.06,10.0639,10.06,10.0639,2400,0
FCRS.US,5,20251230,210000,10.065,10.065,10.06,10.06,600,0
FCRS.US,5,20251230,210500,10.06,10.0644,10.06,10.06,2300,0
FCRS.US,5,20251230,211000,10.06,10.06,10.06,10.06,400,0
FCRS.US,5,20251230,211500,10.06,10.06,10.06,10.06,400,0
FCRS.US,5,20251230,212000,10.065,10.0755,10.06,10.0751,43903,0
FCRS.US,5,20251230,212500,10.07,10.07,10.07,10.07,400,0
FCRS.US,5,20251230,213000,10.0743,10.0743,10.07,10.07,1300,0
FCRS.US,5,20251230,213500,10.0761,10.0761,10.07,10.07,1600,0
FCRS.US,5,20251230,214000,10.07,10.074,10.07,10.074,945,0
FCRS.US,5,20251230,214500,10.07,10.07,10.07,10.07,400,0
FCRS.US,5,20251230,215000,10.07,10.08,10.07,10.08,13000,0
FCRS.US,5,20251230,215500,10.08,10.1,10.08,10.1,3778,0
FCRS.US,5,20251231,153500,10.1,10.1,10.088,10.1,500,0
FCRS.US,5,20251231,155000,10.09,10.09,10.09,10.09,100,0
FCRS.US,5,20251231,162500,10.08,10.08,10.08,10.08,100,0
FCRS.US,5,20251231,164000,10.075,10.075,10.07,10.07,4000,0
FCRS.US,5,20251231,165000,10.08,10.09,10.08,10.09,5000,0
FCRS.US,5,20251231,170000,10.085,10.085,10.085,10.085,200,0
FCRS.US,5,20251231,171500,10.085,10.085,10.085,10.085,400,0
FCRS.US,5,20251231,172500,10.08,10.08,10.08,10.08,4000,0
FCRS.US,5,20251231,174000,10.085,10.085,10.085,10.085,100,0
FCRS.US,5,20251231,175500,10.085,10.085,10.085,10.085,200,0
FCRS.US,5,20251231,181000,10.085,10.085,10.07,10.08,4321,0
FCRS.US,5,20251231,192000,10.08,10.08,10.08,10.08,1600,0
FCRS.US,5,20251231,192500,10.0799,10.08,10.0768,10.0768,10500,0
FCRS.US,5,20251231,200000,10.09,10.09,10.09,10.09,100,0
FCRS.US,5,20251231,201500,10.09,10.09,10.09,10.09,300,0
FCRS.US,5,20251231,203000,10.08,10.09,10.08,10.09,1600,0
FCRS.US,5,20251231,203500,10.081,10.09,10.08,10.09,4200,0
FCRS.US,5,20251231,211000,10.085,10.085,10.08,10.08,1300,0
FCRS.US,5,20251231,212500,10.085,10.085,10.085,10.085,1000,0
FCRS.US,5,20251231,213000,10.08,10.08,10.08,10.08,100,0
FCRS.US,5,20251231,214000,10.085,10.09,10.085,10.09,400,0
FCRS.US,5,20251231,214500,10.08,10.08,10.08,10.08,100,0
FCRS.US,5,20251231,215000,10.085,10.085,10.085,10.085,100,0
