<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBSC.US,5,20251217,161500,24.71,24.71,24.6879,24.71,2000,0
DBSC.US,5,20251217,191500,24.29,24.29,24.29,24.29,1000,0
DBSC.US,5,20251217,210000,24.2295,24.2295,24.2295,24.2295,100,0
DBSC.US,5,20251218,181500,24.38,24.38,24.38,24.38,100,0
DBSC.US,5,20251219,161500,24.74,24.74,24.74,24.74,100,0
DBSC.US,5,20251219,190000,24.77,24.77,24.77,24.77,100,0
DBSC.US,5,20251219,194500,24.79,24.8,24.79,24.8,500,0
DBSC.US,5,20251222,153500,24.9512,24.9512,24.9512,24.9512,1000,0
DBSC.US,5,20251222,154000,24.97,24.97,24.97,24.97,500,0
DBSC.US,5,20251222,154500,24.97,24.98,24.97,24.97,1000,0
DBSC.US,5,20251222,172000,25.16,25.16,25.16,25.16,200,0
DBSC.US,5,20251222,180000,25.135,25.135,25.135,25.135,200,0
DBSC.US,5,20251222,183500,25.14,25.14,25.14,25.14,2600,0
DBSC.US,5,20251222,184000,25.14,25.155,25.14,25.15,2248,0
DBSC.US,5,20251222,191000,25.09,25.09,25.09,25.09,250,0
DBSC.US,5,20251222,201500,25.07,25.07,25.07,25.07,200,0
DBSC.US,5,20251222,203500,25.12,25.12,25.12,25.12,100,0
DBSC.US,5,20251222,204500,25.12,25.12,25.12,25.12,100,0
DBSC.US,5,20251222,205500,25.11,25.11,25.11,25.11,100,0
DBSC.US,5,20251222,212500,25.07,25.07,25.07,25.07,150,0
DBSC.US,5,20251222,213000,25.08,25.22,25.073,25.08,9800,0
DBSC.US,5,20251222,214500,25.05,25.05,25.05,25.05,600,0
DBSC.US,5,20251223,180500,25,25,25,25,1350,0
DBSC.US,5,20251223,181000,24.999,25.115,24.9762,25.115,2900,0
DBSC.US,5,20251223,183000,24.99,24.99,24.99,24.99,250,0
DBSC.US,5,20251224,153000,24.98,25,24.98,25,40000,0
DBSC.US,5,20251224,153500,24.93,24.93,24.93,24.93,100,0
DBSC.US,5,20251226,155500,24.89,24.89,24.89,24.89,100,0
DBSC.US,5,20251226,193000,24.95,24.95,24.95,24.95,100,0
DBSC.US,5,20251226,211000,24.94,24.94,24.94,24.94,400,0
DBSC.US,5,20251226,211500,24.94,24.95,24.94,24.95,800,0
