<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GARY.US,5,20251222,153000,20.2,20.2,20.2,20.2,500,0
GARY.US,5,20251222,155500,20.19,20.19,20.19,20.19,100,0
GARY.US,5,20251223,153000,20.48,20.48,20.21,20.21,887,0
GARY.US,5,20251223,160500,20.1332,20.1332,20.1332,20.1332,150,0
GARY.US,5,20251223,162500,20.18,20.18,20.18,20.18,125,0
GARY.US,5,20251223,163500,20.2,20.2,20.2,20.2,217,0
GARY.US,5,20251224,161000,20.3287,20.3287,20.3287,20.3287,442,0
GARY.US,5,20251224,161500,20.35,20.35,20.3398,20.3398,490,0
GARY.US,5,20251224,162000,20.33,20.33,20.32,20.32,200,0
GARY.US,5,20251224,170500,20.34,20.34,20.34,20.34,1000,0
GARY.US,5,20251224,172500,20.34,20.34,20.34,20.34,100,0
GARY.US,5,20251224,181000,20.3562,20.3562,20.3562,20.3562,100,0
GARY.US,5,20251224,181500,20.35,20.35,20.35,20.35,100,0
GARY.US,5,20251226,154000,20.43,20.43,20.43,20.43,100,0
GARY.US,5,20251226,170500,20.43,20.43,20.43,20.43,103,0
GARY.US,5,20251229,164000,20.34,20.34,20.34,20.34,800,0
GARY.US,5,20251229,175500,20.35,20.35,20.35,20.35,100,0
GARY.US,5,20251230,153000,20.48,20.48,20.48,20.48,400,0
GARY.US,5,20251230,173500,20.41,20.41,20.41,20.41,100,0
GARY.US,5,20251230,191000,20.43,20.43,20.405,20.405,600,0
GARY.US,5,20251230,191500,20.41,20.41,20.41,20.41,76949,0
GARY.US,5,20251230,203000,20.4,20.4,20.4,20.4,543,0
GARY.US,5,20251230,203500,20.38,20.38,20.38,20.38,100,0
GARY.US,5,20251230,213500,20.4,20.4,20.3999,20.3999,800,0
GARY.US,5,20251231,170500,20.29,20.29,20.29,20.29,301,0
GARY.US,5,20251231,184500,20.29,20.29,20.29,20.29,1279,0
GARY.US,5,20260102,204500,20.795,20.795,20.795,20.795,1224,0
GARY.US,5,20260102,210500,20.81,20.81,20.81,20.81,240,0
GARY.US,5,20260105,153500,21.05,21.05,21.05,21.05,100,0
GARY.US,5,20260105,165500,21.06,21.06,21.06,21.06,237,0
GARY.US,5,20260105,170000,21.08,21.08,21.08,21.08,400,0
GARY.US,5,20260105,192500,21.04,21.04,21.0399,21.0399,1472,0
GARY.US,5,20260105,203000,20.998,20.998,20.998,20.998,476,0
GARY.US,5,20260106,162000,21.34,21.34,21.34,21.34,100,0
GARY.US,5,20260106,163500,21.32,21.32,21.3199,21.3199,940,0
GARY.US,5,20260106,165000,21.28,21.28,21.28,21.28,300,0
GARY.US,5,20260106,173500,21.29,21.29,21.29,21.29,3480,0
GARY.US,5,20260106,180000,21.27,21.27,21.27,21.27,100,0
GARY.US,5,20260106,204500,21.31,21.31,21.3099,21.3099,450,0
GARY.US,5,20260106,210000,21.32,21.32,21.32,21.32,1190,0
GARY.US,5,20260106,212500,21.3001,21.33,21.3,21.33,678,0
GARY.US,5,20260107,153000,21.32,21.32,21.32,21.32,100,0
GARY.US,5,20260107,161500,21.21,21.21,21.21,21.21,100,0
GARY.US,5,20260107,172500,21.1449,21.1449,21.1449,21.1449,979,0
GARY.US,5,20260107,174000,21.2,21.2,21.2,21.2,100,0
GARY.US,5,20260107,200000,21.128,21.128,21.128,21.128,100,0
GARY.US,5,20260107,203000,21.14,21.14,21.14,21.14,100,0
GARY.US,5,20260108,153000,21.1,21.1,21.1,21.1,100,0
GARY.US,5,20260108,153500,21,21,21,21,500,0
GARY.US,5,20260108,161000,20.9,20.9,20.9,20.9,500,0
GARY.US,5,20260108,165500,20.83,20.83,20.83,20.83,100,0
GARY.US,5,20260108,195500,20.91,20.91,20.91,20.91,100,0
GARY.US,5,20260108,200500,20.92,20.92,20.92,20.92,100,0
GARY.US,5,20260108,201500,20.89,20.89,20.89,20.89,100,0
GARY.US,5,20260108,214000,20.92,20.92,20.9199,20.9199,1000,0
GARY.US,5,20260108,215500,20.89,20.89,20.89,20.89,100,0
GARY.US,5,20260109,153000,20.965,20.965,20.965,20.965,1000,0
GARY.US,5,20260109,164000,21.15,21.15,21.15,21.15,200,0
GARY.US,5,20260109,173500,21.17,21.17,21.17,21.17,100,0
GARY.US,5,20260109,181000,21.21,21.21,21.21,21.21,100,0
GARY.US,5,20260109,200500,21.23,21.23,21.23,21.23,100,0
GARY.US,5,20260109,205500,21.25,21.25,21.25,21.25,100,0
GARY.US,5,20260109,213000,21.25,21.25,21.25,21.25,100,0
GARY.US,5,20260112,153500,21.29,21.29,21.29,21.29,500,0
GARY.US,5,20260112,165000,21.3138,21.3138,21.3138,21.3138,938,0
GARY.US,5,20260112,172000,21.32,21.32,21.32,21.32,100,0
GARY.US,5,20260112,181500,21.34,21.34,21.34,21.34,200,0
GARY.US,5,20260112,190000,21.37,21.37,21.37,21.37,100,0
GARY.US,5,20260113,162000,21.31,21.31,21.31,21.31,200,0
GARY.US,5,20260113,170000,21.339,21.339,21.339,21.339,415,0
GARY.US,5,20260113,172500,21.33,21.33,21.33,21.33,100,0
GARY.US,5,20260113,181500,21.39,21.39,21.39,21.39,100,0
GARY.US,5,20260113,210000,21.32,21.32,21.32,21.32,200,0
GARY.US,5,20260114,162500,21.2,21.2,21.2,21.2,100,0
GARY.US,5,20260114,170000,21.14,21.1401,21.14,21.1401,5600,0
GARY.US,5,20260114,173500,21.2,21.2,21.2,21.2,200,0
GARY.US,5,20260114,174500,21.18,21.18,21.18,21.18,100,0
GARY.US,5,20260114,194500,21.0901,21.0901,21.0901,21.0901,244,0
GARY.US,5,20260114,210000,21.12,21.12,21.12,21.12,100,0
GARY.US,5,20260115,161000,21.65,21.65,21.6499,21.6499,200,0
GARY.US,5,20260115,161500,21.63,21.63,21.61,21.61,300,0
GARY.US,5,20260115,165000,21.61,21.61,21.595,21.6099,500,0
GARY.US,5,20260115,194500,21.67,21.67,21.67,21.67,100,0
GARY.US,5,20260115,195000,21.63,21.645,21.63,21.6301,1600,0
GARY.US,5,20260115,200000,21.63,21.63,21.63,21.63,200,0
GARY.US,5,20260115,211500,21.56,21.56,21.56,21.56,100,0
GARY.US,5,20260115,213000,21.53,21.53,21.53,21.53,100,0
GARY.US,5,20260116,161000,21.64,21.64,21.64,21.64,200,0
GARY.US,5,20260116,194000,21.6006,21.615,21.6006,21.615,380,0
GARY.US,5,20260116,210500,21.63,21.63,21.63,21.63,100,0
GARY.US,5,20260120,155500,21.579,21.579,21.579,21.579,198,0
GARY.US,5,20260120,161500,21.51,21.51,21.51,21.51,200,0
GARY.US,5,20260120,174000,21.54,21.54,21.5399,21.5399,200,0
GARY.US,5,20260120,190000,21.4838,21.4838,21.4838,21.4838,100,0
GARY.US,5,20260120,193500,21.44,21.44,21.44,21.44,100,0
GARY.US,5,20260120,211000,21.41,21.41,21.41,21.41,100,0
GARY.US,5,20260121,165500,21.75,21.75,21.75,21.75,200,0
GARY.US,5,20260121,193500,21.665,21.665,21.665,21.665,127,0
GARY.US,5,20260121,211500,21.87,21.87,21.87,21.87,100,0
GARY.US,5,20260121,213500,21.84,21.84,21.8399,21.84,400,0
GARY.US,5,20260121,215000,21.8,21.8,21.8,21.8,200,0
GARY.US,5,20260122,155000,21.85,21.85,21.8499,21.8499,1000,0
GARY.US,5,20260122,161000,21.79,21.79,21.79,21.79,400,0
GARY.US,5,20260122,182000,21.86,21.86,21.86,21.86,100,0
GARY.US,5,20260122,204000,21.86,21.86,21.86,21.86,100,0
GARY.US,5,20260123,155500,21.85,21.85,21.85,21.85,200,0
GARY.US,5,20260123,160000,21.87,21.87,21.87,21.87,130,0
GARY.US,5,20260123,160500,21.905,21.905,21.905,21.905,400,0
GARY.US,5,20260123,161000,21.88,21.88,21.88,21.88,250,0
GARY.US,5,20260123,161500,21.88,21.88,21.88,21.88,300,0
GARY.US,5,20260123,184000,21.81,21.81,21.81,21.81,100,0
