<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADACU.US,5,20251219,153000,9.97,9.97,9.97,9.97,104,0
ADACU.US,5,20251219,153500,9.97,9.97,9.97,9.97,18649,0
ADACU.US,5,20251219,154000,9.97,9.99,9.965,9.97,66167,0
ADACU.US,5,20251219,163000,9.96,9.965,9.96,9.96,75000,0
ADACU.US,5,20251219,163500,9.965,9.965,9.965,9.965,2000,0
ADACU.US,5,20251219,164000,9.965,9.97,9.96,9.96,12546,0
ADACU.US,5,20251219,165500,9.9621,9.9621,9.9621,9.9621,500,0
ADACU.US,5,20251219,180500,9.96,9.96,9.96,9.96,100,0
ADACU.US,5,20251219,181000,9.96,9.96,9.96,9.96,11200,0
ADACU.US,5,20251219,181500,9.96,9.96,9.96,9.96,200,0
ADACU.US,5,20251219,182000,9.96,9.96,9.96,9.96,300,0
ADACU.US,5,20251219,182500,9.96,9.96,9.96,9.96,9700,0
ADACU.US,5,20251219,183000,9.96,9.96,9.96,9.96,200,0
ADACU.US,5,20251219,183500,9.96,9.96,9.96,9.96,100,0
ADACU.US,5,20251219,184000,9.96,9.96,9.955,9.955,5880,0
ADACU.US,5,20251219,190500,9.95,9.95,9.95,9.95,6312,0
ADACU.US,5,20251219,191500,9.9559,9.9559,9.9559,9.9559,2008,0
ADACU.US,5,20251219,202000,9.955,9.955,9.95,9.95,1903,0
ADACU.US,5,20251219,213000,9.955,9.955,9.955,9.955,400,0
ADACU.US,5,20251219,214500,9.9579,9.9579,9.9579,9.9579,2000,0
ADACU.US,5,20251219,215000,9.955,9.955,9.95,9.955,1700,0
ADACU.US,5,20251219,215500,9.955,9.955,9.95,9.95,6517,0
ADACU.US,5,20251222,153000,9.96,9.99,9.95,9.95,1100,0
ADACU.US,5,20251222,153500,9.96,9.96,9.96,9.96,2500,0
ADACU.US,5,20251222,154000,10,10,10,10,1900,0
ADACU.US,5,20251222,154500,10,10,10,10,7600,0
ADACU.US,5,20251222,155000,10,10.01,10,10.01,1600,0
ADACU.US,5,20251222,155500,10.03,10.03,10.015,10.03,6800,0
ADACU.US,5,20251222,160000,10.02,10.04,10.02,10.04,1700,0
ADACU.US,5,20251222,160500,10.02,10.02,10,10.02,46000,0
ADACU.US,5,20251222,161000,10.005,10.005,10.005,10.005,600,0
ADACU.US,5,20251222,163500,9.98,9.99,9.97,9.97,5800,0
ADACU.US,5,20251222,213500,9.97,9.97,9.96,9.96,5794,0
ADACU.US,5,20251223,153500,10,10.01,9.97,9.97,31200,0
ADACU.US,5,20251223,154000,9.98,9.98,9.98,9.98,18800,0
ADACU.US,5,20251223,154500,9.975,9.975,9.965,9.97,16600,0
ADACU.US,5,20251223,155500,9.965,9.965,9.965,9.965,500,0
ADACU.US,5,20251223,160000,9.965,9.965,9.965,9.965,600,0
ADACU.US,5,20251223,165000,9.965,9.965,9.965,9.965,600,0
ADACU.US,5,20251223,165500,9.965,9.965,9.965,9.965,4700,0
ADACU.US,5,20251223,181000,9.965,9.965,9.96,9.96,4957,0
ADACU.US,5,20251223,191500,9.9601,9.9601,9.9601,9.9601,100,0
ADACU.US,5,20251223,205500,9.965,9.965,9.965,9.965,1900,0
ADACU.US,5,20251223,214000,9.97,9.975,9.96,9.96,21490,0
ADACU.US,5,20251223,215500,9.96,9.96,9.96,9.96,223,0
ADACU.US,5,20251224,153000,9.975,9.975,9.975,9.975,100,0
ADACU.US,5,20251224,154000,9.97,9.97,9.97,9.97,2985,0
ADACU.US,5,20251224,162500,9.965,9.965,9.965,9.965,2000,0
ADACU.US,5,20251224,163000,9.965,9.965,9.965,9.965,1143,0
ADACU.US,5,20251224,174000,9.965,9.97,9.965,9.965,10000,0
ADACU.US,5,20251224,174500,9.97,9.97,9.97,9.97,9057,0
ADACU.US,5,20251224,185500,9.97,9.97,9.97,9.97,275,0
ADACU.US,5,20251226,153000,10.01,10.01,10.01,10.01,100,0
ADACU.US,5,20251226,185000,9.992,9.992,9.992,9.992,2007,0
ADACU.US,5,20251226,215500,9.98,9.98,9.975,9.98,8992,0
ADACU.US,5,20251229,154500,10,10,10,10,100,0
ADACU.US,5,20251229,160500,9.982,9.982,9.982,9.982,200,0
ADACU.US,5,20251229,171500,9.97,9.97,9.97,9.97,2000,0
ADACU.US,5,20251229,174000,9.971,9.971,9.97,9.97,7000,0
ADACU.US,5,20251229,182500,9.97,9.97,9.96,9.97,7600,0
ADACU.US,5,20251229,192000,9.97,9.97,9.97,9.97,600,0
ADACU.US,5,20251229,193000,9.97,9.97,9.97,9.97,600,0
ADACU.US,5,20251229,195500,9.97,9.97,9.97,9.97,600,0
ADACU.US,5,20251229,215000,9.98,9.98,9.98,9.98,73056,0
ADACU.US,5,20251230,153500,10,10,10,10,100,0
ADACU.US,5,20251230,183500,9.98,9.98,9.98,9.98,3535,0
ADACU.US,5,20251230,191000,9.99,9.99,9.99,9.99,583,0
ADACU.US,5,20251230,195500,9.97,9.97,9.97,9.97,2129,0
ADACU.US,5,20251230,215500,9.98,9.98,9.98,9.98,255,0
ADACU.US,5,20251231,153000,10.04,10.04,10.04,10.04,100,0
ADACU.US,5,20251231,204000,9.98,9.98,9.98,9.98,557,0
ADACU.US,5,20251231,213500,9.99,9.99,9.99,9.99,100,0
ADACU.US,5,20251231,215000,9.98,9.98,9.97,9.97,13260,0
ADACU.US,5,20260102,154000,9.98,9.98,9.98,9.98,200,0
ADACU.US,5,20260102,185500,9.96,9.96,9.96,9.96,4100,0
ADACU.US,5,20260102,210000,9.97,9.97,9.97,9.97,254,0
ADACU.US,5,20260102,211000,9.98,9.98,9.975,9.975,2338,0
ADACU.US,5,20260102,215500,9.975,9.98,9.975,9.98,3200,0
ADACU.US,5,20260105,162000,10,10,10,10,100,0
ADACU.US,5,20260105,163500,9.98,9.98,9.98,9.98,150000,0
ADACU.US,5,20260105,170500,9.99,9.99,9.99,9.99,100,0
ADACU.US,5,20260105,180500,9.98,9.98,9.98,9.98,695,0
ADACU.US,5,20260105,182000,9.98,9.98,9.98,9.98,700,0
ADACU.US,5,20260105,191000,9.985,10.01,9.985,10,100600,0
ADACU.US,5,20260105,195500,9.98,9.98,9.98,9.98,2739,0
ADACU.US,5,20260105,210500,9.99,9.99,9.985,9.99,2972,0
ADACU.US,5,20260105,215500,9.98,9.98,9.98,9.98,110,0
ADACU.US,5,20260106,161000,10,10,10,10,100,0
ADACU.US,5,20260106,175500,9.98,9.99,9.98,9.99,2433,0
ADACU.US,5,20260106,210000,9.99,9.99,9.99,9.99,183,0
ADACU.US,5,20260106,210500,9.99,9.99,9.99,9.99,4000,0
ADACU.US,5,20260107,161500,9.98,10,9.98,10,7272,0
ADACU.US,5,20260107,164000,9.98,9.98,9.98,9.98,100,0
ADACU.US,5,20260107,170000,9.985,9.99,9.985,9.9899,10590,0
ADACU.US,5,20260107,190000,10,10,10,10,200,0
ADACU.US,5,20260107,210500,10,10,10,10,2000,0
ADACU.US,5,20260107,213000,10,10,10,10,100,0
ADACU.US,5,20260108,170500,9.96,9.96,9.96,9.96,774,0
ADACU.US,5,20260108,181500,9.995,9.995,9.995,9.995,100,0
ADACU.US,5,20260108,185500,10,10,10,10,221377,0
ADACU.US,5,20260108,194000,10,10,9.98,9.98,34783,0
ADACU.US,5,20260109,165000,9.98,9.98,9.98,9.98,841,0
ADACU.US,5,20260109,214500,10,10,10,10,1720,0
ADACU.US,5,20260112,153000,9.97,9.97,9.97,9.97,100,0
ADACU.US,5,20260112,161000,9.98,9.98,9.98,9.98,874,0
ADACU.US,5,20260112,163500,9.9868,9.9873,9.9868,9.9873,500,0
ADACU.US,5,20260112,170500,9.9871,9.9871,9.9871,9.9871,200,0
ADACU.US,5,20260113,190000,9.96,9.96,9.96,9.96,871,0
ADACU.US,5,20260113,201000,9.995,9.995,9.995,9.995,100,0
ADACU.US,5,20260113,210000,10,10,9.995,9.995,2898,0
ADACU.US,5,20260113,215500,10,10,10,10,1429,0
ADACU.US,5,20260114,155500,10,10,10,10,1499,0
ADACU.US,5,20260114,162000,9.98,9.98,9.98,9.98,1000,0
ADACU.US,5,20260114,180000,9.96,9.96,9.96,9.96,682,0
ADACU.US,5,20260114,183000,10,10,10,10,100,0
ADACU.US,5,20260114,183500,10,10,10,10,400,0
ADACU.US,5,20260114,184000,10,10,10,10,500,0
ADACU.US,5,20260114,184500,10,10,10,10,500,0
ADACU.US,5,20260114,185000,10,10,10,10,500,0
ADACU.US,5,20260114,185500,10,10,10,10,500,0
ADACU.US,5,20260114,190000,10,10,10,10,500,0
ADACU.US,5,20260114,190500,10,10,10,10,400,0
ADACU.US,5,20260114,191000,10,10,10,10,500,0
ADACU.US,5,20260114,191500,10,10,10,10,500,0
ADACU.US,5,20260114,192000,10,10,10,10,400,0
ADACU.US,5,20260114,192500,10,10,10,10,500,0
ADACU.US,5,20260114,193000,10,10,10,10,500,0
ADACU.US,5,20260114,193500,10,10,10,10,400,0
ADACU.US,5,20260114,194000,10,10,10,10,500,0
ADACU.US,5,20260114,194500,10,10,10,10,500,0
ADACU.US,5,20260114,195000,10,10,10,10,400,0
ADACU.US,5,20260114,195500,10,10,10,10,500,0
ADACU.US,5,20260114,200000,10,10,10,10,200,0
ADACU.US,5,20260114,211000,10,10,10,10,1110,0
ADACU.US,5,20260115,162000,10.02,10.02,10.02,10.02,100,0
ADACU.US,5,20260115,162500,10.01,10.01,10.01,10.01,1300,0
ADACU.US,5,20260115,180500,10,10,10,10,3046,0
ADACU.US,5,20260115,203000,10,10,10,10,2000,0
ADACU.US,5,20260115,215500,9.96,10,9.96,10,25147,0
ADACU.US,5,20260116,154500,9.97,9.97,9.97,9.97,100,0
ADACU.US,5,20260116,155000,9.97,9.97,9.97,9.97,300,0
ADACU.US,5,20260116,161500,9.96,9.96,9.96,9.96,100,0
ADACU.US,5,20260116,162000,9.97,9.97,9.97,9.97,100,0
ADACU.US,5,20260116,162500,10,10,9.96,9.96,1198,0
ADACU.US,5,20260116,163000,10,10,10,10,100,0
ADACU.US,5,20260116,195000,10.02,10.02,10.02,10.02,200,0
ADACU.US,5,20260120,154500,10.005,10.01,10.005,10.0069,4996,0
ADACU.US,5,20260120,155000,10.01,10.01,10.009,10.01,4900,0
ADACU.US,5,20260120,162000,10,10,10,10,50000,0
ADACU.US,5,20260120,171000,10,10,10,10,761,0
ADACU.US,5,20260120,172500,10.01,10.01,10.01,10.01,50000,0
ADACU.US,5,20260122,171500,9.96,9.96,9.96,9.96,579,0
ADACU.US,5,20260122,173000,10.01,10.01,10,10,25298,0
ADACU.US,5,20260123,154500,10.05,10.05,10.05,10.05,100,0
ADACU.US,5,20260123,165500,10.01,10.01,9.97,9.97,750,0
ADACU.US,5,20260123,171000,9.96,9.96,9.96,9.96,564,0
ADACU.US,5,20260123,183500,10,10,10,10,3780,0
ADACU.US,5,20260123,193000,10.01,10.01,10.01,10.01,100,0
ADACU.US,5,20260123,194500,10,10,10,10,100,0
ADACU.US,5,20260123,200000,10,10,10,10,6300,0
ADACU.US,5,20260123,200500,10,10,10,10,4998,0
ADACU.US,5,20260123,203500,10,10,10,10,100,0
