<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIDG.US,5,20251219,195500,16.4197,16.4197,16.4197,16.4197,250,0
BIDG.US,5,20251219,201500,16.39,16.39,16.39,16.39,316,0
BIDG.US,5,20251219,212000,16.31,16.31,16.31,16.31,100,0
BIDG.US,5,20251222,164500,16.15,16.15,16.15,16.15,3000,0
BIDG.US,5,20251222,185500,16.27,16.27,16.27,16.27,158,0
BIDG.US,5,20251222,190000,16.3,16.3,16.3,16.3,100,0
BIDG.US,5,20251222,191500,16.23,16.24,16.23,16.24,418,0
BIDG.US,5,20251222,192000,16.2201,16.2201,16.2201,16.2201,308,0
BIDG.US,5,20251222,200500,16.23,16.23,16.23,16.23,183,0
BIDG.US,5,20251222,201000,16.19,16.19,16.19,16.19,100,0
BIDG.US,5,20251222,213000,16.205,16.205,16.205,16.205,250,0
BIDG.US,5,20251223,160000,15.6,15.61,15.592,15.592,300,0
BIDG.US,5,20251223,164500,15.68,15.68,15.68,15.68,100,0
BIDG.US,5,20251224,162000,16.07,16.07,16.07,16.07,100,0
BIDG.US,5,20251224,172500,16.03,16.03,16.03,16.03,124,0
BIDG.US,5,20251226,153000,15.92,15.92,15.92,15.92,100,0
BIDG.US,5,20251226,162500,16.2999,16.2999,16.2999,16.2999,500,0
BIDG.US,5,20251226,194000,16.19,16.19,16.19,16.19,100,0
BIDG.US,5,20251226,204000,16.28,16.28,16.28,16.28,100,0
BIDG.US,5,20251226,205000,16.27,16.27,16.27,16.27,100,0
BIDG.US,5,20251226,212000,16.292,16.32,16.292,16.3199,1055,0
BIDG.US,5,20251226,214000,16.3099,16.31,16.3099,16.31,1000,0
BIDG.US,5,20251226,215500,16.1539,16.635,16.1539,16.635,3500,0
BIDG.US,5,20251229,153000,15.5,15.5,15.43,15.43,200,0
BIDG.US,5,20251229,161500,16.32,16.32,16.32,16.32,100,0
BIDG.US,5,20251229,162000,16.29,16.29,16.29,16.29,100,0
BIDG.US,5,20251229,165500,16.21,16.21,16.21,16.21,100,0
BIDG.US,5,20251229,170000,16.29,16.29,16.29,16.29,100,0
BIDG.US,5,20251229,171500,16.319,16.319,16.319,16.319,100,0
BIDG.US,5,20251229,172000,16.28,16.31,16.28,16.31,230,0
BIDG.US,5,20251229,180500,16.29,16.29,16.29,16.29,100,0
BIDG.US,5,20251229,182500,16.3428,16.3428,16.3428,16.3428,373,0
BIDG.US,5,20251229,183000,16.35,16.35,16.35,16.35,100,0
BIDG.US,5,20251229,190000,16.37,16.38,16.37,16.38,400,0
BIDG.US,5,20251229,191000,16.36,16.36,16.36,16.36,100,0
BIDG.US,5,20251229,191500,16.373,16.3799,16.345,16.345,1450,0
BIDG.US,5,20251229,192500,16.37,16.4,16.37,16.4,400,0
BIDG.US,5,20251229,195500,16.341,16.341,16.341,16.341,100,0
BIDG.US,5,20251229,200000,16.37,16.37,16.37,16.37,100,0
BIDG.US,5,20251229,203000,16.6,16.6,16.6,16.6,120,0
BIDG.US,5,20251229,204000,16.59,16.59,16.59,16.59,100,0
BIDG.US,5,20251229,213500,16.7552,16.8,16.7552,16.8,600,0
BIDG.US,5,20251229,214000,16.8,16.809,16.799,16.799,1200,0
BIDG.US,5,20251229,215000,16.8,16.879,16.8,16.879,425,0
BIDG.US,5,20251229,215500,16.91,16.91,16.91,16.91,160,0
BIDG.US,5,20251230,153000,18.56,18.73,18.56,18.73,552,0
BIDG.US,5,20251230,153500,18.72,18.72,18.72,18.72,461,0
BIDG.US,5,20251230,154000,18.58,18.615,18.58,18.615,500,0
BIDG.US,5,20251230,154500,18.635,18.79,18.635,18.79,1043,0
BIDG.US,5,20251230,155000,18.8,18.8,18.8,18.8,200,0
BIDG.US,5,20251230,155500,18.79,18.79,18.79,18.79,135,0
BIDG.US,5,20251230,160000,18.45,18.45,18.4499,18.4499,200,0
BIDG.US,5,20251230,160500,18.4301,18.72,18.4301,18.72,830,0
BIDG.US,5,20251230,161000,18.61,18.61,18.61,18.61,100,0
BIDG.US,5,20251230,162000,18.73,18.73,18.6196,18.6452,20550,0
BIDG.US,5,20251230,163000,18.64,18.64,18.64,18.64,100,0
BIDG.US,5,20251230,164500,18.5,18.5,18.5,18.5,300,0
BIDG.US,5,20251230,165000,18.66,18.6885,18.66,18.6885,1510,0
BIDG.US,5,20251230,170000,18.58,18.58,18.58,18.58,100,0
