<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVOXW.US,5,20251205,175500,0.35,0.35,0.35,0.35,152857,0
EVOXW.US,5,20251205,203500,0.35,0.35,0.35,0.35,190312,0
EVOXW.US,5,20251208,164500,0.4,0.4,0.4,0.4,315,0
EVOXW.US,5,20251208,172000,0.375,0.375,0.375,0.375,500,0
EVOXW.US,5,20251209,210000,0.375,0.375,0.375,0.375,2500,0
EVOXW.US,5,20251210,161500,0.38,0.38,0.38,0.38,10000,0
EVOXW.US,5,20251210,173000,0.39,0.39445,0.39,0.39,500,0
EVOXW.US,5,20251212,210000,0.4,0.4,0.4,0.4,2000,0
EVOXW.US,5,20251212,215000,0.39,0.399,0.3755,0.39,1900,0
EVOXW.US,5,20251215,172500,0.3687,0.3687,0.3687,0.3687,100,0
EVOXW.US,5,20251216,160000,0.38,0.38,0.38,0.38,10000,0
EVOXW.US,5,20251216,161500,0.38,0.38,0.38,0.38,4700,0
EVOXW.US,5,20251216,162500,0.38,0.38,0.38,0.38,5300,0
EVOXW.US,5,20251216,163500,0.38,0.38,0.38,0.38,4700,0
EVOXW.US,5,20251216,182500,0.3804,0.3804,0.38,0.38,3500,0
EVOXW.US,5,20251216,215000,0.38,0.38,0.38,0.38,100,0
EVOXW.US,5,20251217,160500,0.352,0.352,0.352,0.352,9000,0
EVOXW.US,5,20251217,161000,0.352,0.352,0.352,0.352,3500,0
EVOXW.US,5,20251217,212500,0.3511,0.3511,0.35,0.35,1600,0
EVOXW.US,5,20251229,153000,0.4,0.4,0.4,0.4,3100,0
EVOXW.US,5,20251230,160000,0.4,0.4,0.4,0.4,3750,0
EVOXW.US,5,20251230,163500,0.4,0.4,0.4,0.4,25000,0
EVOXW.US,5,20251230,170000,0.4,0.4,0.4,0.4,2000,0
EVOXW.US,5,20251230,181000,0.4,0.4,0.4,0.4,14450,0
EVOXW.US,5,20251230,181500,0.4,0.4,0.4,0.4,6200,0
EVOXW.US,5,20251230,193500,0.4,0.4,0.4,0.4,7300,0
EVOXW.US,5,20251230,214000,0.4,0.4,0.4,0.4,10000,0
EVOXW.US,5,20251230,214500,0.4,0.4,0.4,0.4,10000,0
EVOXW.US,5,20251230,215500,0.44,0.44,0.44,0.44,204,0
EVOXW.US,5,20260102,164500,0.44,0.44,0.44,0.44,18480,0
EVOXW.US,5,20260102,212000,0.44,0.44,0.44,0.44,147,0
EVOXW.US,5,20260102,212500,0.391,0.45,0.391,0.4449,15100,0
EVOXW.US,5,20260102,213000,0.44,0.452,0.396,0.452,11433,0
EVOXW.US,5,20260102,214000,0.478,0.4953,0.478,0.478,6200,0
EVOXW.US,5,20260102,215000,0.5,0.5,0.5,0.5,500,0
