<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBYY.US,5,20251021,164000,24.81,24.81,24.81,24.81,100,0
BBYY.US,5,20251021,191500,24.75,24.75,24.75,24.75,500,0
BBYY.US,5,20251021,215000,24.74,24.74,24.74,24.74,300,0
BBYY.US,5,20251022,153000,24.65,24.65,24.65,24.65,249,0
BBYY.US,5,20251022,174000,24.6711,24.69,24.6711,24.69,200,0
BBYY.US,5,20251023,153000,24.82,24.82,24.82,24.82,500,0
BBYY.US,5,20251023,154500,24.85,24.85,24.8087,24.8087,2252,0
BBYY.US,5,20251023,155500,24.81,24.81,24.81,24.81,100,0
BBYY.US,5,20251023,182000,24.87,24.87,24.87,24.87,100,0
BBYY.US,5,20251023,184500,24.86,24.86,24.8599,24.8599,800,0
BBYY.US,5,20251023,190000,24.86,24.86,24.86,24.86,100,0
BBYY.US,5,20251023,190500,24.84,24.84,24.84,24.84,2000,0
BBYY.US,5,20251023,202500,24.9,24.9,24.8671,24.8671,1806,0
BBYY.US,5,20251023,203500,24.9,24.9,24.8999,24.8999,2000,0
BBYY.US,5,20251023,205000,24.8108,24.8108,24.8108,24.8108,500,0
BBYY.US,5,20251023,212500,24.8496,24.8496,24.8496,24.8496,600,0
BBYY.US,5,20251024,153000,24.66,24.66,24.526,24.5665,1399,0
BBYY.US,5,20251024,153500,24.589,24.59,24.589,24.59,1478,0
BBYY.US,5,20251024,154000,24.54,24.56,24.529,24.529,1880,0
BBYY.US,5,20251024,155500,24.52,24.52,24.52,24.52,100,0
BBYY.US,5,20251024,160000,24.5599,24.56,24.5599,24.56,600,0
BBYY.US,5,20251024,161000,24.55,24.55,24.55,24.55,240,0
BBYY.US,5,20251024,162500,24.56,24.56,24.56,24.56,634,0
BBYY.US,5,20251024,174500,24.56,24.56,24.56,24.56,500,0
BBYY.US,5,20251024,175500,24.569,24.569,24.569,24.569,119,0
BBYY.US,5,20251024,180000,24.57,24.57,24.57,24.57,100,0
BBYY.US,5,20251024,182500,24.55,24.55,24.55,24.55,200,0
BBYY.US,5,20251024,191500,24.55,24.55,24.54,24.5499,3500,0
BBYY.US,5,20251024,192000,24.55,24.55,24.5499,24.5499,1118,0
BBYY.US,5,20251024,195000,24.56,24.569,24.56,24.569,390,0
BBYY.US,5,20251024,195500,24.56,24.56,24.56,24.56,100,0
BBYY.US,5,20251027,143500,24.8,24.84,24.7999,24.8399,400,0
BBYY.US,5,20251027,144500,24.79,24.79,24.7899,24.7899,200,0
BBYY.US,5,20251027,152000,24.725,24.725,24.71,24.71,300,0
BBYY.US,5,20251027,154000,24.75,24.75,24.7499,24.7499,200,0
BBYY.US,5,20251027,155000,24.73,24.73,24.7299,24.7299,910,0
BBYY.US,5,20251027,165500,24.7345,24.7345,24.7345,24.7345,150,0
BBYY.US,5,20251027,172000,24.82,24.82,24.82,24.82,136,0
BBYY.US,5,20251027,172500,24.82,24.82,24.77,24.77,1200,0
BBYY.US,5,20251027,180000,24.82,24.82,24.82,24.82,100,0
BBYY.US,5,20251027,185500,24.8,24.8,24.7698,24.7698,1200,0
BBYY.US,5,20251027,194000,24.799,24.8,24.799,24.8,218,0
BBYY.US,5,20251028,144500,24.77,24.77,24.77,24.77,1631,0
BBYY.US,5,20251028,145000,24.775,24.775,24.775,24.775,280,0
BBYY.US,5,20251028,151000,24.7689,24.7689,24.7689,24.7689,100,0
BBYY.US,5,20251028,155000,24.73,24.73,24.73,24.73,100,0
BBYY.US,5,20251028,160000,24.6373,24.6373,24.6373,24.6373,290,0
BBYY.US,5,20251028,171000,24.6,24.6,24.6,24.6,100,0
